,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,229,162,158,237,250,256,253,212,158,167,240,Upgrade
1,Market Cap Growth,-31.50%,-31.50%,-36.85%,-7.50%,-1.27%,21.12%,59.72%,26.86%,-34.13%,-44.68%,-43.18%,Upgrade
2,Enterprise Value,1394,1407,1510,1637,1700,1711,1888,1675,1590,1585,1796,Upgrade
3,Last Close Price,0.36,0.24,0.22,0.32,0.32,0.32,0.31,0.25,0.18,0.19,0.27,Upgrade
4,PE Ratio,2.86,2.02,2.00,2.69,3.01,4.01,3.86,4.17,94.67,-1.81,-,Upgrade
5,PS Ratio,0.11,0.08,0.07,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.10,Upgrade
6,PB Ratio,0.22,0.14,0.15,0.23,0.23,0.26,0.23,0.20,0.16,0.17,0.26,Upgrade
7,P/TBV Ratio,0.16,0.16,0.17,0.26,0.26,0.29,0.26,0.22,0.18,0.19,0.30,Upgrade
8,P/FCF Ratio,0.90,0.64,0.87,2.53,210.95,-,3.62,-,2.03,0.67,3.40,Upgrade
9,P/OCF Ratio,0.62,0.62,0.82,2.33,77.95,-,3.21,-,2.01,0.66,3.05,Upgrade
10,EV/Sales Ratio,0.68,0.69,0.66,0.64,0.64,0.61,0.67,0.68,0.77,0.77,0.77,Upgrade
11,EV/EBITDA Ratio,8.10,7.40,6.79,7.54,8.87,10.63,11.86,11.27,15.29,19.78,28.73,Upgrade
12,EV/EBIT Ratio,9.42,7.72,7.02,7.63,9.19,11.40,12.42,11.96,17.63,31.38,86.69,Upgrade
13,EV/FCF Ratio,5.48,5.53,8.29,17.51,1435.76,-,26.99,-,20.40,6.37,25.41,Upgrade
14,Debt / Equity Ratio,1.05,1.05,1.24,1.34,1.34,1.50,1.37,1.55,1.45,1.48,1.57,Upgrade
15,Debt / FCF Ratio,4.64,4.64,7.08,14.58,1214.48,-,21.74,-,18.76,5.80,20.41,Upgrade
16,Return on Capital Employed (ROCE),11.57%,11.57%,14.40%,13.84%,14.88%,8.31%,7.62%,7.16%,4.76%,2.67%,1.10%,Upgrade
17,Earnings Yield,35.13%,49.59%,49.95%,37.18%,33.17%,24.93%,25.89%,24.00%,1.06%,-55.37%,-37.56%,Upgrade
18,FCF Yield,111.07%,156.80%,115.42%,39.46%,0.47%,63.18%,27.66%,-67.29%,49.22%,149.22%,29.39%,Upgrade
19,Dividend Yield,7.78%,11.63%,11.18%,9.42%,7.75%,7.75%,9.80%,6.06%,-,-,-,Upgrade
20,Buyback Yield / Dilution,0.20%,0.34%,0.05%,-,0.03%,0.12%,0.10%,0.01%,-,0.55%,0.82%,Upgrade
21,Total Shareholder Return,7.97%,11.98%,11.23%,9.42%,7.77%,7.87%,9.90%,6.07%,-,0.55%,0.82%,Upgrade
