,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,60,92,92,104,124,144,188,153,242,220,1465
1,Market Cap Growth,-11.54%,-11.54%,-25.81%,-27.78%,-34.04%,-6.09%,-22.53%,-30.30%,-83.45%,-69.24%,35.15%
2,Enterprise Value,65,85,93,81,111,153,168,102,350,269,1691
3,Last Close Price,0.04,0.07,0.07,0.08,0.09,0.11,0.14,0.12,0.18,0.17,1.10
4,PE Ratio,-,-2.21,-,-,-,-5.64,-,-2.18,-,-,-
5,PS Ratio,0.15,0.23,0.47,0.32,0.35,0.39,0.49,0.45,0.59,0.26,1.13
6,PB Ratio,-17.80,-17.80,-8.82,2.85,2.53,2.41,3.76,1.80,104.67,0.81,3.42
7,P/TBV Ratio,-,-,-,2.85,2.53,2.41,3.77,1.80,8.86,1.47,5.80
8,P/FCF Ratio,-,-,-4.63,-,3.92,-1798.20,-,-,-2.42,-,12.19
9,P/OCF Ratio,-,-,-4.65,-,3.85,338.48,-,-,-2.44,-,12.08
10,EV/Sales Ratio,0.17,0.22,0.48,0.25,0.31,0.41,0.44,0.30,0.85,0.32,1.31
11,EV/EBITDA Ratio,-,-2.04,-,-,-,-,-,-,-7.05,-,5.69
12,EV/EBIT Ratio,-,-2.03,-,-,-,-,-,-,-6.78,-,5.75
13,EV/FCF Ratio,-1.73,-,-4.67,-,3.50,-1911.99,-,-,-3.48,-,14.07
14,Debt / Equity Ratio,-4.84,-4.84,-2.73,0.08,0.18,0.03,0.37,0.07,10.54,0.26,0.14
15,Debt / FCF Ratio,-,-,-1.43,-,0.27,-24.25,-,-,-0.24,-,0.50
16,Return on Capital Employed (ROCE),-,-1113.99%,-,-,-,-,-,-,-1326.12%,-,66.13%
17,Earnings Yield,-69.44%,-45.29%,-64.50%,-22.34%,-0.78%,-17.72%,21.35%,-45.93%,-101.07%,-74.97%,1.40%
18,FCF Yield,-62.39%,-40.69%,-21.58%,-7.23%,25.51%,-0.06%,-15.91%,-1.54%,-41.41%,-2.64%,8.20%
19,Buyback Yield / Dilution,-,-,-,-,-,-,-,-7.40%,-8.12%,-0.67%,
20,Total Shareholder Return,-,-,-,-,-,-,-,-7.40%,-8.12%,-0.67%,
