,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jul '24 Jul 31, 2024","Jan '24 Jan 31, 2024","Jul '23 Jul 31, 2023","Jan '23 Jan 31, 2023","Jul '22 Jul 31, 2022","Jan '22 Jan 31, 2022","Jul '21 Jul 31, 2021","Jan '21 Jan 31, 2021","Jul '20 Jul 31, 2020","Jan '20 Jan 31, 2020"
0,Market Capitalization,78,121,101,183,207,233,330,235,203,195,230
1,Market Cap Growth,-33.89%,-33.89%,-51.11%,-21.40%,-37.38%,-1.06%,62.96%,20.51%,-11.96%,-38.10%,-11.54%
2,Enterprise Value,76,111,86,141,169,178,260,152,125,85,81
3,Last Close Price,0.15,0.24,0.20,0.36,0.41,0.47,0.66,0.47,0.41,0.38,0.45
4,PE Ratio,-,-,-,-,-,-,-,-,-,-,51.33
5,PS Ratio,0.47,0.73,0.66,1.31,1.57,1.60,1.93,1.30,1.07,0.67,0.66
6,PB Ratio,1.49,2.23,1.35,2.33,2.32,2.32,2.79,1.87,1.38,1.25,1.18
7,P/TBV Ratio,2.65,2.65,1.58,2.65,2.45,2.39,2.86,1.92,1.40,1.27,1.20
8,P/FCF Ratio,183.51,-,-5.99,-,105.16,-,-12.66,-,37.93,-,17.49
9,P/OCF Ratio,64.13,-,-6.56,-,61.26,-,-29.98,-,13.18,-,12.55
10,EV/Sales Ratio,0.46,0.67,0.56,1.01,1.29,1.23,1.52,0.84,0.66,0.29,0.23
11,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,-,-,5.86
12,EV/EBIT Ratio,-,-,-,-,-,-,-,-,-,-,18.97
13,EV/FCF Ratio,177.47,-,-5.10,-,86.11,-,-9.99,-,23.46,-,6.12
14,Debt / Equity Ratio,1.83,1.83,1.33,1.06,0.82,0.76,0.25,0.20,0.25,0.35,0.34
15,Debt / FCF Ratio,232.74,-,-5.89,-,37.34,-,-1.12,-,6.86,-,4.98
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,-,1.91%
17,Earnings Yield,-31.49%,-20.37%,-19.59%,-15.24%,-15.07%,-10.97%,-8.91%,-11.47%,-21.80%,-9.86%,1.95%
18,FCF Yield,0.54%,0.35%,-16.70%,-5.67%,0.95%,-4.01%,-7.90%,-3.08%,2.64%,14.57%,5.72%
19,Buyback Yield / Dilution,-0.86%,-0.48%,-1.26%,-1.05%,-0.27%,-,-,-,0.03%,0.48%,0.45%
20,Total Shareholder Return,-0.86%,-0.48%,-1.26%,-1.05%,-0.27%,-,-,-,0.03%,0.48%,0.45%
