,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,888,380,396,320,320,448,512,456,424,328,444
1,Market Cap Growth,18.75%,18.75%,23.75%,-28.57%,-37.50%,-1.75%,20.75%,39.02%,-4.50%,-26.79%,-20.71%
2,Enterprise Value,876,362,403,325,303,419,491,438,384,284,371
3,Last Close Price,2.22,0.87,0.91,0.69,0.64,0.85,0.93,0.79,0.71,0.52,0.71
4,PE Ratio,35.59,15.23,22.57,61.12,17.73,14.74,14.28,11.56,13.67,13.26,17.47
5,PS Ratio,5.67,2.43,2.46,2.14,2.06,2.82,2.98,2.64,2.62,2.30,2.94
6,PB Ratio,11.64,4.98,4.75,3.61,2.72,3.34,3.51,2.94,2.74,2.26,3.16
7,P/TBV Ratio,4.98,4.98,4.75,3.61,2.72,3.34,3.51,2.94,2.74,2.26,3.16
8,P/FCF Ratio,33.97,14.54,17.82,65.34,-,13.80,10.21,25.88,-,-,28.84
9,P/OCF Ratio,13.59,13.59,16.23,32.31,25.75,12.37,9.60,10.19,20.46,25.15,25.49
10,EV/Sales Ratio,5.59,2.31,2.50,2.18,1.95,2.64,2.86,2.54,2.37,1.99,2.45
11,EV/EBITDA Ratio,25.98,13.10,16.70,16.95,13.60,13.51,12.65,11.39,13.38,12.37,16.24
12,EV/EBIT Ratio,33.87,14.00,18.22,20.43,14.92,14.24,13.29,12.06,14.13,13.59,17.45
13,EV/FCF Ratio,33.50,13.85,18.11,66.41,-,12.91,9.80,24.83,-,-,24.10
14,Debt / Equity Ratio,0.16,0.16,0.14,0.23,0.21,0.05,0.05,0.07,0.06,0.07,0.06
15,Debt / FCF Ratio,0.47,0.47,0.52,4.24,-,0.21,0.15,0.60,-,-,0.53
16,Return on Capital Employed (ROCE),31.57%,31.57%,24.73%,16.41%,15.93%,21.59%,25.04%,22.78%,17.10%,14.04%,14.76%
17,Earnings Yield,2.81%,6.57%,4.43%,1.64%,5.64%,6.79%,7.00%,8.65%,7.31%,7.54%,5.72%
18,FCF Yield,2.94%,6.88%,5.61%,1.53%,2.22%,7.24%,9.80%,3.86%,-1.73%,3.72%,3.47%
19,Dividend Yield,4.25%,-,-,-,-,-,12.51%,7.59%,-,8.40%,-
20,Total Shareholder Return,4.25%,-,-,-,-,-,12.51%,7.59%,-,8.40%,-
