,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Cash & Equivalents,808.09,905.59,601.12,742.58,663.35,1045,1220,728.12,992.91,663.96,Upgrade
1,Cash & Short-Term Investments,808.09,905.59,601.12,742.58,663.35,1045,1220,728.12,992.91,663.96,Upgrade
2,Cash Growth,34.43%,21.95%,-9.38%,-28.95%,-45.62%,43.54%,22.85%,9.66%,19.38%,-20.66%,Upgrade
3,Accounts Receivable,3227,2742,2402,2046,1699,1487,1493,1493,1476,1658,Upgrade
4,Other Receivables,34.59,80.05,12.75,92.56,57.45,106.97,44.63,100.4,38.71,120.66,Upgrade
5,Receivables,3263,2879,2416,2228,1758,1734,1539,1831,1517,2099,Upgrade
6,Inventory,290.87,257.89,268.16,377.24,340.46,302.85,825.41,784.05,636.76,551.46,Upgrade
7,Prepaid Expenses,271.06,71.3,242.89,56.98,296.71,39.95,369.55,40.04,433.25,32.03,Upgrade
8,Other Current Assets,43.38,84.73,39.44,63.04,56.39,114.44,54.42,125.04,55.16,73.04,Upgrade
9,Total Current Assets,4677,4199,3567,3468,3115,3237,4008,3508,3635,3419,Upgrade
10,"Property, Plant & Equipment",1269,1173,1072,1095,1102,1171,1150,1185,1166,1181,Upgrade
11,Long-Term Investments,49.28,51.97,68.07,77.42,76.16,94.15,130.44,144.74,139.61,121.09,Upgrade
12,Goodwill,17.9,17.9,17.9,17.9,17.9,17.9,17.9,16.66,16.66,16.66,Upgrade
13,Other Intangible Assets,4.59,5.12,5.65,6.17,6.7,7.23,7.76,8.29,8.81,9.34,Upgrade
14,Long-Term Deferred Tax Assets,4.91,4.91,4.18,4.18,3.18,7.21,8.38,8.38,8.22,8.22,Upgrade
15,Other Long-Term Assets,227.88,263.93,273.33,170.1,173.98,177.24,183.04,184.15,228.97,230.55,Upgrade
16,Total Assets,6260,5726,5020,4851,4507,4737,5547,5110,5258,5051,Upgrade
17,Accounts Payable,602.39,605.36,371.26,383.04,275.5,247.08,267.73,259.27,366.3,323.41,Upgrade
18,Accrued Expenses,824.77,-,825.71,-,884.02,-,716.54,-,769.62,-,Upgrade
19,Short-Term Debt,1579,1506,822.13,880.39,584.94,459.48,575.24,263.08,518.4,691.2,Upgrade
20,Current Portion of Long-Term Debt,334.4,344.2,114.5,37.4,287.4,522.4,918.73,611.95,251.81,142.02,Upgrade
21,Current Portion of Leases,-,13.04,-,14.51,-,17.56,-,23.92,-,13.92,Upgrade
22,Current Income Taxes Payable,13.02,5.2,24.72,11,11.78,10.06,14.42,10.21,9.9,2.9,Upgrade
23,Current Unearned Revenue,787.2,597.93,668.38,676.89,630.31,721.5,1175,833.15,645.16,343.84,Upgrade
24,Other Current Liabilities,14.62,691.35,9.62,875.93,44.23,850.25,44.35,746.92,38.04,794.32,Upgrade
25,Total Current Liabilities,4156,3763,2836,2879,2718,2828,3712,2748,2599,2312,Upgrade
26,Long-Term Debt,530,441.5,693.4,449.2,317.9,336.6,304.79,835.57,1267,1444,Upgrade
27,Long-Term Leases,-,9.52,-,4.44,-,15.41,-,25.36,8.03,6.94,Upgrade
28,Long-Term Deferred Tax Liabilities,10.17,10.2,9.37,9.69,9.02,7.46,7.55,7.63,7.71,7.7,Upgrade
29,Other Long-Term Liabilities,27.72,-,3.49,4.16,13.74,8.32,27.86,12.48,-,-,Upgrade
30,Total Liabilities,4724,4225,3543,3347,3059,3196,4052,3630,3882,3770,Upgrade
31,Common Stock,87.61,87.61,87.61,87.61,87.61,87.61,87.61,87.61,87.61,87.61,Upgrade
32,Additional Paid-In Capital,413.78,413.78,413.78,413.78,413.78,413.78,413.78,413.78,413.78,413.78,Upgrade
33,Retained Earnings,1046,1033,1015,987.57,971.34,959.84,948.19,932.39,862.01,792.92,Upgrade
34,Comprehensive Income & Other,-6.6,-28.99,-36.74,17.35,-23.89,80.25,44.46,44.46,10.05,-16.86,Upgrade
35,Total Common Equity,1541,1505,1480,1506,1449,1541,1494,1478,1373,1277,Upgrade
36,Minority Interest,-5.06,-3.6,-2.57,-2.31,-0.95,-0.12,1.21,2.07,2.68,3.2,Upgrade
37,Shareholders' Equity,1536,1502,1477,1504,1448,1541,1495,1480,1376,1281,Upgrade
38,Total Liabilities & Equity,6260,5726,5020,4851,4507,4737,5547,5110,5258,5051,Upgrade
39,Total Debt,2444,2315,1630,1386,1190,1351,1799,1760,2045,2298,Upgrade
40,Net Cash (Debt),-1636,-1409,-1029,-643.37,-526.88,-306.3,-578.93,-1032,-1052,-1634,Upgrade
41,Net Cash Per Share,-3.73,-3.22,-2.35,-1.47,-1.20,-0.70,-1.32,-2.36,-2.40,-3.73,Upgrade
42,Filing Date Shares Outstanding,438.05,438.05,438.05,438.05,438.05,438.05,438.05,438.05,438.05,438.05,Upgrade
43,Total Common Shares Outstanding,438.05,438.05,438.05,438.05,438.05,438.05,438.05,438.05,438.05,438.05,Upgrade
44,Working Capital,521,435.34,731.01,588.67,396.38,408.27,296.53,759.87,1036,1108,Upgrade
45,Book Value Per Share,3.52,3.44,3.38,3.44,3.31,3.52,3.41,3.37,3.14,2.92,Upgrade
46,Tangible Book Value,1519,1482,1456,1482,1424,1516,1468,1453,1348,1251,Upgrade
47,Tangible Book Value Per Share,3.47,3.38,3.32,3.38,3.25,3.46,3.35,3.32,3.08,2.86,Upgrade
48,Land,-,707.1,-,702.28,-,746.13,-,565.01,-,526.18,Upgrade
49,Machinery,-,536.18,-,560.95,-,546.25,-,517.54,-,563.9,Upgrade
50,Construction In Progress,-,99.99,-,0.2,-,-,-,-,-,-,Upgrade
51,Leasehold Improvements,-,188.73,-,201.13,-,201.37,-,200.7,-,193.13,Upgrade
52,Order Backlog,37426,-,-,-,-,-,-,-,-,-,Upgrade
