,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,29600,28016,19955,15136,19072,23818,25536,26563,-,-,-,-,-,-,-
1,Market Cap Growth,17.63%,17.63%,-21.85%,-43.02%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,29015,27431,19125,14035,17742,22487,23847,26545,-,-,-,-,-,-,-
3,Last Close Price,92.50,87.55,62.36,47.16,59.43,74.22,79.57,82.77,-,-,-,-,-,-,-
4,PE Ratio,-,-2405.82,2137.33,-,133.17,169.71,225.12,294.94,-,-,-,-,-,-,-
5,Forward PE,116.90,130.67,90.56,77.48,79.47,211.75,-,-,-,-,-,-,-,-,-
6,PS Ratio,19.51,20.30,17.89,15.30,19.77,26.73,30.43,35.24,-,-,-,-,-,-,-
7,PB Ratio,12.47,11.81,8.41,6.50,7.80,9.88,10.87,11.47,-,-,-,-,-,-,-
8,P/TBV Ratio,12.22,12.22,8.71,6.74,8.06,10.22,11.25,11.86,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-,-,-,-,426.38,-,-,-,-,-,-,-
10,EV/Sales Ratio,21.02,19.87,17.14,14.19,18.39,25.24,28.41,35.22,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,5539.09,4370.20,-236.12,-,520.34,-,1907.69,647.83,-,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-4343.31,-204.35,-,738.35,-,4733.89,773.69,-,-,-,-,-,-,-
13,Debt / Equity Ratio,0.06,0.06,0.06,0.09,0.05,0.05,0.03,0.07,0.38,0.39,-,-,0.26,0.07,0.07
14,Debt / EBITDA Ratio,29.52,1.02,0.44,-,0.86,-,0.54,2.04,1.59,-,-,-,-,-,-
15,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-6.16,-4.39,-,-,-2.02,-,-
16,Asset Turnover,-,0.36,0.25,0.27,0.36,0.26,0.31,0.38,-,-,-,-,0.14,-,
17,Inventory Turnover,-,-,0.42,0.49,0.36,0.54,0.46,0.54,0.33,-,-,-,-,0.17,-
18,Quick Ratio,-,-,0.87,1.06,1.42,1.72,1.70,1.97,0.44,0.44,-,-,-,1.09,1.09
19,Current Ratio,-,-,2.33,2.33,2.89,3.21,3.04,3.05,1.42,1.45,-,-,-,2.74,2.74
20,Return on Equity (ROE),6.78%,2.74%,-17.14%,5.64%,10.29%,5.69%,4.00%,21.43%,-,-,-,-,-4.54%,-,
21,Return on Assets (ROA),-,5.16%,-10.38%,2.44%,-4.02%,2.68%,0.76%,5.02%,-,-,-,-,-5.32%,-,
22,Return on Capital (ROIC),3.27%,7.92%,-15.03%,3.34%,-5.47%,3.70%,1.20%,10.67%,-,-,-,-,-8.29%,-,
23,Return on Capital Employed (ROCE),-,-,-3.50%,-,0.93%,-,0.21%,1.42%,-4.45%,-,-,-,-,-,-
24,Earnings Yield,-0.04%,-0.04%,0.05%,0.17%,0.75%,0.59%,0.44%,0.34%,-,-,-,-,-,-,-
25,FCF Yield,-,-2.32%,-2.30%,-1.39%,-0.84%,-0.08%,-0.40%,-,-,-,-,-,-,-,
26,Dividend Yield,0.15%,-,-,-,-,0.19%,-,-,-,-,-,-,-,-,-
27,Payout Ratio,0.00%,-,282.65%,-,2.08%,1.21%,1.12%,7.87%,3.82%,4.71%,15.44%,-,-,-,-
28,Buyback Yield / Dilution,-1.64%,41.42%,-5.52%,-25.02%,-29.01%,-53.59%,-23.23%,-8.55%,2.19%,3.74%,-12.97%,-,-,-,-
29,Total Shareholder Return,-1.50%,41.42%,-5.52%,-25.02%,-29.01%,-53.40%,-23.23%,-8.55%,2.19%,3.74%,-12.97%,-,-,-,-
