,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,475.91,620.3,847.49,587.36,684.91,1858,247.86,240.29,-,-,-,179.52,179.52
1,Short-Term Investments,-,-,10.47,-,1.26,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,255.25,400.64,381.34,688.45,726.52,-,-,-,-,-,-,50.02,50.02
3,Cash & Short-Term Investments,731.16,731.16,1031,1229,1277,1411,1858,247.86,240.29,-,-,244.87,229.54,229.54
4,Cash Growth,-42.75%,-48.20%,-44.49%,395.77%,431.48%,-,-,1.22%,4.68%,-,-,-,-,-
5,Accounts Receivable,-,357.12,254.82,169.79,182.54,121.96,174.26,217.55,180.26,-,-,-,53.39,53.39
6,Other Receivables,-,13.46,12.23,11.54,6.72,7.16,7.12,7.23,7.55,-,-,-,4.58,4.58
7,Receivables,-,370.58,267.05,181.33,189.25,129.12,181.38,224.79,187.81,-,-,-,57.97,57.97
8,Inventory,-,1555,1370,1287,1112,1068,996.56,918.97,861.33,-,-,-,375.83,375.83
9,Prepaid Expenses,-,-,-,-,2.32,-,-,-,1.53,-,-,-,-,-
10,Other Current Assets,-,284.44,197.23,160.35,154.6,138.77,120.56,144.27,119.22,-,-,-,58.77,58.77
11,Total Current Assets,-,2941,2866,2857,2735,2748,3156,1536,1410,-,-,-,722.11,722.11
12,"Property, Plant & Equipment",-,402.43,351.2,223.31,195.93,165.15,172.65,158.63,160.07,-,-,-,41.92,41.92
13,Long-Term Investments,-,452.59,449.96,357.5,355.26,292.64,-,-,-,-,-,-,-,-
14,Other Intangible Assets,-,81.17,80.96,80.37,80.14,79.77,75.97,35.17,34.95,-,-,-,5.26,5.26
15,Long-Term Deferred Tax Assets,-,13.98,14.74,5.21,5.09,5.77,6.66,7.37,8.21,-,-,-,-,-
16,Long-Term Deferred Charges,-,26.54,30.05,35.33,28.29,30.15,19.12,18.95,20.97,-,-,-,14.26,14.26
17,Other Long-Term Assets,-,21.34,16.66,19.17,28.07,15.78,14.27,29,26.21,-,-,-,26.87,26.87
18,Total Assets,-,3939,3809,3578,3428,3337,3445,1785,1661,-,-,-,810.41,810.41
19,Accounts Payable,-,298.01,261.11,285.68,205.76,198.32,197.24,212.56,163.86,-,-,-,88.09,88.09
20,Accrued Expenses,-,59.98,73.47,60.38,69.87,36.64,52.61,24.59,59.93,-,-,-,17.52,17.52
21,Short-Term Debt,-,-,50.04,50.04,50.04,42.69,124.15,180.97,164.57,-,-,-,-,-
22,Current Portion of Leases,-,27.19,26.13,19.28,17.37,17.61,19.46,19.44,19.63,-,-,-,11.07,11.07
23,Current Income Taxes Payable,-,13.84,-,1.9,-,2.03,-,13.14,-,-,-,-,0,0
24,Current Unearned Revenue,-,698.09,627.72,478.43,440.23,526.73,559.31,544.84,484.77,-,-,-,128.65,128.65
25,Other Current Liabilities,-,167.19,192.18,94.58,70.04,81.03,83.51,83.27,80.26,-,-,-,18.65,18.65
26,Total Current Liabilities,-,1264,1231,990.29,853.32,905.05,1036,1079,973.03,-,-,-,263.98,263.98
27,Long-Term Debt,-,52.6,53,43,43,-,-,-,-,-,-,-,-,-
28,Long-Term Leases,-,66.4,72.14,15.43,16.56,20.86,24.96,29.72,35.1,-,-,-,21.49,21.49
29,Long-Term Unearned Revenue,-,118.63,64.02,33.35,52.97,24.54,34.23,44.44,55.92,-,-,-,29.46,29.46
30,Long-Term Deferred Tax Liabilities,-,13.43,14.53,5.25,5.11,5.27,6.12,6.86,7.75,-,-,-,-,-
31,Other Long-Term Liabilities,-,50.77,46.92,45.03,46.11,32.14,28.45,23.49,19.24,-,-,-,8.14,8.14
32,Total Liabilities,-,1566,1481,1132,1017,987.87,1130,1183,1091,-,-,-,323.07,323.07
33,Common Stock,-,320,320,320,320,320,320,240,240,-,-,-,240,240
34,Additional Paid-In Capital,-,1902,1873,1844,1843,1843,1842,222.8,222.13,-,-,-,216.63,216.63
35,Retained Earnings,-,151.03,134.9,281.95,247.71,186.49,153.31,138.73,107.37,-,-,-,30.53,30.53
36,Comprehensive Income & Other,-,-0.26,-0.08,-0.04,0.07,0.1,-0.05,0.16,0.03,-,-,-,0.19,0.19
37,Shareholders' Equity,2373,2373,2328,2446,2411,2349,2315,601.69,569.53,-,-,554.76,487.34,487.34
38,Total Liabilities & Equity,-,3939,3809,3578,3428,3337,3445,1785,1661,-,-,-,810.41,810.41
39,Total Debt,146.19,146.19,201.31,127.75,126.97,81.16,168.58,230.14,219.31,-,-,146.41,32.56,32.56
40,Net Cash (Debt),584.97,584.97,830.11,1101,1150,1330,1689,17.73,20.98,-,-,98.46,196.98,196.98
41,Net Cash Growth,-49.14%,-56.03%,-50.86%,6112.01%,5383.05%,-,-,-82.00%,-89.35%,-,-,-,-,-
42,Net Cash Per Share,3.05,1.80,2.47,3.54,3.52,4.32,6.28,0.07,0.10,-,-,0.40,0.89,0.89
43,Filing Date Shares Outstanding,320,320,320,320,320,320,320,240,240,250,247.96,246.7,240,240
44,Total Common Shares Outstanding,320,320,320,320,320,320,320,240,240,250,247.96,246.7,240,240
45,Working Capital,-,1677,1635,1867,1882,1843,2120,457.07,437.15,-,-,-,458.13,458.13
46,Book Value Per Share,7.42,7.42,7.27,7.64,7.53,7.34,7.23,2.51,2.37,-,-,2.28,2.03,2.03
47,Tangible Book Value,2292,2292,2247,2365,2331,2269,2239,566.52,534.58,-,-,549.73,482.08,482.08
48,Tangible Book Value Per Share,7.16,7.16,7.02,7.39,7.28,7.09,7.00,2.36,2.23,-,-,2.26,2.01,2.01
49,Buildings,-,-,92.69,-,92.69,-,92.69,-,92.69,-,-,-,-,-
50,Machinery,-,-,78.1,-,58.87,-,40.43,-,23.84,-,-,-,12.67,12.67
51,Construction In Progress,-,-,109.25,-,31.69,-,11.13,-,0.53,-,-,-,1.78,1.78
