,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,567.95,355.56,221.34,235.53,288.2,230.28,195.78,161.76,244.3,136.91,75.33,45.59,28,28
1,Other Revenue,-,-6.96,6.96,-,14.88,-7.94,7.94,-,7.11,-,-,-,0.3,0.3
2,Revenue,567.95,348.61,228.29,235.53,303.08,222.34,203.71,161.76,251.41,136.91,75.33,45.59,28.3,28.3
3,Revenue Growth (YoY),87.39%,56.79%,12.07%,45.60%,20.55%,62.40%,170.44%,254.81%,788.39%,383.77%,-,-,-,-
4,Cost of Revenue,-424.95,154.63,162.77,107.55,146.58,118.11,128.82,72.37,150.55,57.61,41.44,25.37,15.99,15.99
5,Gross Profit,992.9,193.98,65.52,127.98,156.5,104.23,74.89,89.39,100.86,79.29,33.88,20.22,12.31,12.31
6,"Selling, General & Admin",-171.01,66.57,63.11,41.33,67.61,33,33.54,31.21,36.84,30.13,26.07,20.79,13.13,13.13
7,Research & Development,-335.12,127.97,133.76,73.39,83.69,47.87,42.8,53.9,69.2,49.16,52.64,34.75,16.85,16.85
8,Other Operating Expenses,1471,-83.45,19.54,-20.78,56.35,-12.07,-9.69,-30.94,67.8,-67.22,12.38,-12.08,0.05,0.05
9,Operating Expenses,959.99,113.99,218.88,93.83,210.87,67.91,66.97,54.82,174.65,13.7,91.69,42.24,29.55,29.55
10,Operating Income,32.9,79.99,-153.36,34.15,-54.37,36.32,7.93,34.57,-73.78,65.6,-57.81,-22.02,-17.24,-17.24
11,Interest Expense,-22.1,-1.52,-1.45,-1.21,-0.9,-1.13,-1.54,-1.83,-2.08,-2,-2.56,-1.25,-0.36,-0.36
12,Interest & Investment Income,4.18,3.39,8.02,10.68,7.92,6.59,3.56,0.4,0.47,0.9,1.14,1.05,0.99,0.99
13,Currency Exchange Gain (Loss),-,-2.86,2.86,-,3.49,-3.28,3.28,-,5.73,-8.28,8.28,-,1.13,1.13
14,Other Non Operating Income (Expenses),3.86,-2.78,-1.81,0.88,-5.04,4.29,-1.03,0.43,-7.36,7.35,-3.73,3.32,-0.16,-0.16
15,EBT Excluding Unusual Items,18.85,76.22,-145.73,44.49,-48.9,42.79,12.21,33.57,-77.02,63.56,-54.67,-18.9,-15.65,-15.65
16,Gain (Loss) on Sale of Investments,-0.25,3.07,-0.71,-2.11,0.93,2.52,-,-,-,-0.13,0.13,-0.09,0.01,0.01
17,Gain (Loss) on Sale of Assets,0.01,0.04,-0.04,-0.01,-,0.22,-0.02,0.1,-0.2,0.29,0.32,-0.14,-,-
18,Asset Writedown,27.68,-27.68,8.11,-8.11,11.81,-12.3,2.36,-2.36,11.62,-12.84,0.61,-0.61,-0.13,-0.13
19,Other Unusual Items,-,-35.86,35.86,-,97.9,0,-0,-,99.97,-41.16,41.16,-,10.24,10.24
20,Pretax Income,46.28,15.79,-102.51,34.27,61.74,33.23,14.55,31.31,34.37,9.72,-12.46,-19.74,-5.53,-5.53
21,Income Tax Expense,6.04,-0.34,-0.25,0.03,0.51,0.05,-0.03,-0.06,0.06,-0.09,-0.05,-,0,0
22,Net Income,40.24,16.13,-102.25,34.24,61.22,33.18,14.57,31.37,34.31,9.81,-12.42,-19.74,-5.53,-5.53
23,Net Income to Common,40.24,16.13,-102.25,34.24,61.22,33.18,14.57,31.37,34.31,9.81,-12.42,-19.74,-5.53,-5.53
24,Net Income Growth,-34.27%,-51.39%,-,9.16%,78.43%,238.16%,-,-,-,-,-,-,-,-
25,Shares Outstanding (Basic),192,325,336,311,327,308,269,241,213,250,248,247,221,221
26,Shares Outstanding (Diluted),192,325,336,311,327,308,269,241,213,250,248,247,221,221
27,Shares Change (YoY),-41.42%,5.52%,25.02%,29.01%,53.59%,23.23%,8.55%,-2.19%,-3.74%,12.97%,-,-,-,-
28,EPS (Basic),0.21,0.05,-0.30,0.11,0.19,0.11,0.05,0.13,0.16,0.04,-0.05,-0.08,-0.03,-0.03
29,EPS (Diluted),0.21,0.05,-0.30,0.11,0.19,0.11,0.05,0.13,0.16,0.04,-0.05,-0.08,-0.03,-0.03
30,EPS Growth,12.20%,-53.94%,-,-15.38%,16.18%,174.42%,-,-,-,-,-,-,-,-
31,Free Cash Flow,-,-174.7,-113.64,-50.02,-124.38,-60.6,-29.31,14.21,56.19,-147.52,39.76,1.6,-37.03,-37.03
