,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,1269,1443,1652,1848,1520,1234,3076,2960,-
1,Short-Term Investments,-,-,-,-,-,28.08,-,13.71,-
2,Cash & Short-Term Investments,1269,1443,1652,1848,1520,1262,3076,2973,-
3,Cash Growth,-23.22%,-21.90%,8.69%,46.43%,-50.59%,-57.57%,-,-,-
4,Accounts Receivable,2851,2441,2319,2052,1468,1062,667.95,606.71,-
5,Other Receivables,-,328.3,-,235.28,-,272.73,-,91.5,-
6,Receivables,2851,2770,2319,2288,1468,1335,667.95,698.21,-
7,Prepaid Expenses,766.48,377.05,720.33,124.31,1849,65.59,151.25,33.76,-
8,Restricted Cash,6.86,6.32,16.64,19.41,6.01,7.19,5.17,5.15,-
9,Other Current Assets,-,46.66,-,105.26,-,30.71,-,61.97,-
10,Total Current Assets,4893,4642,4708,4384,4843,2700,3901,3772,-
11,"Property, Plant & Equipment",72.38,78.89,89.24,102.68,101.59,16.13,12.91,15.07,-
12,Long-Term Investments,15.83,15.12,12.46,10.22,13.25,28.02,9.3,7.95,-
13,Goodwill,1288,1344,1520,1600,1877,699.78,260.21,260.21,-
14,Other Intangible Assets,485.68,570.41,632.68,698.58,654.12,223.35,145.14,157.86,-
15,Long-Term Deferred Tax Assets,268.99,230.86,180.67,141.24,29.12,18.87,26.17,14.74,-
16,Other Long-Term Assets,12.71,12.72,6.3,8.03,6.3,1316,0.26,0.29,-
17,Total Assets,7037,6894,7150,6945,7525,5002,4355,4229,-
18,Accounts Payable,595.83,534.76,567.49,575.37,416,245.83,163.24,154.47,-
19,Accrued Expenses,-,565.55,-,717.18,-,344.66,-,195.27,-
20,Current Portion of Long-Term Debt,156.84,148.02,151.83,174.24,156.72,-,-,-,-
21,Current Portion of Leases,3.95,3.62,6.12,8.57,5.2,6.14,3.49,3.56,-
22,Current Income Taxes Payable,459.39,421.1,389.64,367.04,313.22,213.47,111.61,115.92,-
23,Current Unearned Revenue,301.75,258.81,256.89,225.95,251.61,101.97,109.75,95.7,-
24,Other Current Liabilities,1179,620.7,1378,891.96,1930,518.48,766.89,633.1,-
25,Total Current Liabilities,2696,2553,2750,2960,3073,1431,1155,1198,-
26,Long-Term Debt,455.47,488.99,490.4,377.31,506.99,-,-,-,-
27,Long-Term Leases,4.14,3.14,4,6.22,5.27,1.39,1.27,3.17,-
28,Long-Term Deferred Tax Liabilities,117.86,140.26,156.07,172.34,161.91,54.25,30.74,33.88,-
29,Total Liabilities,3274,3185,3400,3516,3747,1486,1187,1235,-
30,Common Stock,17.57,17.57,17.57,17.57,17.49,17.49,17.5,17.5,-
31,Additional Paid-In Capital,2189,2189,2189,2189,2173,2415,2418,2539,-
32,Retained Earnings,1267,1209,1242,1179,1490,1176,815.99,500.79,-
33,Comprehensive Income & Other,-13.54,-20.92,-5.01,-244.46,-131.19,-141.62,-125.73,-100.37,-
34,Total Common Equity,3461,3395,3444,3142,3549,3467,3126,2957,-
35,Minority Interest,302.5,313.94,305.89,286.91,228.99,49.38,42.08,36.52,-
36,Shareholders' Equity,3763,3709,3750,3429,3778,3516,3168,2993,-
37,Total Liabilities & Equity,7037,6894,7150,6945,7525,5002,4355,4229,-
38,Total Debt,620.4,643.77,652.34,566.34,674.18,7.53,4.76,6.73,-
39,Net Cash (Debt),648.13,799.12,999.86,1281,845.95,1254,3072,2967,-
40,Net Cash Growth,-35.18%,-37.63%,18.19%,2.15%,-72.46%,-57.72%,-,-,-
41,Net Cash Per Share,0.32,0.39,0.49,0.63,0.42,0.62,1.52,1.68,-
42,Filing Date Shares Outstanding,2026,2026,2026,2026,2017,2017,2018,2018,1634
43,Total Common Shares Outstanding,2026,2026,2026,2026,2017,2017,2018,2018,1634
44,Working Capital,2197,2090,1959,1424,1770,1269,2746,2574,-
45,Book Value Per Share,1.71,1.68,1.70,1.55,1.76,1.72,1.55,1.47,-
46,Tangible Book Value,1687,1481,1291,843.29,1017,2543,2720,2539,-
47,Tangible Book Value Per Share,0.83,0.73,0.64,0.42,0.50,1.26,1.35,1.26,-
48,Buildings,-,1.72,-,1.84,-,0.54,-,0.95,-
49,Machinery,-,103.78,-,116.57,-,22.35,-,17.98,-
