,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,1923,1961,1888,1961,2064,2027,1229,846.36,670.87
1,Revenue Growth (YoY),1.87%,-0.02%,-8.54%,-3.23%,68.03%,139.48%,83.13%,-,-
2,Cost of Revenue,1359,1375,1292,1343,1442,1344,685.11,469.66,409.02
3,Gross Profit,563.97,586.25,596.11,618.49,622.07,682.67,543.44,376.7,261.85
4,"Selling, General & Admin",241.73,247.66,264.06,313.83,233.61,194.02,143.96,97.14,98.41
5,Other Operating Expenses,220.4,71.09,219.68,480.39,10.36,19.95,2.89,7.91,2.61
6,Operating Expenses,462.13,318.75,483.74,794.23,243.96,213.97,146.85,105.05,101.01
7,Operating Income,101.84,267.51,112.37,-175.73,378.1,468.7,396.6,271.65,160.84
8,Interest Expense,-17.46,-17.82,-17.65,-21.46,-1.44,-0.16,-0.11,-0.16,-0.16
9,Interest & Investment Income,1.34,1.02,1.79,23.9,4.34,1.78,4.26,1.28,1.16
10,Earnings From Equity Investments,5.48,4.49,2,1.47,1.74,-0.24,1.35,0.98,0.93
11,Other Non Operating Income (Expenses),7.25,18.02,24.43,22.6,32.83,15.94,4.49,5.4,3.67
12,EBT Excluding Unusual Items,98.45,273.22,122.95,-149.23,415.56,486.02,406.6,279.16,166.43
13,Impairment of Goodwill,-,-255.84,-,-143.42,-,-,-,-,-
14,Gain (Loss) on Sale of Assets,0.18,1.04,0.19,0.42,0.09,0.11,0.03,0.04,-
15,Asset Writedown,-,-1.58,-,-,-,-,-,-,-
16,Pretax Income,98.63,16.84,123.13,-292.22,415.66,486.13,406.62,279.19,166.43
17,Income Tax Expense,28.74,36.08,41.58,-22.44,86.02,120.7,87.74,79.98,41.96
18,Earnings From Continuing Operations,69.89,-19.24,81.56,-269.78,329.63,365.43,318.88,199.21,124.48
19,Minority Interest in Earnings,-12.05,-13.03,-18.99,-40.68,-15.76,-5.79,-3.69,-0.14,-0.47
20,Net Income,57.84,-32.27,62.57,-310.46,313.87,359.65,315.2,199.08,124.01
21,Net Income to Common,57.84,-32.27,62.57,-310.46,313.87,359.65,315.2,199.08,124.01
22,Net Income Growth,-7.56%,-,-80.07%,-,-0.42%,80.66%,154.18%,-,-
23,Shares Outstanding (Basic),2026,2026,2026,2024,2017,2017,2018,1766,1634
24,Shares Outstanding (Diluted),2026,2027,2026,2026,2017,2019,2018,1766,1634
25,Shares Change (YoY),-,0.02%,0.43%,0.35%,-0.03%,14.31%,23.46%,-,-
26,EPS (Basic),0.03,-0.02,0.03,-0.15,0.16,0.18,0.16,0.11,0.08
27,EPS (Diluted),0.03,-0.02,0.03,-0.16,0.16,0.17,0.16,0.11,0.08
28,EPS Growth,-7.73%,-,-80.15%,-,-0.39%,50.84%,105.88%,-,-
29,Free Cash Flow,-104.93,-171.03,-217.53,64.97,146.69,-9.16,278.92,194.42,76.19
30,Free Cash Flow Per Share,-0.05,-0.08,-0.11,0.03,0.07,-0.00,0.14,0.11,0.05
31,Operating Margin,5.30%,13.64%,5.95%,-8.96%,18.32%,23.12%,32.28%,32.10%,23.97%
32,Profit Margin,3.01%,-1.65%,3.31%,-15.83%,15.20%,17.74%,25.66%,23.52%,18.48%
33,Free Cash Flow Margin,-5.46%,-8.72%,-11.52%,3.31%,7.11%,-0.45%,22.70%,22.97%,11.36%
34,EBITDA,172.71,341.16,194.53,-86.6,428.72,488.01,412.1,282.96,172.89
35,D&A For EBITDA,70.87,73.66,82.16,89.13,50.61,19.31,15.5,11.31,12.06
36,EBIT,101.84,267.51,112.37,-175.73,378.1,468.7,396.6,271.65,160.84
