,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,739,770,952,1823,3505,4942,6455,20097,12712,-
1,Market Cap Growth,-57.78%,-57.78%,-72.83%,-63.11%,-45.70%,-75.41%,-49.22%,-,-,-
2,Enterprise Value,368,235,202,599,2782,3463,2811,16618,12268,-
3,Last Close Price,0.36,0.38,0.47,0.90,1.73,2.45,3.03,9.35,5.91,-
4,PE Ratio,26.96,28.02,-,-6.81,-,6.26,7.79,32.49,33.13,-
5,Forward PE,-,4.11,5.50,3.53,4.33,4.60,5.34,21.15,20.15,-
6,PS Ratio,0.18,0.18,0.22,0.44,0.77,1.03,1.62,8.05,7.06,-
7,PB Ratio,0.20,0.19,0.23,0.45,0.90,1.12,1.50,5.28,3.58,-
8,P/TBV Ratio,0.42,0.42,0.58,1.31,3.68,4.15,2.07,6.14,4.22,-
9,P/FCF Ratio,-,-,-,-,14.65,30.68,-,35.30,39.56,-
10,P/OCF Ratio,-,-,-,-,13.25,27.69,-,35.01,39.13,-
11,PEG Ratio,0.02,0.02,0.02,0.02,0.79,0.14,0.09,0.33,0.32,-
12,EV/Sales Ratio,0.09,0.06,0.05,0.14,0.61,0.72,0.70,6.66,6.81,-
13,EV/EBITDA Ratio,0.64,0.43,0.34,5.14,-,3.22,2.54,19.88,22.66,-
14,EV/EBIT Ratio,0.90,0.59,0.48,-8.76,-,3.49,2.65,20.68,23.88,-
15,EV/FCF Ratio,-1.24,-,-,-,11.63,21.50,-,29.19,38.17,-
16,Debt / Equity Ratio,0.16,0.16,0.17,0.17,0.17,0.18,0.00,0.00,0.00,-
17,Debt / FCF Ratio,-,-,-,-,2.68,4.90,-,0.01,0.02,-
18,Return on Capital Employed (ROCE),8.51%,8.51%,8.75%,-1.44%,-,19.02%,24.23%,20.88%,14.27%,-
19,Earnings Yield,3.72%,3.57%,3.51%,-14.69%,0.11%,15.96%,12.83%,3.08%,3.02%,-
20,FCF Yield,-40.10%,-38.52%,-44.96%,-9.04%,6.83%,3.26%,5.13%,2.83%,2.53%,-
21,Buyback Yield / Dilution,-0.06%,-,-0.02%,-0.43%,-0.35%,0.03%,-14.31%,-23.46%,-,-
22,Total Shareholder Return,-0.06%,-,-0.02%,-0.43%,-0.35%,0.03%,-14.31%,-23.46%,-,-
