,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,11497,9375,9854,6491,7689,11946,12157,17757,19688,18830,16203,12415,13263,14339,-,-,-,-,-
1,Market Cap Growth,-21.52%,-21.52%,-18.95%,-63.45%,-60.95%,-36.56%,-24.97%,43.04%,48.44%,31.32%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,8740,6618,7005,3428,4032,8289,8482,13869,15809,14951,12361,8423,13185,14261,-,-,-,-,-
3,Last Close Price,35.55,28.99,30.47,19.72,22.89,35.56,36.19,52.86,57.88,55.36,47.63,36.50,38.45,41.57,-,-,-,-,-
4,PE Ratio,54.69,43.99,36.52,25.40,-,61.34,-,44.10,-,32.87,27.45,21.35,-,28.44,-,-,-,-,-
5,Forward PE,35.76,31.16,34.77,24.52,12.59,20.72,17.81,22.98,23.69,24.06,22.27,17.59,19.09,-,-,-,-,-,-
6,PS Ratio,5.44,4.38,4.25,2.81,3.22,4.89,4.67,6.48,6.94,6.67,5.70,4.31,4.83,5.13,-,-,-,-,-
7,PB Ratio,2.44,1.75,1.84,1.21,1.39,2.13,2.28,3.33,3.56,3.35,3.10,2.42,2.56,2.75,-,-,-,-,-
8,P/TBV Ratio,1.80,1.80,1.89,1.24,1.42,2.17,2.33,3.40,3.63,3.40,3.15,2.46,2.61,2.80,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-65.30,-,-,-,-2051.05,450.32,-,-,123.45,-,-,-,-,-
10,P/OCF Ratio,-,-,42.91,34.77,-,235.47,111.72,-,-,201.69,135.18,-,-,73.91,-,-,-,-,-
11,EV/Sales Ratio,4.08,3.09,3.02,1.48,1.69,3.40,3.26,5.06,5.57,5.29,4.35,2.92,4.80,5.10,-,-,-,-,-
12,EV/EBITDA Ratio,35.71,27.07,38.88,21.13,-,87.95,-,-,-,31.97,23.17,14.79,-,25.86,-,-,-,-,-
13,EV/EBIT Ratio,41.89,31.72,-,-,-,148.04,-,-,-,34.55,24.71,15.67,-,27.26,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-45.31,-,-,-,-1628.54,343.54,-,-,122.78,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.01,-,-,-
16,Debt / EBITDA Ratio,0.03,0.01,0.30,0.23,-,0.01,-,-,-,0.01,0.01,0.01,-,0.00,0.09,0.04,-,-,-
17,Debt / FCF Ratio,-,-,-,-,-,-0.07,-,-,-,-2.07,0.06,-,-,0.04,0.24,-,-,-,-
18,Asset Turnover,-,0.30,0.31,0.18,0.64,0.29,0.35,0.21,0.75,0.39,0.43,0.21,1.15,1.22,-,-,-,-,
19,Inventory Turnover,-,-,1.44,1.75,0.81,3.47,1.29,2.33,1.07,3.49,1.41,1.60,0.80,3.55,1.74,-,-,-,-
20,Quick Ratio,-,-,4.47,4.90,5.19,4.52,4.92,5.35,5.72,4.96,5.47,5.53,5.69,4.67,1.01,1.00,-,1.10,0.71
21,Current Ratio,-,-,5.33,5.77,6.05,5.10,5.54,5.95,6.34,5.37,6.15,6.18,6.38,5.10,1.58,1.55,-,1.50,1.24
22,Return on Equity (ROE),17.05%,0.71%,2.10%,-3.79%,20.71%,-0.33%,0.14%,-6.20%,29.07%,7.22%,9.48%,-2.80%,53.26%,36.53%,4.95%,-1.21%,-,-,
23,Return on Assets (ROA),-,-0.07%,-0.07%,-3.03%,8.61%,-0.79%,-1.35%,-4.35%,13.57%,1.92%,3.97%,-2.71%,24.50%,10.14%,-,-,-,-,
24,Return on Capital (ROIC),13.67%,-0.09%,-0.08%,-3.60%,10.41%,-0.95%,-1.61%,-5.24%,16.40%,2.30%,4.73%,-3.29%,34.08%,22.46%,7.89%,-3.79%,-,-,
25,Return on Capital Employed (ROCE),-,-,-,-,-,0.98%,-,-,-,7.59%,9.44%,10.33%,-,9.91%,42.04%,34.31%,-,33.49%,-
26,Earnings Yield,1.85%,2.27%,2.74%,3.94%,2.97%,1.63%,2.51%,2.27%,2.66%,3.04%,3.64%,4.68%,3.55%,3.52%,-,-,-,-,-
27,FCF Yield,-,-0.55%,-0.88%,-1.30%,-1.53%,-0.90%,-0.33%,-0.19%,-0.05%,0.22%,0.45%,0.34%,0.81%,-,-,-,-,-,
28,Dividend Yield,0.98%,-,-,-,-,1.01%,-,-,-,1.08%,-,-,-,1.20%,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,405.95%,-,1.87%,-,10330.99%,-,2.01%,-,131.46%,-,0.01%,0.73%,-,-,65.87%,-
30,Buyback Yield / Dilution,0.67%,18.81%,-8.11%,-9.23%,0.94%,-3.27%,-0.66%,3.47%,-0.63%,-12.87%,-82.31%,-16.03%,-24.42%,-13.53%,25.47%,-,-,-,-
31,Total Shareholder Return,1.65%,18.81%,-8.11%,-9.23%,0.94%,-2.26%,-0.66%,3.47%,-0.63%,-11.79%,-82.31%,-16.03%,-24.42%,-12.33%,25.47%,-,-,-,-
