,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,162.92,170.64,133.69,258.53,660.05,943.87,379.41,715.26,480.55,610.94,909.48,1004,110.11,59.7,-,428.23,74.85
1,Trading Asset Securities,-,2613,2700,2950,3217,3016,2749,3526,3596,3400,3235,3086,3367,-,-,-,-,61
2,Cash & Short-Term Investments,2776,2776,2870,3084,3476,3676,3693,3906,4311,3881,3846,3995,4371,110.11,59.7,428.23,428.23,135.85
3,Cash Growth,-20.14%,-24.50%,-22.27%,-21.04%,-19.38%,-5.27%,-3.97%,-2.24%,-1.38%,3424.49%,6341.13%,833.01%,920.79%,-18.95%,-,-,-,-
4,Accounts Receivable,-,1375,1364,1394,1489,1412,1456,1440,1509,1224,1228,1079,1140,994.85,969.26,-,871.73,496.29
5,Other Receivables,-,37.35,55.48,41.84,45.97,41.51,40.39,43.87,51.81,42.42,42.65,42.68,43.96,43.32,36.54,-,42.72,52.06
6,Receivables,-,1413,1420,1435,1535,1454,1496,1484,1561,1266,1271,1121,1184,1038,1006,-,914.45,548.34
7,Inventory,-,513.93,498.45,493.64,416.6,581.13,517.38,518.76,434.45,580.66,544.47,548.43,455.15,588.79,527.52,-,432,474.37
8,Prepaid Expenses,-,-,0.03,-,0.4,-,4.88,-,2.78,-,-,-,0.03,-,-,-,-,-
9,Other Current Assets,-,288.67,258.58,260.27,225.46,64.67,55.88,66.82,48.25,61.73,58.31,69.79,55.77,56.9,65.86,-,58.24,36.81
10,Total Current Assets,-,4991,5047,5273,5653,5776,5767,5975,6358,5789,5719,5735,6066,1794,1659,-,1833,1195
11,"Property, Plant & Equipment",-,687.86,627.22,590.93,560.23,500.76,439.5,398.91,376.68,311.09,283.45,288.3,288.85,289.49,275.19,-,249.64,214.44
12,Other Intangible Assets,-,116.35,117.62,118.91,105.08,106.41,107.5,108.97,78.6,79.97,81.08,82.46,83.69,74.41,65.83,-,64.57,33.87
13,Long-Term Accounts Receivable,-,-,38.88,-,48.87,-,53.86,-,48.95,36.68,24.95,20.02,15.08,-,-,-,-,-
14,Long-Term Deferred Tax Assets,-,16.93,15.35,15.48,15.38,18.13,17.29,17.47,14.55,13.22,12.86,12.63,12.14,12.22,11.1,-,7.74,4.56
15,Long-Term Deferred Charges,-,7.52,8.21,8.88,9.58,8.21,8.12,6.92,6.6,7,7.32,2.46,2.61,2.69,0.25,-,0.16,0.85
16,Other Long-Term Assets,-,531.94,470.48,486.78,410.22,54.23,1.68,57.63,5.67,-,-,-,-,2,6.65,-,-,-
17,Total Assets,-,6352,6325,6494,6802,6464,6395,6565,6889,6237,6129,6141,6469,2175,2018,-,2155,1449
18,Accounts Payable,-,315.55,98.03,288.65,342.68,318.2,92.02,256,282.35,217.47,111.08,195.04,227.07,226.15,203.97,-,167.43,62.68
19,Accrued Expenses,-,186.9,322.87,116.44,359.99,194.27,378.59,142.08,407.38,227.46,324.87,131.88,427.7,262.12,251.53,-,395.03,111.7
20,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-,-
21,Current Portion of Leases,-,6.64,7.7,7.52,7.78,8.83,9.44,9.2,10.66,2.04,2.33,2.44,2.47,-,3.14,-,-,-
22,Current Income Taxes Payable,-,18.91,-,9.4,4.93,17.64,0.32,23.95,31.22,15.99,12.26,24.59,33.13,43.4,20.74,-,40.27,20.66
23,Current Unearned Revenue,-,349.5,345.31,388.13,359.45,441.58,424.73,446.39,424.87,422.67,446.35,490.46,466.97,525.71,566.51,-,597.24,528.36
24,Other Current Liabilities,-,59.76,101.49,60.99,32.94,62.53,64.16,64.47,28.17,55.66,28.89,54.38,31.13,49.04,21.13,-,24.45,241.38
25,Total Current Liabilities,-,937.26,875.4,871.13,1108,1043,969.26,942.08,1185,941.29,925.78,898.79,1188,1136,1067,-,1224,964.79
26,Long-Term Leases,-,1.89,3.04,3.55,5.26,5.56,8.32,8.16,8.39,-,1.2,1.19,2.37,2.35,3.3,-,-,-
27,Long-Term Deferred Tax Liabilities,-,9.67,9.62,10.21,10.1,15.21,14.49,14.18,9.65,9.94,7.8,6.23,4.81,4.11,2.08,-,3.19,1.66
28,Other Long-Term Liabilities,-,58.94,57.44,60.46,62.3,66.45,70.02,71.66,70.6,64.42,65.99,63.34,65.6,62.84,61.06,-,51.24,38.99
29,Total Liabilities,-,1008,945.5,945.35,1185,1130,1062,1036,1273,1016,1001,969.55,1261,1206,1133,-,1279,1005
30,Common Stock,-,330,330,330,330,330,330,330,330,330,330,330,330,247.5,247.5,-,247.5,247.5
31,Additional Paid-In Capital,-,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,134.84,134.84,-,134.84,134.84
32,Retained Earnings,-,1271,1261,1350,1403,1119,1123,1319,1406,1012,918.67,961.65,997.96,586.74,502.09,-,493.86,61.32
33,Treasury Stock,-,-146.72,-101.6,-20.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,Total Common Equity,5334,5334,5369,5539,5612,5328,5333,5529,5615,5222,5128,5171,5208,969.07,884.43,876.2,876.2,443.66
35,Minority Interest,-,9.99,10.21,10.48,4.71,4.88,-,-,-,-,-,-,-,-,-,-,-,-
36,Shareholders' Equity,5344,5344,5379,5549,5617,5333,5333,5529,5615,5222,5128,5171,5208,969.07,884.43,876.2,876.2,443.66
37,Total Liabilities & Equity,-,6352,6325,6494,6802,6464,6395,6565,6889,6237,6129,6141,6469,2175,2018,-,2155,1449
38,Total Debt,8.53,8.53,10.74,11.07,13.04,14.4,17.76,17.36,19.05,2.04,3.53,3.63,4.84,32.35,6.44,-,-,-
39,Net Cash (Debt),2767,2767,2859,3073,3463,3662,3675,3888,4292,3879,3842,3992,4367,77.76,53.26,428.23,428.23,135.85
40,Net Cash Growth,-20.08%,-24.43%,-22.19%,-20.97%,-19.32%,-5.59%,-4.35%,-2.59%,-1.71%,4888.24%,7113.36%,832.17%,919.66%,-42.76%,-,-,-,-
41,Net Cash Per Share,10.25,7.57,8.24,9.34,10.42,10.83,11.56,11.71,13.33,11.55,11.67,12.09,15.31,0.42,0.19,1.61,1.71,0.55
42,Filing Date Shares Outstanding,269.87,365.5,323.4,329.03,329.14,330,330,330,330,330,330,330,330,247.5,247.5,265.27,247.5,247.5
43,Total Common Shares Outstanding,269.87,365.5,325.26,329.03,330,330,330,330,330,330,330,330,330,247.5,247.5,265.27,247.5,247.5
44,Working Capital,-,4054,4172,4402,4545,4733,4798,5033,5173,4848,4794,4836,4878,657.56,591.87,-,608.52,230.59
45,Book Value Per Share,14.59,14.59,16.51,16.83,17.01,16.15,16.16,16.75,17.02,15.82,15.54,15.67,15.78,3.92,3.57,3.54,3.54,1.79
46,Tangible Book Value,5218,5218,5252,5420,5507,5222,5225,5420,5537,5142,5047,5089,5124,894.66,818.6,811.62,811.62,409.79
47,Tangible Book Value Per Share,14.28,14.28,16.15,16.47,16.69,15.82,15.83,16.42,16.78,15.58,15.29,15.42,15.53,3.61,3.31,3.28,3.28,1.66
48,Buildings,-,-,245.83,-,245.91,-,245.91,-,245.91,-,245.91,-,245.89,-,161.86,-,130.49,130.34
49,Machinery,-,-,153.24,-,155.6,-,149.27,-,139.64,-,126.94,-,123.17,-,105.67,-,89.9,75.6
50,Construction In Progress,-,-,378.47,-,294.91,-,161.48,-,90.53,-,15.57,-,11.29,-,83.31,-,102.88,69.02
