,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,884.16,478.5,485.44,294.02,1057,468.56,563.89,345.57,1225,603.88,662.21,332.18,1246,641.63,524.48,382.55,1073,159.63
1,Other Revenue,-,-4.73,4.73,-,6.35,-2.37,2.37,-,0.92,-0.22,0.22,-,0.12,-0.01,0.01,-,0.05,0.02
2,Revenue,884.16,473.78,490.16,294.02,1063,466.2,566.26,345.57,1226,603.66,662.43,332.18,1246,641.62,524.49,382.55,1073,159.65
3,Revenue Growth (YoY),-16.84%,1.63%,-13.44%,-14.92%,-13.28%,-22.77%,-14.52%,4.03%,-1.59%,-5.92%,26.30%,-13.17%,16.08%,301.89%,-,-,-,-
4,Cost of Revenue,-491.34,181.76,216.98,92.6,432.8,176.74,301.13,127.37,442.82,198.06,219.19,100.2,463.84,242.16,143.73,104.9,340.71,36.16
5,Gross Profit,1376,292.02,273.18,201.42,630.37,289.45,265.13,218.2,783.18,405.59,443.23,231.98,781.94,399.46,380.76,277.65,732.51,123.49
6,"Selling, General & Admin",-496.46,163.02,146.34,187.11,222.76,168.38,156.87,231.4,256.7,214.8,204.93,199.13,191.65,196.07,227.86,214.69,258.32,111
7,Research & Development,-341.21,109.81,117.74,113.65,135.38,122.86,131.18,123.67,122.18,140.56,137.98,124.81,151.61,117.06,122.19,98.13,131.45,49.59
8,Other Operating Expenses,1945,-1.54,-1.51,-8.08,7.12,-8.42,-4.97,-13.62,6.39,-11.6,-12.82,-19.62,-2.98,-8.44,-7.02,-19.9,-7.95,-6.75
9,Operating Expenses,1083,293.85,274.95,281.93,401.89,309.86,300.13,335.29,427.05,358.04,345.81,300.34,358.37,314.46,352.88,290.94,395.55,148.81
10,Operating Income,292.77,-1.83,-1.77,-80.52,228.49,-20.4,-35,-117.09,356.12,47.56,97.43,-68.36,423.58,85,27.88,-13.29,336.95,-25.31
11,Interest Expense,-15.23,-0.08,-0.32,-,-0.19,-0.14,-0.17,-0.16,-0.35,-0.03,-0.03,-0.04,-,-0.41,-0.23,-,-,-
12,Interest & Investment Income,0.4,5.4,5.34,4.49,8.8,5.13,6.75,4.17,8.26,5.34,5.11,6.53,6.72,0.26,0.4,1.07,0.91,0.64
13,Other Non Operating Income (Expenses),4.5,2.59,-2.01,0.5,-8.63,0.15,5.23,0.63,-28.99,20.83,4.05,2,-13.75,3.01,2.25,8.28,-6.99,-0.28
14,EBT Excluding Unusual Items,282.44,6.07,1.25,-75.53,228.47,-15.27,-23.18,-112.46,335.03,73.7,106.55,-59.87,416.55,87.86,30.3,-3.94,330.87,-24.95
15,Gain (Loss) on Sale of Investments,-66.48,19.5,22.73,24.25,22.94,23.85,24.24,28.78,24.49,28.2,28.82,24.31,5.23,-,-,-,-,-
16,Gain (Loss) on Sale of Assets,-0.69,0.11,0.17,0.41,0.32,0.1,0.02,0.11,0.37,-0.13,0.19,0.21,-0.08,0.2,0.01,0.02,-0.13,0.01
17,Asset Writedown,14.73,-14.73,1.98,-1.98,13.11,-13.11,1.16,-1.16,8.73,-8.73,0.02,-0.02,2.32,-2.32,0.88,-0.88,2.36,-0
18,Other Unusual Items,-,-2.88,2.88,-,3.02,-0.13,0.13,-,35.52,-0.03,0.03,-,22.49,-0.16,0.16,-,14.61,2.35
19,Pretax Income,230,8.06,29.02,-52.85,267.87,-4.57,2.36,-84.74,404.14,93.01,135.62,-35.37,446.51,85.58,31.36,-4.8,347.7,-22.59
20,Income Tax Expense,2.26,-1.49,0.31,0.03,-15.65,-0.12,0.5,1.62,10.36,-0.41,13.6,0.94,35.29,0.94,20.47,-2.14,35.74,-0.35
21,Earnings From Continuing Operations,227.74,9.55,28.71,-52.88,283.52,-4.45,1.87,-86.36,393.77,93.42,122.02,-36.31,411.23,84.64,10.89,-2.65,311.96,-22.25
22,Minority Interest in Earnings,-0.73,0.23,0.27,0.23,0.17,0.02,-,-,-,-,-,-,-,-,-,-,-,-
23,Net Income,227.01,9.78,28.98,-52.64,283.68,-4.43,1.87,-86.36,393.77,93.42,122.02,-36.31,411.23,84.64,10.89,-2.65,311.96,-22.25
24,Net Income to Common,227.01,9.78,28.98,-52.64,283.68,-4.43,1.87,-86.36,393.77,93.42,122.02,-36.31,411.23,84.64,10.89,-2.65,311.96,-22.25
25,Net Income Growth,-19.98%,-,1453.72%,-,-27.96%,-,-98.47%,-,-4.24%,10.37%,1020.64%,-,31.82%,-,-,-,-,-
26,Shares Outstanding (Basic),270,365,347,329,332,338,318,332,322,336,329,330,285,184,284,265,251,247
27,Shares Outstanding (Diluted),270,365,347,329,332,338,318,332,322,336,329,330,285,184,284,265,251,247
