,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,373.81,739.97,813.76,880.71,887.04,318.73,84.02,148.09,-,52.58,-,86.89,86.89,33.87,33.87
1,Trading Asset Securities,391.59,80,-,-,-,570,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,765.39,819.97,813.76,880.71,887.04,888.73,84.02,148.09,-,52.58,86.89,86.89,86.89,33.87,33.87
3,Cash Growth,-13.71%,-7.74%,868.49%,494.71%,-,1590.34%,-3.30%,70.44%,-,55.22%,156.51%,-,-,-,-
4,Accounts Receivable,292.39,239.78,240.41,286.51,272.68,186.73,131.84,161.57,-,106.87,-,109.59,109.59,101.22,101.22
5,Other Receivables,2.98,1.86,2.06,1.54,2.56,2.13,2.17,1.72,-,1.89,-,1.5,1.5,1.58,1.58
6,Receivables,295.38,241.64,242.46,288.06,275.25,188.86,134.01,163.29,-,108.76,-,111.09,111.09,102.79,102.79
7,Inventory,162.77,154.07,126.37,82.61,101.52,124.33,164.18,131.78,-,118.77,-,76.51,76.51,120.98,120.98
8,Other Current Assets,27.68,3.9,10.7,2.66,10.05,12.77,15.93,7.99,-,7.52,-,5.31,5.31,2.29,2.29
9,Total Current Assets,1251,1220,1193,1254,1274,1215,398.14,451.16,-,287.62,-,279.79,279.79,259.94,259.94
10,"Property, Plant & Equipment",119.16,108.47,106.84,104.08,100.58,99.16,92.62,80.78,-,64.29,-,57.18,57.18,26.34,26.34
