,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2878,3004,2307,2734,4993,3671,5562,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-18.16%,-18.16%,-58.53%,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2132,2187,1496,1937,4196,2827,5524,-,-,-,-,-,-,-,-,-
3,Last Close Price,53.96,56.32,43.25,50.91,92.97,68.36,103.58,-,-,-,-,-,-,-,-,-
4,PE Ratio,55.30,57.34,41.64,-,112.94,84.93,96.58,-,-,-,-,-,-,-,-,-
5,Forward PE,-,17.78,17.78,22.85,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,7.85,9.74,7.51,8.96,16.44,9.98,14.59,-,-,-,-,-,-,-,-,-
7,PB Ratio,2.50,2.61,2.01,2.40,4.36,3.31,5.07,-,-,-,-,-,-,-,-,-
8,P/TBV Ratio,2.63,2.63,2.03,2.41,4.39,3.33,5.09,-,-,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-140.01,-,-33.18,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,234.69,-,104.77,-,-41.81,-,-,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,5.77,7.09,4.87,6.35,13.82,7.69,14.49,-,-,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,46.08,47.41,36.68,-,114.77,74.70,91.94,-,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,52.30,53.66,42.56,-,137.93,89.94,102.73,-,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,-92.18,-,-90.83,-,-27.88,-,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.02,0.02,0.00,0.00,0.08,0.08,0.04,0.20,0.16,-,0.19,0.21,0.21,0.21,0.24,0.24
16,Debt / EBITDA Ratio,0.41,0.57,0.05,-,0.65,7.41,1.61,-,0.27,-,0.52,-,0.32,0.32,1.62,1.62
17,Debt / FCF Ratio,-,-,-0.20,-,-0.62,-,-,-,0.56,-,2.28,-,-0.78,-0.53,-,-
18,Asset Turnover,0.29,0.30,0.09,0.23,0.29,0.43,0.22,-,-,-,-,1.16,1.24,0.62,-,
19,Inventory Turnover,1.61,1.45,1.49,0.64,1.10,2.12,1.64,0.46,-,-,-,-,2.87,2.22,0.82,-
20,Quick Ratio,4.58,4.58,5.11,6.33,4.32,4.23,5.93,0.97,1.16,-,1.10,-,1.39,1.39,0.80,0.80
21,Current Ratio,5.40,5.40,5.88,7.15,4.64,4.63,6.69,1.77,1.69,-,1.96,-,1.96,1.96,1.52,1.52
22,Return on Equity (ROE),1.57%,6.60%,-1.74%,12.06%,2.72%,5.55%,-11.12%,-,-,38.13%,-9.85%,58.92%,69.11%,12.68%,-,
23,Return on Assets (ROA),1.31%,2.75%,-2.60%,5.90%,0.29%,1.34%,-4.38%,-,-,-,-,19.16%,20.64%,2.55%,-,
24,Return on Capital (ROIC),1.55%,3.20%,-2.98%,6.79%,0.34%,1.73%,-8.30%,-,-,17.97%,-8.19%,32.18%,37.45%,5.11%,-,
25,Return on Capital Employed (ROCE),3.53%,3.53%,3.06%,-,2.65%,2.83%,4.70%,-,24.24%,-,28.66%,-,29.11%,16.05%,4.84%,2.42%
26,Earnings Yield,1.82%,1.74%,2.40%,1.67%,0.89%,1.18%,1.04%,-,-,-,-,-,-,-,-,-
27,FCF Yield,-0.80%,-0.77%,-0.71%,-3.62%,-3.01%,-1.77%,-0.55%,-,-,-,-,-,-,-,-,-
28,Dividend Yield,0.54%,-,-,-,0.32%,-,-,-,-,-,-,-,-,-,-,-
29,Payout Ratio,34.72%,3.33%,84.54%,-,4.07%,-,2.94%,-,1.03%,1.58%,3.17%,-,1.06%,1.06%,264.31%,264.31%
30,Buyback Yield / Dilution,-19.97%,-4.09%,-3.47%,-35.94%,-44.19%,-25.03%,-27.37%,2.73%,1.30%,2.15%,1.17%,-4.66%,-,-,-,-
31,Total Shareholder Return,-19.43%,-4.09%,-3.47%,-35.94%,-43.87%,-25.03%,-27.37%,2.73%,1.30%,2.15%,1.17%,-4.66%,-,-,-,-
