,Fiscal Quarter,Current,Q3 2025,Q2 2025,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,8971366,10408375,9672193,11616797,7591578,8266174,7197625,6957537,7644783,7640159,6870066,6376435,6866930,5999992,5879992,3729995,3599995,3799995,3469995,3104996,2249997,Upgrade
1,Market Cap Growth,25.92%,25.92%,34.38%,66.97%,-0.70%,8.19%,4.77%,9.11%,11.33%,27.34%,16.84%,70.95%,90.75%,57.89%,69.45%,20.13%,60.00%,5.85%,-7.71%,14.30%,4.09%,Upgrade
2,Enterprise Value,9545484,11193736,10383431,12253952,8377591,9236663,8346414,7321903,8047973,8357828,7500720,7035985,7123435,6221898,6220675,4058515,3854065,3937721,3635043,3209862,2421324,Upgrade
3,Last Close Price,42450.00,49250.00,45765.77,54954.95,35990.99,39189.19,33699.86,32571.83,28130.22,28200.72,32289.82,29969.16,32274.48,28199.63,27635.64,17530.77,16919.78,17859.77,15830.52,14165.35,10264.75,Upgrade
4,PE Ratio,28.62,37.96,34.83,43.29,30.60,31.31,29.31,29.20,29.95,31.51,29.97,26.75,33.90,30.00,33.89,22.09,23.52,25.19,23.76,21.55,18.10,Upgrade
5,PS Ratio,1.13,1.31,1.25,1.58,1.03,1.10,0.94,0.90,1.00,1.00,0.96,0.95,1.09,1.03,1.06,0.69,0.69,0.77,0.71,0.65,0.46,Upgrade
6,PB Ratio,3.14,2.90,2.81,3.38,2.27,2.53,2.22,2.19,2.45,2.48,2.33,2.26,2.52,2.32,2.37,1.56,1.55,1.62,1.47,1.35,1.00,Upgrade
7,P/TBV Ratio,4.26,4.26,4.18,5.09,3.46,3.81,3.40,3.38,3.79,3.83,3.60,3.39,3.82,2.95,3.03,2.00,1.98,2.10,1.89,1.73,1.28,Upgrade
8,P/FCF Ratio,44.33,51.43,-,-,-27.94,-22.15,-21.97,-,28.10,131.44,-,-56.86,-,-98.05,-120.18,-,-,-219.81,36.49,-,-,Upgrade
