,Fiscal Quarter,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,H1 2019
,Period Ending,"Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019","Jun '19 Jun 30, 2019"
0,Cash & Equivalents,2177385,2407747,1133312,315043,321446,-
1,Short-Term Investments,464737,44882,814844,785611,1250317,-
2,Trading Asset Securities,-,-,-,-,59670,-
3,Cash & Short-Term Investments,2642122,2452628,1948156,1100653,1631433,-
4,Cash Growth,35.62%,122.83%,19.41%,-,-,-
5,Accounts Receivable,1556710,1104352,739772,701976,894156,-
6,Other Receivables,50512,53788,50663,65684,74706,-
7,Receivables,1818878,1534510,832867,1762148,1575693,-
8,Inventory,1344489,1411779,1235680,1073488,1333130,-
9,Prepaid Expenses,44662,23540,45781,35846,34004,-
10,Other Current Assets,800739,1062476,1057331,990030,990047,-
11,Total Current Assets,6650889,6484933,5119815,4962165,5564307,-
12,"Property, Plant & Equipment",3841376,3545941,3480083,2923438,2753558,-
13,Long-Term Investments,180901,156749,263126,345841,313900,-
14,Goodwill,493179,556827,582977,610690,646033,-
15,Other Intangible Assets,448850,414056,419203,89733,290292,-
16,Long-Term Accounts Receivable,-,15785,-,-,-,-
17,Long-Term Deferred Tax Assets,6438,3591,230.36,188.86,189.9,-
18,Other Long-Term Assets,691734,534354,568095,575673,374016,-
19,Total Assets,12328068,11746250,10433530,9555029,9987997,-
20,Accounts Payable,718878,635488,639866,591346,745160,-
21,Accrued Expenses,129355,130308,104585,62688,74233,-
22,Short-Term Debt,2674758,2734323,2621977,2622868,2641718,-
23,Current Portion of Long-Term Debt,143224,667868,741552,228522,96745,-
24,Current Portion of Leases,23943,16899,13644,9813,6564,-
25,Current Income Taxes Payable,48764,33471,13482,25157,31146,-
26,Current Unearned Revenue,66066,94060,88301,67595,41876,-
27,Other Current Liabilities,360343,229257,172352,111882,143458,-
28,Total Current Liabilities,4165330,4541672,4395759,3719871,3780900,-
29,Long-Term Debt,2055472,1548673,1354248,1590265,1996964,-
30,Long-Term Leases,51394,37639,34822,22973,22973,-
31,Long-Term Unearned Revenue,89444,66786,101908,122840,101673,-
32,Long-Term Deferred Tax Liabilities,-,25749,22197,22298,22387,-
33,Other Long-Term Liabilities,23491,21473,132047,-,-,-
34,Total Liabilities,6385131,6241993,6040980,5478248,5924897,-
35,Common Stock,1951074,1951074,1393625,1282625,1282625,-
36,Additional Paid-In Capital,657000,657000,657286,485501,485506,-
37,Retained Earnings,109711,19383,41760,200814,196994,-
38,Comprehensive Income & Other,65644,69062,69773,-1104,-337.78,-
39,Total Common Equity,2783430,2696520,2162444,1967836,1964787,-
40,Minority Interest,3086358,2734588,2156957,1967796,1957164,-
41,Shareholders' Equity,5942937,5504257,4392550,4076781,4063100,-
42,Total Liabilities & Equity,12328068,11746250,10433530,9555029,9987997,-
43,Total Debt,4948791,5005402,4766242,4474441,4764963,-
44,Net Cash (Debt),-2306669,-2552773,-2818086,-3373788,-3133530,-
45,Net Cash Per Share,-9455.52,-10819.37,-12800.67,-15930.31,-19660.40,-
46,Filing Date Shares Outstanding,243.88,243.88,174.2,160.33,160.33,151.62
47,Total Common Shares Outstanding,243.88,243.88,174.2,160.33,160.33,151.62
48,Working Capital,2485559,1943260,724057,1242294,1783407,-
49,Book Value Per Share,11412.91,11056.55,12413.35,12273.81,12254.79,-
50,Tangible Book Value,1841401,1725637,1160265,1267413,1028461,-
51,Tangible Book Value Per Share,7550.31,7075.64,6660.42,7905.12,6414.73,-
52,Buildings,1247330,1245663,1201888,827449,813149,-
53,Machinery,3038264,3052841,3014766,2457606,2480456,-
54,Construction In Progress,939544,544687,386729,637833,364395,-
