,Fiscal Quarter,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,H1 2019
,Period Ending,"Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019","Jun '19 Jun 30, 2019"
0,Revenue,8392597,6401274,4648027,3836864,4471500,5041695
1,Revenue Growth (YoY),80.56%,66.84%,3.95%,-23.90%,-,-
2,Cost of Revenue,7456527,5639323,4121485,3407990,4055213,4376304
3,Gross Profit,936070,761951,526542,428874,416287,665391
4,"Selling, General & Admin",765818,532764,334780,274878,231136,226637
5,Operating Expenses,765818,532764,334780,274878,231136,226637
6,Operating Income,170252,229187,191763,153995,185151,438754
7,Interest Expense,-130561,-141782,-139379,-133518,-127044,-141388
8,Interest & Investment Income,68016,47901,58015,67101,73870,55446
9,Earnings From Equity Investments,6950,-10262,-4248,-5894,12151,13033
10,Currency Exchange Gain (Loss),22912,22454,16131,3491,12389,-7168
11,Other Non Operating Income (Expenses),-6428,2200,30603,1236,223920,8404
12,EBT Excluding Unusual Items,131142,149698,152885,86410,380437,367082
13,Gain (Loss) on Sale of Investments,14100,50097,8590,13112,-72553,72553
14,Gain (Loss) on Sale of Assets,2097,195.36,-97.42,14641,73840,-
15,Other Unusual Items,-1913,-18862,2816,12244,928.91,-
16,Pretax Income,145426,181129,164193,126406,382653,439635
17,Income Tax Expense,49705,38400,29984,18451,40780,69770
18,Earnings From Continuing Operations,95721,142728,134209,107955,341873,369865
19,Minority Interest in Earnings,-75029,-104571,-79639,-85195,-76131,-197644
20,Net Income,20692,38158,54571,22761,265742,172221
21,Preferred Dividends & Other Adjustments,3252,2392,31011,15442,24946,19734
22,Net Income to Common,17439,35766,23560,7318,240795,152487
23,Net Income Growth,-62.08%,67.65%,-79.46%,-86.78%,-,-
24,Shares Outstanding (Basic),244,236,220,212,159,152
25,Shares Outstanding (Diluted),244,236,220,212,159,152
26,Shares Change (YoY),10.81%,11.41%,38.13%,39.68%,-,-
27,EPS (Basic),71.49,151.58,107.02,34.56,1510.80,1005.73
28,EPS (Diluted),71.49,151.20,107.02,34.40,1510.59,1005.60
29,EPS Growth,-33.20%,339.53%,-92.92%,-96.58%,-,-
30,Free Cash Flow,131005,-557510,87582,180259,293495,-469270
31,Free Cash Flow Per Share,537.02,-2362.88,397.83,851.14,1841.44,-3095.07
32,Operating Margin,2.03%,3.58%,4.13%,4.01%,4.14%,8.70%
33,Profit Margin,0.21%,0.56%,0.51%,0.19%,5.39%,3.02%
34,Free Cash Flow Margin,1.56%,-8.71%,1.88%,4.70%,6.56%,-9.31%
35,EBITDA,414435,467424,371083,349347,346646,574503
36,D&A For EBITDA,244184,238237,179320,195352,161495,135749
37,EBIT,170252,229187,191763,153995,185151,438754
38,Revenue as Reported,8392597,6401274,4648027,3836864,4471500,5041695
