,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,3783,3432,3877,3789,4576,5631,-,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-39.05%,-39.05%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2536,2067,3060,2306,3093,5403,-,-,-,-,-,-,-,-,-,-
3,Last Close Price,25.46,22.97,25.94,25.15,30.38,37.38,-,-,-,-,-,-,-,-,-,-
4,PE Ratio,42.14,37.97,47.09,39.94,41.33,51.40,-,-,-,-,-,-,-,-,-,-
5,Forward PE,-,16.53,16.53,20.38,26.29,32.53,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,8.20,7.39,9.15,9.39,11.18,13.95,-,-,-,-,-,-,-,-,-,-
7,PB Ratio,1.78,1.61,1.85,1.81,2.21,2.77,-,-,-,-,-,-,-,-,-,-
8,P/TBV Ratio,1.64,1.64,1.89,1.85,2.25,2.83,-,-,-,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-338.92,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,262.11,-,229.73,-,151.46,-,-,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,5.46,4.45,7.23,5.71,7.56,13.39,-,-,-,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,28.72,23.91,40.30,23.65,25.47,45.33,-,-,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,37.47,30.34,52.32,28.72,29.43,52.08,-,-,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,-27.83,-,-,-,-229.10,-,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,-,-,-,-,-,0.03,0.03
16,Debt / EBITDA Ratio,0.01,0.01,0.02,0.03,0.01,0.00,-,0.00,0.00,-,-,-,-,-,0.09,0.09
17,Debt / FCF Ratio,-,-,-,-,-0.08,-,-,-,0.01,-,-,-,-,-,-,-
18,Asset Turnover,0.25,0.21,0.15,0.22,0.27,-,-,-,-,-,-,0.47,0.49,0.57,-,
19,Inventory Turnover,2.69,3.15,3.09,2.28,3.33,2.85,-,-,-,-,-,-,2.65,2.81,2.87,-
20,Quick Ratio,10.67,10.67,13.06,8.69,12.85,14.27,4.44,-,4.93,-,-,-,5.85,5.85,4.67,4.67
21,Current Ratio,12.12,12.12,13.89,13.90,13.46,15.03,5.23,-,5.81,-,-,-,6.73,6.73,5.38,5.38
22,Return on Equity (ROE),4.96%,3.11%,2.54%,6.78%,5.20%,16.05%,16.86%,-,-,-,14.08%,22.77%,24.14%,27.45%,-,
23,Return on Assets (ROA),2.67%,1.02%,0.76%,3.19%,2.38%,-,-,-,-,-,-,11.25%,11.72%,16.63%,-,
24,Return on Capital (ROIC),2.86%,1.09%,0.82%,3.42%,2.61%,10.75%,11.46%,-,-,-,10.13%,12.69%,13.28%,18.92%,-,
25,Return on Capital Employed (ROCE),3.17%,3.19%,2.78%,3.82%,5.06%,5.09%,16.46%,-,15.74%,-,-,-,23.83%,18.78%,15.36%,7.68%
26,Earnings Yield,2.39%,2.63%,2.12%,2.50%,2.42%,1.95%,-,-,-,-,-,-,-,-,-,-
27,FCF Yield,-2.41%,-2.66%,-2.14%,-1.21%,-0.30%,-0.47%,-,-,-,-,-,-,-,-,-,-
28,Dividend Yield,1.31%,1.46%,-,-,1.10%,-,-,-,-,-,-,-,-,-,-,-
29,Payout Ratio,35.23%,-,186.62%,-,4.21%,102.97%,-,-,-,-,-,-,-,-,0.25%,0.25%
30,Buyback Yield / Dilution,-26.28%,-12.16%,-33.56%,-31.44%,-31.45%,-27.60%,1.60%,-,0.22%,3.04%,-1.74%,-,-,-,-,-
31,Total Shareholder Return,-24.97%,-10.70%,-33.56%,-31.44%,-30.35%,-27.60%,1.60%,-,0.22%,3.04%,-1.74%,-,-,-,-,-
