,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,732.85,164,204.99,87.44,834.79,134.71,-,130.07,-,-,-,98.54,98.54,78.7,78.7
1,Short-Term Investments,-,577.91,-,732.66,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,518.2,626.62,615.17,690.85,648.28,93.23,-,93.53,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,1251,1369,820.16,1511,1483,227.95,223.6,223.6,-,-,98.54,98.54,98.54,78.7,78.7
4,Cash Growth,-15.64%,500.38%,266.80%,575.74%,-,-,126.91%,126.91%,-,-,25.21%,-,-,-,-
5,Accounts Receivable,407.33,372.76,365.23,362.37,343.63,315,-,287.11,-,-,-,318.56,318.56,297.08,297.08
6,Other Receivables,6.75,6.35,7.69,1.26,2.04,2.03,-,1.3,-,-,-,0.9,0.9,1.92,1.92
7,Receivables,414.07,379.11,372.92,363.63,345.67,317.04,-,288.41,-,-,-,319.47,319.47,299,299
8,Inventory,124.07,99.71,93.01,83.52,86.31,87.95,-,73.24,-,-,-,52.46,52.46,46.35,46.35
9,Other Current Assets,103.31,12.44,623,5.74,11.11,8.1,-,18.18,-,-,-,10.8,10.8,11.73,11.73
10,Total Current Assets,1892,1860,1909,1964,1926,641.03,-,603.43,-,-,-,481.27,481.27,435.78,435.78
11,"Property, Plant & Equipment",275.1,216.62,214.33,212.42,189.63,181.99,-,148.19,-,-,-,126.79,126.79,119.96,119.96
12,Long-Term Investments,57.23,57.23,57.45,-,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,38.85,39.08,39.34,39.6,39.85,40.11,-,40.63,-,-,-,41.65,41.65,41.36,41.36
14,Long-Term Deferred Tax Assets,10.6,9.07,6.95,5.45,4.7,4.39,-,4.2,-,-,-,3.82,3.82,4.14,4.14
15,Long-Term Deferred Charges,0.28,0.31,0.34,0.27,0.3,2.81,-,0.37,-,-,-,0.46,0.46,0.04,0.04
16,Other Long-Term Assets,19.91,53.91,13.18,2.23,7.41,6.07,-,3.92,-,-,-,2.38,2.38,2.34,2.34
