,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,1025,1058,1155,1030,829.47,760.3,1457,684.85,1030,1379,3317,343.64,-,520.55,-
1,Trading Asset Securities,-,-,-,-,274.96,302.16,802.95,600.2,1789,1891,1876,-,-,-,-,-
2,Cash & Short-Term Investments,1025,1025,1058,1155,1305,1132,1563,2057,2474,2921,3255,3317,343.64,-,520.55,572.86
3,Cash Growth,-21.43%,-9.41%,-32.31%,-43.86%,-47.27%,-61.26%,-51.97%,-37.98%,619.99%,-,525.26%,479.03%,-,-,-,-
4,Accounts Receivable,-,484.68,442.31,416.16,369.82,342.93,252.49,204.9,152.14,112.2,112.98,154.67,166.82,-,96.67,-
5,Other Receivables,-,11.54,8.49,23.3,23.36,25.89,24.85,27.65,24.19,22.13,30.45,30.37,29.64,-,29.39,-
6,Receivables,-,496.22,450.8,439.47,393.18,368.82,277.34,232.55,176.34,134.34,143.43,185.04,196.47,-,126.06,-
7,Inventory,-,1042,982.66,1003,843.28,624.68,542.39,513.78,533.28,487.38,472.46,460.16,385.57,-,302.4,-
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,-,0.21,-,-,-
9,Other Current Assets,-,331.02,331.49,278.78,262.71,214.52,161.15,146.52,130.28,52.77,50.62,86.12,64.12,-,104.02,-
10,Total Current Assets,-,2895,2823,2876,2804,2340,2544,2950,3314,3596,3921,4048,990.01,-,1053,-
11,"Property, Plant & Equipment",-,3790,3814,3681,3641,3465,2877,2447,2206,1939,1537,1382,1293,-,1140,-
12,Long-Term Investments,-,25.81,28.68,26.76,28.75,5.77,5.82,2.72,2.81,2.69,2.69,2.85,2.86,-,3.19,-
13,Other Intangible Assets,-,266.6,268.96,271.04,273.21,270.32,272.49,274.09,252.71,252.95,254.85,252.58,254.16,-,257.24,-
14,Long-Term Deferred Tax Assets,-,40.46,40.15,38.38,37.43,53.62,50.95,59.29,43.64,55.05,52.51,50.64,51.3,-,30.48,-
15,Long-Term Deferred Charges,-,42.82,43.03,38.94,15.94,13.85,14,14.8,15.34,2.8,-,-,-,-,-,-
16,Other Long-Term Assets,-,79.57,93.09,175.17,111.11,16.56,17.75,19.8,18.42,17.91,49.39,42.23,27.05,-,25.03,-
17,Total Assets,-,7140,7111,7107,6911,6165,5782,5767,5853,5866,5818,5779,2618,-,2509,-
18,Accounts Payable,-,722.03,862.54,1152,1070,449.75,201.04,127.07,185.31,179.2,116.29,62.16,51.62,-,62.56,-
19,Accrued Expenses,-,31.76,48.08,49.84,63.69,33.23,26.81,14.09,24.05,7.27,10.51,6.98,14.86,-,11.54,-
20,Short-Term Debt,-,400,300,100,3.15,-,-,5.57,-,-,-,-,-,-,-,-
21,Current Portion of Leases,-,-,7.56,-,0.05,4.89,0.7,-,0.7,-,-,-,-,-,-,-
22,Current Income Taxes Payable,-,35.72,34.63,41.96,32.3,58.63,49.03,51.58,49.24,51.68,49.08,50.96,49.67,-,45.77,-
23,Current Unearned Revenue,-,101.51,93.59,102.33,99.32,118.59,13.96,17.14,22.36,0.91,1.82,2.14,2.5,-,3.83,-
24,Other Current Liabilities,-,79.35,56.35,66.81,35.17,24.36,20.21,17.88,31.3,16.83,5.98,3.61,4.88,-,1.55,-
