,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,30795,21899,26941,20116,20712,28391,23591,31773,31425,33517,46284,28791,23419,-,-,-,-
1,Market Cap Growth,-22.87%,-22.87%,14.20%,-36.69%,-34.09%,-15.29%,-49.03%,10.36%,34.18%,-,-,-,-,-,-,-,-
2,Enterprise Value,30279,21383,26293,19074,19589,27267,22034,29724,28509,30602,43033,25477,23077,-,-,-,-
3,Last Close Price,72.00,51.20,62.99,46.92,48.20,66.07,54.90,73.94,73.13,78.00,107.71,67.00,54.50,-,-,-,-
4,PE Ratio,171.43,121.35,162.72,156.88,725.83,-620.97,-187.02,-,-,-,-,-,-,-,-,-,-
5,Forward PE,102.86,60.58,92.74,90.79,144.41,209.02,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,17.50,12.39,15.78,11.66,13.96,22.70,24.26,45.77,57.93,80.37,117.70,70.66,53.89,-,-,-,-
7,PB Ratio,5.83,4.15,5.10,3.85,3.97,5.43,4.55,6.14,6.02,6.38,8.72,5.38,4.35,-,-,-,-
8,P/TBV Ratio,4.37,4.37,5.37,4.06,4.19,5.73,4.81,6.48,6.35,6.71,9.16,5.65,4.57,-,-,-,-
9,P/OCF Ratio,-,-,-1734.74,-,-,2185.29,-463.93,-308.56,-,-,-,567.34,-,-,-,-,-
10,EV/Sales Ratio,17.12,12.09,15.40,11.06,13.20,21.80,22.66,42.82,52.55,73.38,109.43,62.53,53.10,-,-,-,-
11,EV/EBITDA Ratio,80.58,52.61,76.47,70.36,144.52,1031.35,-283.95,-,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,187.36,132.31,265.55,431.35,-389.63,-,-,-,-,-,-,-,-,-,-,-,-
13,Debt / Equity Ratio,0.10,0.10,0.10,0.08,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,-
14,Debt / EBITDA Ratio,1.35,1.65,1.19,0.77,0.30,0.22,0.06,-,-,-,-,-,-,-,-,0.00,-
15,Asset Turnover,-,0.21,0.27,0.24,0.26,0.26,0.17,0.13,0.10,0.07,0.06,0.06,-,-,-,-,
16,Inventory Turnover,-,-,0.97,1.50,1.44,1.99,2.12,1.69,1.30,1.19,0.95,0.86,0.79,-,-,-,-
17,Quick Ratio,-,-,1.11,1.08,1.05,1.30,2.18,5.90,9.81,8.47,11.94,18.50,27.83,4.37,-,5.16,-
18,Current Ratio,-,-,2.11,2.01,1.90,2.15,3.39,8.16,12.64,10.59,14.05,21.35,32.17,8.01,-,8.41,-
19,Return on Equity (ROE),2.84%,3.13%,4.27%,3.53%,1.73%,0.29%,-3.38%,-2.15%,-4.39%,-3.36%,-2.18%,-4.60%,-,-,4.45%,-,
20,Return on Assets (ROA),-,1.88%,1.50%,1.49%,-1.50%,-0.05%,-2.24%,-2.12%,-5.34%,-2.33%,-2.58%,-3.00%,-,-,-,-,
21,Return on Capital (ROIC),1.01%,2.35%,1.95%,1.98%,-1.87%,-0.06%,-2.49%,-2.35%,-5.92%,-2.55%,-2.79%,-3.31%,-,-,3.05%,-,
22,Return on Capital Employed (ROCE),-,-,1.72%,0.77%,-0.90%,-,-,-,-,-,-,-,-,-,-,2.20%,-
23,Earnings Yield,0.59%,0.82%,0.61%,0.64%,0.14%,-0.16%,-0.53%,-0.55%,-0.51%,-0.52%,-0.18%,-0.11%,0.10%,-,-,-,-
24,FCF Yield,-,-2.38%,-4.77%,-6.00%,-4.92%,-7.35%,-5.29%,-4.11%,-3.26%,-1.67%,-1.70%,-1.76%,-,-,-,-,
25,Payout Ratio,0.00%,-,6.79%,2.12%,-,-,-,-,-,-,-,-,-,-,-,-,-
26,Buyback Yield / Dilution,-3.38%,-9.30%,-4.44%,3.48%,-4.19%,15.29%,-7.15%,3.35%,-1.10%,-8.32%,-15.64%,-15.15%,0.07%,-,-,-,-
27,Total Shareholder Return,-3.38%,-9.30%,-4.44%,3.48%,-4.19%,15.29%,-7.15%,3.35%,-1.10%,-8.32%,-15.64%,-15.15%,0.07%,-,-,-,-
