,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,486.92,528.62,326.53,426.07,261.02,452.71,178.99,193.08,56.53,160.02,41.82,67.64,16.98,177.56,65.65,126.89
1,Other Revenue,-,-159.63,159.63,-,164.89,-65.94,65.94,-,91.02,-51.34,51.34,-,106.77,-54.68,54.68,-
2,Revenue,486.92,368.99,486.16,426.07,425.92,386.77,244.93,193.08,147.55,108.67,93.16,67.64,123.75,122.89,120.32,126.89
3,Revenue Growth (YoY),14.32%,-4.60%,98.49%,120.66%,188.66%,255.89%,162.90%,185.44%,19.23%,-11.57%,-22.57%,-46.69%,-,-,-,-
4,Cost of Revenue,-950.91,245.33,372.92,332.66,366.03,309.97,223.25,169.77,152.21,114.56,100.2,83.5,135.95,75.16,73.2,76.25
5,Gross Profit,1438,123.66,113.25,93.41,59.89,76.79,21.68,23.31,-4.66,-5.89,-7.03,-15.85,-12.2,47.73,47.12,50.64
6,"Selling, General & Admin",-138.87,46.17,46.69,46.01,55.94,40.69,40,37.73,50.37,25.08,23.91,20.42,19.75,15.79,15.72,13.87
7,Research & Development,-95.03,38.83,33.93,22.28,13.99,33.42,51.03,38.78,40.26,34.16,33.85,19.28,2.67,29.39,28.91,12.76
8,Other Operating Expenses,1652,-15.75,-10.1,-19.51,30.19,-2.68,-18.19,-6.77,22.48,-5.42,-7.46,-4.62,35.34,-4.3,-23.22,-3.56
9,Operating Expenses,1414,70.02,70.54,51.61,99.01,77.95,73.46,72.68,120.57,48.59,52.92,34.48,57.11,40.53,20.82,24.41
