,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,785.27,751.64,678.21,776.99,797.07,686.62,853.86,672.34,672.41,952.14,1390,336.23,368.96,430.02,-,331.03,-,302.3,302.3
1,Trading Asset Securities,-,-,255.74,120.38,200.25,80.1,80.12,80.2,200.78,280,70,449.09,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,785.27,785.27,1007,798.59,977.24,877.17,766.75,934.07,873.11,952.41,1022,1839,336.23,368.96,430.02,331.03,331.03,302.3,302.3,302.3
3,Cash Growth,-19.64%,-10.48%,31.38%,-14.50%,11.93%,-7.90%,-24.99%,-49.20%,159.68%,158.14%,137.69%,455.42%,1.57%,22.05%,42.25%,9.50%,-,-,-,-
4,Accounts Receivable,-,259,322.66,348.59,381.14,414.41,435.75,323.03,453.66,282.75,287.98,262.62,209.41,223.53,193.4,-,134.07,-,101.31,101.31
5,Other Receivables,-,41.67,12.08,8.87,9.23,15.56,12.81,13.84,12.73,9.41,8.18,9.86,8.61,8.15,1.26,-,7.96,-,9.36,9.36
6,Receivables,-,300.67,334.74,357.46,390.37,429.96,448.55,336.87,466.39,292.17,296.16,272.48,218.02,231.68,194.66,-,142.03,-,110.67,110.67
7,Inventory,-,2070,1938,1975,1931,1986,2056,2098,1892,1800,1657,1507,1498,1395,1337,-,1707,-,1755,1755
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.49,-,-,-
9,Other Current Assets,-,117.95,102.3,111.02,85.47,111.79,109.74,89.12,71.69,156.78,134.92,112.05,74.39,117.23,83.02,-,69.2,-,80.04,80.04
10,Total Current Assets,-,3274,3383,3242,3384,3405,3381,3458,3303,3201,3110,3730,2127,2113,2045,-,2257,-,2248,2248
11,"Property, Plant & Equipment",-,778.87,748.73,774.72,748.81,662.76,664.36,596.27,596.26,488.3,443.02,412.54,423.77,447.19,464.19,-,408.02,-,424.66,424.66
12,Goodwill,-,679.01,664.89,666.17,682.12,665.53,691.16,657.49,651.11,619.37,613.22,619.89,631.71,658.39,672.52,-,702.17,-,696.57,696.57
13,Other Intangible Assets,-,105.57,108.63,108.74,111.85,109.62,113.43,111.49,109.04,110.19,100.49,100.6,102.94,106.22,107.18,-,123.64,-,135.4,135.4
14,Long-Term Deferred Tax Assets,-,242.96,232.34,241.24,228.56,221.28,199.15,165.75,147.02,141.68,133.95,131.7,117.79,116,112.27,-,117.12,-,117.81,117.81
15,Long-Term Deferred Charges,-,1.23,0.46,0.64,0.66,0.82,0.85,0.98,0.97,10.27,3.6,5.68,2.28,10.83,12.8,-,8.05,-,5.23,5.23
16,Other Long-Term Assets,-,17.27,17.24,-,-,-,-,-,-,-,-,-,-,-,-0,-,-,-,-,-
17,Total Assets,-,5099,5155,5033,5156,5065,5050,4990,4808,4571,4405,5001,3405,3452,3414,-,3616,-,3627,3627
18,Accounts Payable,-,340.7,393.38,424.81,404.93,355.44,400,367.13,460.4,309.74,330.76,308.52,332.65,265.12,216.43,-,170.26,-,2.01,2.01
19,Accrued Expenses,-,124.41,150.21,129.19,165.56,120.03,143.45,88.15,129.29,84.1,97.26,96.89,130.25,101.77,107.99,-,103.59,-,103.48,103.48
20,Short-Term Debt,-,157.79,140.09,153.45,189.85,437.37,471.49,532.5,491.75,485.6,430.7,580.21,561.17,625.41,574.52,-,455.8,-,395.49,395.49
21,Current Portion of Long-Term Debt,-,345.07,332.83,201.49,219.77,297.39,265.92,296.21,64.12,83.24,97.99,-,200.06,-,229.02,-,156.88,-,142.36,142.36
22,Current Portion of Leases,-,-,28.3,-,32.18,-,31.51,-,27.14,-,25.08,-,23.41,-,24.47,-,-,-,-,-
23,Current Income Taxes Payable,-,16.41,1.67,27.4,0.75,34.09,24.86,32.3,9.29,42.33,15.35,30.85,4.58,17.8,0.87,-,0.62,-,2.65,2.65
24,Current Unearned Revenue,-,1556,1579,1425,1458,1345,1274,1288,1055,1014,893.96,823.36,772.33,721.91,746.62,-,1086,-,1325,1325
25,Other Current Liabilities,-,28.16,14.04,30.49,20.33,34.87,13.35,23.15,15.5,17.15,26.19,257.45,23.89,237.96,25.03,-,19.09,-,191.87,191.87
26,Total Current Liabilities,-,2568,2640,2392,2491,2624,2624,2628,2253,2036,1917,2097,2048,1970,1925,-,1992,-,2163,2163
27,Long-Term Debt,-,641.1,652.71,770.66,718.99,411.87,286.25,288.49,437.8,436.66,411.4,843.1,725.44,786.84,778.01,-,963.93,-,806.54,806.54
28,Long-Term Leases,-,56.13,21.49,28.44,20.91,21.54,28.7,32.84,32.83,43.9,41.69,36.87,40.76,47.34,54.74,-,-,-,-,-
29,Long-Term Unearned Revenue,-,0.82,0.87,0.93,0.98,1.04,1.09,1.15,1.2,1.26,1.31,1.37,1.42,1.47,1.53,-,1.64,-,1.75,1.75
30,Long-Term Deferred Tax Liabilities,-,2.04,2.24,7.81,6.24,9.61,11.47,12.55,14.15,2.97,0.25,4.47,4.08,10.69,10.16,-,15.16,-,7.68,7.68
31,Other Long-Term Liabilities,-,22.24,21.97,22.1,21.61,16.02,18.52,18.82,21.1,104.61,19.33,100.63,22.97,118.39,24.92,-,24.26,-,109.69,109.69
32,Total Liabilities,-,3367,3413,3294,3331,3151,3037,3043,2821,2626,2475,3084,2927,2935,2892,-,3096,-,3088,3088
33,Common Stock,-,1228,1228,1228,1228,1228,1228,1228,1228,1228,1228,1228,921.21,921.21,921.21,-,921.21,-,921.21,921.21
34,Additional Paid-In Capital,-,1421,1421,1421,1421,1414,1414,1414,1414,1414,1414,1414,301.9,301.9,301.9,-,301.9,-,301.9,301.9
35,Retained Earnings,-,-899.56,-881.19,-882.16,-843.88,-726.57,-663.77,-683.3,-637.77,-615.29,-633.7,-645.91,-680.05,-671.19,-682.74,-,-723.23,-,-710.13,-710.13
36,Treasury Stock,-,-49.61,-35.99,-30.89,-4.53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,Comprehensive Income & Other,-,31.23,9.08,7.8,28.21,0.1,35.44,-10.89,-17.29,-81.16,-78.61,-79.02,-64.82,-34.88,-17.95,-,20,-,25.88,25.88
38,Total Common Equity,1732,1732,1741,1744,1829,1916,2014,1948,1987,1946,1930,1917,478.24,517.04,522.42,519.88,519.88,538.86,538.86,538.86
39,Minority Interest,-,-,-,-5.44,-4.38,-0.74,-0.74,-1.4,-0.74,-0.2,-0.12,-0,-0.09,-0.06,-,-,-,-,-,-
40,Shareholders' Equity,1732,1732,1741,1739,1825,1915,2013,1946,1986,1945,1930,1917,478.15,516.98,522.42,519.88,519.88,538.86,538.86,538.86
41,Total Liabilities & Equity,-,5099,5155,5033,5156,5065,5050,4990,4808,4571,4405,5001,3405,3452,3414,-,3616,-,3627,3627
42,Total Debt,1200,1200,1175,1154,1182,1168,1084,1150,1054,1049,1007,1460,1551,1460,1661,1577,1577,1344,1344,1344
43,Net Cash (Debt),-414.83,-414.83,-168.04,-355.46,-204.46,-291,-317.14,-215.97,-180.53,-96.98,15.28,378.41,-1215,-1091,-1231,-1246,-1246,-1042,-1042,-1042
44,Net Cash Per Share,-0.33,-0.34,-0.14,-0.29,-0.18,-0.22,-0.24,-0.19,-0.33,-0.08,0.01,0.33,-1.12,-1.89,-1.06,-1.44,-1.26,-1.16,-1.13,-1.13
45,Filing Date Shares Outstanding,1239,1225,1219,1228,1228,1228,1228,1228,1228,1228,1228,1228,921.21,921.21,1162,862.76,921.21,898.61,921.21,921.21
46,Total Common Shares Outstanding,1239,1225,1219,1228,1228,1228,1228,1228,1228,1228,1228,1228,921.21,921.21,1162,862.76,921.21,898.61,921.21,921.21
47,Working Capital,-,705.86,742.6,849.56,892.61,781.33,756.43,829.91,1051,1165,1193,1633,78.35,143.08,120.2,-,265.15,-,84.86,84.86
48,Book Value Per Share,1.41,1.41,1.43,1.42,1.49,1.56,1.64,1.59,1.62,1.58,1.57,1.56,0.52,0.56,0.52,0.56,0.56,0.58,0.58,0.58
49,Tangible Book Value,947.01,947.01,967.91,969.38,1035,1140,1209,1179,1227,1216,1216,1197,-256.4,-247.57,-257.28,-305.93,-305.93,-293.11,-293.11,-293.11
50,Tangible Book Value Per Share,0.77,0.77,0.79,0.79,0.84,0.93,0.98,0.96,1.00,0.99,0.99,0.97,-0.28,-0.27,-0.25,-0.33,-0.33,-0.32,-0.32,-0.32
51,Buildings,-,-,352.31,-,359.75,-,360.04,-,339.59,-,320.62,-,325,-,343.31,-,356.55,-,356.83,356.83
52,Machinery,-,-,237.9,-,238.66,-,232.18,-,214.34,-,195.8,-,197.72,-,203.43,-,119.23,-,208.72,208.72
53,Construction In Progress,-,-,366.79,-,347.09,-,251.89,-,195.89,-,57.12,-,20.1,-,19.06,-,17.55,-,21.51,21.51
54,Order Backlog,-,-,-,4232,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
