,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,14412,9450,6157,4987,5564,6842,6596,6620,6424,5834,5957,6792,6620,-,-,-,-,-,-,-,-
1,Market Cap Growth,38.12%,38.12%,-6.65%,-24.68%,-13.38%,17.26%,10.72%,-2.53%,-2.97%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,14827,9864,6325,5337,5854,7132,6912,6835,6521,5931,5942,6414,7611,-,-,-,-,-,-,-,-
3,Last Close Price,11.82,7.75,5.05,4.06,4.53,5.57,5.37,5.39,5.23,4.75,4.85,5.53,5.39,-,-,-,-,-,-,-,-
4,PE Ratio,1699.73,1114.46,-,-23.69,-,-,-,-220.15,-,-,106.57,138.51,154.65,-,-,-,-,-,-,-,-
5,PS Ratio,5.49,3.57,2.85,2.25,2.36,3.26,3.06,3.10,3.75,2.92,3.38,3.95,3.35,-,-,-,-,-,-,-,-
6,PB Ratio,8.36,5.46,3.56,2.86,3.20,3.75,3.44,3.29,3.30,2.94,3.06,3.52,3.45,-,-,-,-,-,-,-,-
7,P/TBV Ratio,9.98,9.98,6.50,5.15,5.74,6.61,5.78,5.48,5.45,4.76,4.90,5.59,5.53,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,22.43,-,52.28,-203.74,-,-28.21,-,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,13.00,-,26.86,59.93,-,-112.03,-,-,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,5.61,3.73,2.93,2.40,2.48,3.40,3.21,3.21,3.81,2.97,3.37,3.73,3.85,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,201.35,202.76,-63.34,-56.00,-,-,991.68,13980.38,-,-,157.91,153.32,137.87,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,528.22,528.22,-48.72,-,-,-,-191.35,-151.56,-,-,-467.97,-781.49,25251.95,-,-,-,-,-,-,-,-
