,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Revenue,1072,452.54,641.45,478.73,585.63,515.38,776.63,218.15,643.45,494.18,356.55,501.17,411.52,448.83,616.71,662.76,592.79,414.64,339.73,339.73
1,Revenue Growth (YoY),83.01%,-12.19%,-17.41%,119.45%,-8.99%,4.29%,117.82%,-56.47%,56.36%,10.10%,-42.18%,-24.38%,-30.58%,8.25%,81.53%,95.09%,-,-,-,-
2,Cost of Revenue,1352,324.89,534.27,414.7,587.57,393.21,612.64,187.69,537.63,383.74,276.61,395.47,352.53,350.63,505.27,554.78,501.35,322.29,276.73,276.73
3,Gross Profit,-280.19,127.66,107.18,64.03,-1.95,122.17,163.99,30.46,105.82,110.44,79.94,105.7,58.98,98.2,111.44,107.98,91.44,92.35,62.99,62.99
4,"Selling, General & Admin",-264.43,81.85,102.22,80.35,99.73,69.76,138.32,58.19,88.33,70.19,67.86,54.03,85.47,56.61,82.02,72.38,84.11,63.55,71.44,71.44
5,Research & Development,-44.73,13.46,17.22,14.04,19.61,19.34,23.83,14.61,19.18,18.78,16.87,20.77,20.94,17.16,21.54,19.39,19,12.59,8.49,8.49
6,Other Operating Expenses,0.26,0.05,-2.58,2.27,1.3,-1.43,-13.03,-2.57,32.94,-3.76,-8.21,-14.75,34.53,-5.3,-3.64,-21.35,-6.63,-5.32,-6.78,-6.78
7,Operating Expenses,-304.55,96.45,112.38,95.72,122.21,89.68,153.22,65.08,150.58,86.93,78.52,61.36,140.95,70.2,101.51,71.75,96.44,72.02,71.69,71.69
8,Operating Income,24.36,31.21,-5.2,-31.69,-124.16,32.48,10.78,-34.62,-44.76,23.51,1.42,44.34,-81.97,28,9.93,36.24,-5,20.34,-8.69,-8.69
9,Interest Expense,-12.44,-14.74,-10.69,-17.49,-,-41.47,-17.26,-14.16,-10.92,-12.35,-12.99,-14.53,-13.48,-12.94,-12.01,-10.86,-10.53,-8.74,-11.54,-11.54
10,Interest & Investment Income,42.92,4.62,3.88,3.93,12.87,3.45,4.39,4.58,4.19,4.45,6.25,0.68,1.27,0.04,0.03,0.03,0.02,0.05,0.08,0.08
11,Currency Exchange Gain (Loss),-,-3.29,3.29,-,-7.42,0.33,-0.33,-,26.23,-31.4,31.4,-,75.38,-34.53,34.53,-,-7.4,-4.94,-6.79,-6.79
12,Other Non Operating Income (Expenses),28.32,-16.05,-9.93,-2.92,-29.89,-3.83,1.04,-9.22,-44.87,37,-15.42,9.29,-53.9,44.81,-40.28,30.86,-4.99,-4.44,-0.67,-0.67
13,EBT Excluding Unusual Items,83.16,1.75,-18.65,-48.16,-148.6,-9.04,-1.39,-53.42,-70.13,21.21,10.67,39.78,-72.7,25.38,-7.79,56.26,-27.9,2.27,-27.61,-27.61
14,Merger & Restructuring Charges,-,-3.5,3.5,-,-,-11.73,11.73,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Impairment of Goodwill,-,-,-,-,-7.46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,Gain (Loss) on Sale of Investments,-,-0.6,0.36,0.24,0.04,-0.02,-0.08,0.2,0.78,-,-,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.03,0.03,-0,-0,-0.01,0,0,0.07,0.03,0.36,-0.19,0.04,0.51,0.1,0,-,-,-,-0.01,-0.01
18,Asset Writedown,28.57,-28.57,-,-,-,-61.23,2.49,-2.49,-,-,1.66,-1.66,14.89,-14.89,14.51,-14.51,19.39,-7.22,-,-
19,Other Unusual Items,-25.92,1.43,23.54,0.95,0.99,0.22,-,-,35.01,-,-,-,40.4,-,-,-,-0.98,-,-,-
20,Pretax Income,85.79,-29.46,8.74,-46.98,-155.04,-81.81,12.76,-55.64,-34.31,21.09,12.63,38.16,-16.9,10.59,6.72,41.75,-9.42,-4.95,-27.62,-27.62
21,Income Tax Expense,26.01,-11.09,2.33,-7.64,-34.09,-19.01,-7.43,-9.46,-11.24,2.73,0.44,4.01,-8.09,-0.9,0.74,7.24,-0.52,-0.75,-7.25,-7.25
22,Earnings From Continuing Operations,59.78,-18.37,6.41,-39.34,-120.95,-62.8,20.18,-46.19,-23.07,18.36,12.19,34.15,-8.81,11.49,5.98,34.51,-8.9,-4.2,-20.37,-20.37
23,Minority Interest in Earnings,-2.53,-,1.47,1.06,3.64,0,-0.66,0.66,0.58,0.05,0.01,-0.01,-0.06,0.07,-,-,-,-,-,-
24,Net Income,57.25,-18.37,7.88,-38.28,-117.31,-62.8,19.53,-45.53,-22.48,18.41,12.21,34.14,-8.86,11.55,5.98,34.51,-8.9,-4.2,-20.37,-20.37
25,Net Income to Common,57.25,-18.37,7.88,-38.28,-117.31,-62.8,19.53,-45.53,-22.48,18.41,12.21,34.14,-8.86,11.55,5.98,34.51,-8.9,-4.2,-20.37,-20.37
26,Net Income Growth,-,-,-59.64%,-,-,-,59.95%,-,-,59.37%,104.20%,-1.07%,-,-,-,-,-,-,-,-
