,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,647.47,751.31,529.96,594.39,448.99,571.03,420.92
1,Revenue Growth (YoY),22.17%,26.40%,18.03%,4.09%,6.67%,-,-
2,Cost of Revenue,546.22,647.28,429.35,478.3,339.43,429.29,327.99
3,Gross Profit,101.25,104.04,100.61,116.09,109.56,141.73,92.93
4,"Selling, General & Admin",73.21,101.8,81.4,105.21,82.47,95.22,64.32
5,Research & Development,32.79,51.39,41.22,45.98,36.75,34.81,31.32
6,Other Operating Expenses,-0.09,-8.37,-2.47,-8.88,-5.04,-7.34,-3.05
7,Operating Expenses,105.9,152.72,120.16,149.64,114.18,128.03,92.59
8,Operating Income,-4.65,-48.68,-19.54,-33.56,-4.61,13.7,0.34
9,Interest Expense,-2.38,-2.69,-2.06,-2.14,-1.96,-,-1.07
10,Interest & Investment Income,0.58,0.99,0.96,0.71,0.44,1.46,0.36
11,Currency Exchange Gain (Loss),0.04,-0.62,-0.09,3.56,-,-,-
12,Other Non Operating Income (Expenses),-,0.02,-,-0.01,-,-2.61,-
13,EBT Excluding Unusual Items,-6.42,-50.98,-20.74,-31.43,-6.14,12.55,-0.37
14,Gain (Loss) on Sale of Investments,0.51,0,0.05,0.83,0.47,0.45,0.76
15,Gain (Loss) on Sale of Assets,-0,-0.01,-0.02,-,-0.03,-0.91,-
16,Pretax Income,-5.91,-50.99,-20.72,-30.6,-5.7,12.09,0.39
17,Income Tax Expense,0.23,0.62,-0.56,0.96,-2.29,-0.7,-2.18
18,Earnings From Continuing Operations,-6.14,-51.62,-20.16,-31.56,-3.41,12.79,2.56
19,Minority Interest in Earnings,-0.3,-0.19,-0.41,-0.71,0.01,-0.79,-0.05
20,Net Income,-6.44,-51.8,-20.56,-32.27,-3.41,12,2.52
21,Net Income to Common,-6.44,-51.8,-20.56,-32.27,-3.41,12,2.52
22,Shares Outstanding (Basic),547,560,560,559,526,526,526
23,Shares Outstanding (Diluted),547,560,560,559,526,526,526
24,Shares Change (YoY),-2.35%,0.12%,6.54%,6.28%,-,-,-
25,EPS (Basic),-0.01,-0.09,-0.04,-0.06,-0.01,0.02,0.00
26,EPS (Diluted),-0.01,-0.09,-0.04,-0.06,-0.01,0.02,0.00
27,Free Cash Flow,-74.14,79.81,-86.26,-68.93,-76.15,32,-55.61
28,Free Cash Flow Per Share,-0.14,0.14,-0.15,-0.12,-0.14,0.06,-0.11
29,Operating Margin,-0.72%,-6.48%,-3.69%,-5.65%,-1.03%,2.40%,0.08%
30,Profit Margin,-1.00%,-6.89%,-3.88%,-5.43%,-0.76%,2.10%,0.60%
31,Free Cash Flow Margin,-11.45%,10.62%,-16.28%,-11.60%,-16.96%,5.60%,-13.21%
32,EBITDA,-3.59,-47.55,-18.4,-32.71,-3.05,14.35,1.64
33,D&A For EBITDA,1.07,1.13,1.15,0.84,1.57,0.65,1.3
34,EBIT,-4.65,-48.68,-19.54,-33.56,-4.61,13.7,0.34
