,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,94.07,192.28,138.13,160.97,109.96,88.26,-
1,Trading Asset Securities,10.01,0.5,-,-,-,21.48,-
2,Cash & Short-Term Investments,104.09,192.78,138.13,160.97,109.96,109.73,-
3,Cash Growth,-24.65%,19.76%,25.61%,46.70%,-,-,-
4,Accounts Receivable,289.37,252.89,302.94,285.56,298.33,264.35,-
5,Other Receivables,13.64,14.34,16.17,15.62,13.88,15.78,-
6,Receivables,303.01,267.23,319.11,301.17,312.21,280.13,-
7,Prepaid Expenses,1.02,2.9,1.98,2.78,1.75,1.99,-
8,Restricted Cash,-,-,-,3.59,-,0,-
9,Other Current Assets,211.96,181.61,190.11,150.93,95.97,92.87,-
10,Total Current Assets,620.08,644.52,649.32,619.44,519.9,484.73,-
11,"Property, Plant & Equipment",19.55,24.57,29.27,32.48,36.08,40.33,-
12,Goodwill,10.49,10.49,10.49,10.49,10.49,10.49,-
13,Other Intangible Assets,1.67,1.45,1.72,2.23,2.89,3.62,-
14,Long-Term Deferred Tax Assets,9.53,9.74,10.33,9.77,10.84,8.46,-
15,Other Long-Term Assets,0.1,0.26,0.16,0.25,0.53,0.34,-
16,Total Assets,661.42,691.02,701.3,674.65,580.72,547.97,-
17,Accounts Payable,86.23,64.44,50.18,50.09,61.41,94.13,-
18,Accrued Expenses,19.06,43.27,20.09,35.59,13.19,29.41,-
19,Short-Term Debt,156.93,157.24,157.99,88.48,137.81,58.48,-
20,Current Portion of Leases,8.76,10.6,10.78,9.92,10.52,7.64,-
21,Current Income Taxes Payable,0.16,0.16,0.12,0.12,0.1,0.12,-
22,Current Unearned Revenue,48.13,51.28,34.18,31.09,31.58,31.92,-
23,Other Current Liabilities,6.53,13.13,7.17,18.42,21.16,14.83,-
24,Total Current Liabilities,325.8,340.11,280.51,233.7,275.77,236.55,-
25,Long-Term Leases,9.06,11.89,15.82,18.17,21.1,24.24,-
26,Long-Term Deferred Tax Liabilities,-,-,-,-,0.11,0.03,-
27,Total Liabilities,334.86,352,296.34,251.86,296.98,260.81,-
28,Common Stock,0.36,0.36,0.36,0.36,0.03,0.03,-
29,Additional Paid-In Capital,439.57,439.57,439.57,439.57,269.29,269.29,-
30,Retained Earnings,-78.83,-65.25,-20.49,7.12,32.56,42.8,-
31,Comprehensive Income & Other,-37.91,-38.72,-17.35,-26.72,-19.89,-26.72,-
32,Total Common Equity,323.19,335.97,402.09,420.33,282,285.4,-
33,Minority Interest,3.36,3.06,2.87,2.46,1.75,1.75,-
34,Shareholders' Equity,326.55,339.02,404.96,422.79,283.74,287.15,-
35,Total Liabilities & Equity,661.42,691.02,701.3,674.65,580.72,547.97,-
36,Total Debt,174.76,179.73,184.59,116.56,169.43,90.36,-
37,Net Cash (Debt),-70.67,13.05,-46.46,44.41,-59.46,19.37,-
38,Net Cash Growth,-,-70.61%,-,129.24%,-,-,-
39,Net Cash Per Share,-0.13,0.02,-0.08,0.08,-0.11,0.04,-
40,Filing Date Shares Outstanding,560.32,560.32,560.32,560.32,525.93,525.93,525.93
41,Total Common Shares Outstanding,560.32,560.32,560.32,560.32,525.93,525.93,525.93
42,Working Capital,294.27,304.41,368.81,385.74,244.13,248.18,-
43,Book Value Per Share,0.58,0.60,0.72,0.75,0.54,0.54,-
44,Tangible Book Value,311.03,324.03,389.88,407.61,268.62,271.29,-
45,Tangible Book Value Per Share,0.56,0.58,0.70,0.73,0.51,0.52,-
46,Machinery,13.44,13.44,13.1,13.4,13.06,12.69,-
47,Leasehold Improvements,4.31,4.31,5.54,4.59,4.59,4.18,-
