,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,563,359,1390,1653,1827,-,-,-
1,Market Cap Growth,-78.31%,-78.31%,-23.93%,-,-,-,-,-
2,Enterprise Value,642,348,1443,1606,1898,-,-,-
3,Last Close Price,1.01,0.64,2.48,2.95,3.26,-,-,-
4,Forward PE,-,-,-,-,26.22,-,-,-
5,PS Ratio,0.37,0.24,0.98,1.36,1.55,-,-,-
6,PB Ratio,1.63,1.02,3.72,3.78,3.82,-,-,-
7,P/TBV Ratio,1.07,1.07,3.89,3.92,3.96,-,-,-
8,P/FCF Ratio,92.31,-,-195.62,-,-,-,-,-
9,P/OCF Ratio,52.87,-,-217.06,-,-,-,-,-
10,PEG Ratio,-,-,-,-,0.42,-,-,-
11,EV/Sales Ratio,0.43,0.23,1.02,1.32,1.61,-,-,-
12,EV/FCF Ratio,105.36,-,-203.12,-,-,-,-,-
13,Debt / Equity Ratio,0.54,0.54,0.53,0.46,0.28,0.60,0.31,-
14,Debt / FCF Ratio,30.80,-,-27.87,-,-,-,-3.83,-
15,Return on Capital Employed (ROCE),-,-,-,-,-,-,4.51%,-
16,Earnings Yield,-11.12%,-17.45%,-5.74%,-3.45%,-2.21%,-,-,-
17,FCF Yield,1.08%,1.70%,-0.51%,-10.14%,-8.98%,-,-,-
18,Buyback Yield / Dilution,1.11%,2.35%,-0.12%,-6.54%,-6.28%,-,-,-
19,Total Shareholder Return,1.11%,2.35%,-0.12%,-6.54%,-6.28%,-,-,-
