,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,576.48,502.32,441.69,504.18,1034,1039,-,197.9,-,-,-,113.62,113.62,167.58,167.58
1,Trading Asset Securities,498.47,527.34,553,620.45,0.17,0.17,-,0.18,-,-,-,0.29,0.29,0.24,0.24
2,Cash & Short-Term Investments,1075,1030,994.69,1125,1035,1039,198.08,198.08,-,-,113.91,113.91,113.91,167.81,167.81
3,Cash Growth,3.91%,-0.93%,402.16%,467.75%,-,-,73.90%,73.90%,-,-,-32.12%,-,-,-,-
4,Accounts Receivable,396.54,383.94,464.62,398.55,315.16,293.4,-,306.64,-,-,-,284.57,284.57,232.58,232.58
5,Other Receivables,3.71,4.01,4.58,4.34,8.99,4.85,-,6.16,-,-,-,1.28,1.28,3.58,3.58
6,Receivables,400.25,387.95,469.2,402.89,324.15,298.25,-,312.8,-,-,-,285.84,285.84,236.16,236.16
7,Inventory,229.26,199.24,203.32,208.62,192.34,179.67,-,268.67,-,-,-,169.93,169.93,152.75,152.75
8,Prepaid Expenses,-,-,-,3.55,-,3.92,-,9.91,-,-,-,5.14,5.14,3.81,3.81
9,Other Current Assets,26.56,16.01,12.74,6.46,9.82,8.76,-,5.76,-,-,-,2.66,2.66,2.08,2.08
10,Total Current Assets,1731,1633,1680,1746,1561,1530,-,795.22,-,-,-,577.48,577.48,562.61,562.61
11,"Property, Plant & Equipment",147.09,141.95,138.69,146.83,139.25,140.47,-,134.37,-,-,-,121.77,121.77,125.57,125.57
12,Long-Term Investments,68.92,80.92,71.39,72.82,54.94,55.09,-,39.38,-,-,-,31.5,31.5,19.74,19.74
13,Other Intangible Assets,6.26,5.67,5.1,2.64,3.25,3.37,-,3.26,-,-,-,5,5,1.8,1.8
14,Long-Term Accounts Receivable,-,-,-,-,-,-,-,0.31,-,-,-,0.48,0.48,0.18,0.18
15,Long-Term Deferred Tax Assets,15.73,15.82,17.64,17.83,12.02,12.6,-,12.18,-,-,-,9.75,9.75,9.16,9.16
16,Long-Term Deferred Charges,12.84,5.87,1.2,0.53,0.25,0.16,-,0.19,-,-,-,-,-,0,0
17,Other Long-Term Assets,41.77,19.92,23.82,11.47,4.93,5.35,-,1.48,-,-,-,1.45,1.45,2.38,2.38
18,Total Assets,2024,1903,1938,1998,1775,1747,-,986.39,-,-,-,747.43,747.43,721.45,721.45
19,Accounts Payable,662.2,571.44,579.95,611.09,453.27,387.62,-,519.7,-,-,-,388.16,388.16,404.51,404.51
20,Accrued Expenses,25.59,17.07,19.81,31.88,18.23,36.09,-,18.63,-,-,-,22.39,22.39,17.15,17.15
21,Short-Term Debt,-,-,-,19.9,19.9,19.9,-,15,-,-,-,24.9,24.9,40,40
22,Current Portion of Long-Term Debt,-,-,-,-,5.5,-,-,-,-,-,-,-,-,-,-
23,Current Portion of Leases,7.33,6.67,6.45,5.7,-,5.92,-,5.57,-,-,-,6.44,6.44,3.27,3.27
24,Current Income Taxes Payable,-,-,-,-,1.89,-,-,-,-,-,-,-,-,-,-
25,Current Unearned Revenue,7.93,4.76,7.95,7.1,4.6,4.58,-,3.89,-,-,-,4.49,4.49,5.3,5.3
26,Other Current Liabilities,3.51,6.2,5.53,19.25,19.98,16.56,-,30.11,-,-,-,16.98,16.98,11.65,11.65
