,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,6532,5623,4425,5003,6407,6314,-,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-10.94%,-10.94%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5476,4614,3453,4008,5412,5315,-,-,-,-,-,-,-,-,-,-
3,Last Close Price,71.00,61.12,48.10,53.91,69.04,68.04,-,-,-,-,-,-,-,-,-,-
4,PE Ratio,55.87,49.12,38.49,42.96,56.41,59.89,-,-,-,-,-,-,-,-,-,-
5,PS Ratio,4.86,4.28,3.46,4.03,5.33,5.51,-,-,-,-,-,-,-,-,-,-
6,PB Ratio,5.11,4.40,3.53,3.93,5.11,5.22,-,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,4.42,4.42,3.54,3.95,5.12,5.24,-,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-214.67,-,-,48.04,98.79,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,163.56,163.56,-,-,37.58,60.59,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,4.16,3.51,2.70,3.23,4.50,4.64,-,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,47.44,47.02,38.58,39.44,53.49,54.68,-,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,64.37,60.93,51.19,50.29,67.99,69.95,-,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-209.07,-176.14,-,-,40.58,83.16,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.10,0.10,-,-,0.20,0.20,0.20,0.33,0.33
15,Debt / EBITDA Ratio,0.17,0.16,0.21,0.23,0.35,0.47,0.28,0.37,0.34,-,-,0.52,0.41,0.41,0.54,0.54
16,Debt / FCF Ratio,-,-0.74,-,-,0.32,0.61,-,1.12,1.81,-,-,-,-,-,1.40,2.81
17,Asset Turnover,0.73,0.64,0.58,0.77,0.73,-,-,-,-,-,-,1.42,1.45,1.25,-,
18,Inventory Turnover,4.94,5.23,5.02,4.33,5.70,5.31,-,-,-,-,-,-,4.90,5.16,4.54,-
19,Quick Ratio,2.09,2.09,2.34,2.36,2.20,2.60,2.84,-,0.86,-,-,-,0.86,0.86,0.84,0.84
20,Current Ratio,2.45,2.45,2.69,2.71,2.51,2.98,3.25,-,1.34,-,-,-,1.25,1.25,1.17,1.17
21,Return on Equity (ROE),7.29%,9.15%,5.73%,14.44%,7.72%,15.38%,17.40%,-,-,-,25.96%,38.95%,43.15%,49.81%,-,
22,Return on Assets (ROA),3.05%,1.98%,2.33%,2.42%,2.23%,-,-,-,-,-,-,7.87%,8.01%,8.22%,-,
23,Return on Capital (ROIC),4.66%,2.95%,3.53%,3.59%,3.11%,8.28%,11.87%,-,-,-,15.99%,19.96%,21.13%,22.63%,-,
24,Return on Capital Employed (ROCE),6.46%,5.75%,5.20%,6.05%,6.11%,6.07%,6.53%,-,23.45%,-,-,-,33.28%,25.00%,19.82%,9.91%
25,Earnings Yield,1.75%,2.04%,2.60%,2.33%,1.77%,1.67%,-,-,-,-,-,-,-,-,-,-
26,FCF Yield,-0.40%,-0.47%,0.32%,0.40%,2.08%,1.01%,-,-,-,-,-,-,-,-,-,-
27,Dividend Yield,1.36%,-,-,-,1.45%,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,38.63%,-,153.27%,-,2.30%,191.92%,0.94%,-,0.40%,1.00%,-,-,1.39%,1.39%,23.86%,23.86%
29,Buyback Yield / Dilution,-20.51%,0.11%,-33.36%,-33.39%,-22.21%,-32.48%,-0.31%,-,0.06%,-0.44%,0.24%,-,-,-,-,-
30,Total Shareholder Return,-19.15%,0.11%,-33.36%,-33.39%,-20.76%,-32.48%,-0.31%,-,0.06%,-0.44%,0.24%,-,-,-,-,-
