,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,362.16,303.51,284.79,361.97,323.37,269.49,244.3,305.81,270.95,264.16,234.39,265.04,265.04,224.02,224.02
1,Other Revenue,-2.95,2.95,-,2.58,-1.34,1.34,-,3.52,-1.64,1.64,-,0.73,0.73,0.53,0.53
2,Revenue,359.21,306.45,284.79,364.55,322.03,270.83,244.3,309.33,269.31,265.8,234.39,265.77,265.77,224.55,224.55
3,Revenue Growth (YoY),11.55%,13.16%,16.58%,17.85%,19.58%,1.89%,4.23%,16.39%,1.33%,18.37%,4.38%,-,-,-,-
4,Cost of Revenue,280.28,252.4,222.83,285.62,246.8,208.88,191.23,244.18,210.04,177.06,215.53,208.02,208.02,173.52,173.52
5,Gross Profit,78.93,54.05,61.96,78.93,75.22,61.95,53.07,65.15,59.27,88.74,18.86,57.75,57.75,51.04,51.04
6,"Selling, General & Admin",14.65,9.9,11.11,16.15,15.31,9.11,8.55,10.76,11.03,17.06,-,9.93,9.93,9.19,9.19
7,Research & Development,34.96,30.58,32.23,35.89,33.67,29.2,27.61,25.94,27.31,44.03,-,21.98,21.98,17.91,17.91
8,Other Operating Expenses,2.57,2.81,-0.81,6.72,7.32,-2.82,-0.45,12.39,-2.28,-7.43,-,0.73,0.73,0.73,0.73
9,Operating Expenses,54.98,38.88,43.64,60.65,59.54,34.54,34.85,50.47,36.29,52.99,-,34.21,34.21,27.3,27.3
10,Operating Income,23.95,15.17,18.31,18.29,15.68,27.41,18.21,14.67,22.99,35.75,18.86,23.54,23.54,23.74,23.74
11,Interest Expense,-0.02,-1.03,-0.16,-1.92,-,-0.48,-0.44,-0.66,-0.48,-0.22,-,-1.11,-1.11,-1.1,-1.1
12,Interest & Investment Income,1.03,7.02,4.61,4.57,2.36,0.47,0.74,3.48,0.53,2.05,-,0.38,0.38,2.28,2.28
13,Currency Exchange Gain (Loss),-0.15,0.15,-,0.09,0.13,-0.13,-,-7.16,4.66,-4.66,-,-0.01,-0.01,-0.06,-0.06
14,Other Non Operating Income (Expenses),7.33,2.46,-2.74,1.44,7.7,-0.65,0.39,8.51,-9.13,-0.24,-0.03,0.07,0.07,-0.26,-0.26
15,EBT Excluding Unusual Items,32.13,23.78,20.02,22.47,25.88,26.62,18.91,18.84,18.56,32.69,18.83,22.87,22.87,24.59,24.59
16,Gain (Loss) on Sale of Investments,2.04,-1.45,-,2.69,0,-0.01,-,-0.04,-0.04,-0.03,-,0.03,0.03,-,-
17,Gain (Loss) on Sale of Assets,0,-,-,-0.04,-0.05,-0,-,-0.12,-,-0.08,-,-0.08,-0.08,-0.01,-0.01
18,Asset Writedown,-5.23,1.85,-1.85,2.03,-2.12,1.42,-1.42,1.83,-1.86,-0.02,-,-,-,-0.01,-0.01
19,Legal Settlements,-,-,-,-,-,-,-,0.31,-0.31,0.31,-,-0.24,-0.24,-,-
20,Other Unusual Items,-5.96,5.96,-,13.72,0.3,-0.3,-,16.27,-0.25,0.25,-,1.03,1.03,2.05,2.05
21,Pretax Income,22.97,30.15,18.18,40.88,24.01,27.72,17.49,37.09,16.09,33.13,18.83,23.61,23.61,26.63,26.63
22,Income Tax Expense,-0.09,1.26,0.09,-3.56,0.46,-2.67,2.3,0.8,-1.37,-1.92,2.95,-0.21,-0.21,2.1,2.1
23,Net Income,23.06,28.89,18.09,44.44,23.55,30.39,15.19,36.29,17.46,35.05,15.88,23.82,23.82,24.53,24.53
24,Net Income to Common,23.06,28.89,18.09,44.44,23.55,30.39,15.19,36.29,17.46,35.05,15.88,23.82,23.82,24.53,24.53
25,Net Income Growth,-2.07%,-4.95%,19.09%,22.44%,34.85%,-13.28%,-4.33%,52.37%,-26.69%,42.88%,-35.27%,-,-,-,-
26,Shares Outstanding (Basic),92,92,92,84,92,69,69,69,69,69,-,69,69,69,69
27,Shares Outstanding (Diluted),92,92,92,84,92,69,69,69,69,69,-,69,69,69,69
28,Shares Change (YoY),-0.11%,33.36%,33.39%,22.21%,32.48%,0.31%,-,-0.06%,0.44%,-0.24%,-,-,-,-,-
29,EPS (Basic),0.25,0.31,0.20,0.53,0.26,0.44,0.22,0.53,0.25,0.51,-,0.34,0.34,0.35,0.35
30,EPS (Diluted),0.25,0.31,0.20,0.53,0.26,0.44,0.22,0.53,0.25,0.51,-,0.34,0.34,0.35,0.35
31,EPS Growth,-1.96%,-28.73%,-10.72%,0.18%,1.79%,-13.56%,-,52.47%,-27.01%,43.23%,-,-,-,-,-
32,Free Cash Flow,39.14,-40.56,-101.92,77.15,79.45,-34.79,11.54,7.71,11.17,-,-,-1.65,-1.65,23.27,23.27
33,Free Cash Flow Per Share,0.43,-0.44,-1.11,0.91,0.86,-0.50,0.17,0.11,0.16,-,-,-0.02,-0.02,0.34,0.34
34,Dividend Per Share,-,-,-,0.500,-,0.500,-,-,-,-,-,-,-,-,-
35,Gross Margin,21.97%,17.64%,21.76%,21.65%,23.36%,22.87%,21.72%,21.06%,22.01%,33.38%,8.05%,21.73%,21.73%,22.73%,22.73%
36,Operating Margin,6.67%,4.95%,6.43%,5.02%,4.87%,10.12%,7.45%,4.74%,8.54%,13.45%,8.05%,8.86%,8.86%,10.57%,10.57%
37,Profit Margin,6.42%,9.43%,6.35%,12.19%,7.31%,11.22%,6.22%,11.73%,6.48%,13.19%,6.77%,8.96%,8.96%,10.92%,10.92%
38,Free Cash Flow Margin,10.90%,-13.24%,-35.79%,21.16%,24.67%,-12.84%,4.72%,2.49%,4.15%,-,-,-0.62%,-0.62%,10.36%,10.36%
39,EBITDA,29.49,20.96,23.85,23.83,20.86,33.08,23.39,19.86,28.12,40.72,23.99,28.81,28.81,28.73,28.73
40,EBITDA Margin,8.21%,6.84%,8.38%,6.54%,6.48%,12.22%,9.58%,6.42%,10.44%,15.32%,10.24%,10.84%,10.84%,12.80%,12.80%
41,D&A For EBITDA,5.54,5.79,5.54,5.54,5.18,5.67,5.18,5.18,5.14,4.98,5.14,5.27,5.27,5,5
42,EBIT,23.95,15.17,18.31,18.29,15.68,27.41,18.21,14.67,22.99,35.75,18.86,23.54,23.54,23.74,23.74
43,EBIT Margin,6.67%,4.95%,6.43%,5.02%,4.87%,10.12%,7.45%,4.74%,8.54%,13.45%,8.05%,8.86%,8.86%,10.57%,10.57%
44,Effective Tax Rate,-,4.17%,0.47%,-,1.93%,-,13.13%,2.16%,-,-,15.68%,-,-,7.87%,7.87%
45,Revenue as Reported,359.21,306.45,284.79,364.55,322.03,270.83,244.3,309.33,269.31,500.19,-,265.77,265.77,224.55,224.55
