,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,19.42,16.87,12.79,15.32,16.32,17.63,21.19,22.33,22.15,28.48
1,Short-Term Investments,-,3.23,3.23,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,19.42,20.1,16.02,15.32,16.32,17.63,21.19,22.33,22.15,28.48
3,Cash Growth,21.22%,31.23%,-1.83%,-13.12%,-22.97%,-21.04%,-4.33%,-21.60%,-,-
4,Accounts Receivable,24.34,26.25,28.66,30.34,33.62,40.76,21.03,23.36,30.99,36.92
5,Other Receivables,0.11,-,-,-,0.28,-,0.22,0.45,-,0.53
6,Receivables,24.45,26.25,28.66,30.34,33.9,40.76,21.25,23.8,30.99,37.44
7,Inventory,10.86,11.14,14.15,17.47,23.65,27.19,17.59,13.38,19.36,19
8,Prepaid Expenses,0.55,0.74,0.84,0.77,0.51,0.79,0.58,0.67,1.22,0.68
9,Other Current Assets,-,-,-,-,-,-,-,0.29,0.29,0.29
10,Total Current Assets,55.29,58.23,59.67,63.89,74.37,86.36,60.6,60.46,74,85.89
11,"Property, Plant & Equipment",2.02,2.78,3.53,4.34,4.67,5.46,4.53,5.73,7.12,7.83
12,Long-Term Investments,3.23,-,-,3.23,5.24,5.17,5.1,4.85,4.85,4.85
13,Goodwill,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88
14,Other Intangible Assets,0.01,0.01,0.02,0.03,0.03,0.03,0.04,0.11,0.16,0.25
15,Long-Term Deferred Tax Assets,0.29,0.22,0.41,-,-,-,0.32,0.01,0.29,0.28
16,Other Long-Term Assets,-,0.63,-,-,-,-,-,-,0.37,0.15
17,Total Assets,69.7,70.74,72.5,80.37,93.19,105.89,79.47,80.04,95.67,108.13
18,Accounts Payable,24.34,27.71,27.02,24.57,34.24,50.37,24.7,25.63,35.36,43.31
19,Accrued Expenses,-,3.21,-,2.93,-,5.39,-,4.2,-,5.13
20,Current Portion of Long-Term Debt,13.24,3.83,3.53,8.53,8.53,5.43,7.33,11.36,14.35,14.35
21,Current Portion of Leases,0.17,0.39,0.49,0.55,0.28,0.41,0.4,0.47,0.19,0.39
22,Current Income Taxes Payable,0.78,0.09,0.69,1.53,2,1.3,0.29,0.65,1.19,1.04
23,Current Unearned Revenue,-,-,-,-,-,-,0.59,-,0.93,0.44
24,Other Current Liabilities,4.91,1.13,3.05,0.9,6.41,0.53,5.59,1.25,6.49,0.31
25,Total Current Liabilities,43.43,36.36,34.8,39.01,51.47,63.42,38.9,43.56,58.5,64.95
26,Long-Term Debt,-,11.17,14.24,16.01,17.77,19.54,21.8,16.3,18.96,25.09
27,Long-Term Leases,0.07,0.11,0.13,0.4,0.35,0.44,0.11,0.21,0.3,0.28
28,Long-Term Deferred Tax Liabilities,0.06,0.09,0.11,0.25,0.38,0.47,0.46,0.1,0.36,0.37
29,Other Long-Term Liabilities,0.18,0.19,0.4,0.4,0.46,0.45,0.48,0.42,0.51,0.57
30,Total Liabilities,43.75,47.93,49.66,56.06,70.43,84.32,61.75,60.59,78.63,91.27
31,Common Stock,5.07,5.07,5.04,5.04,5.02,5.02,5.02,5.02,5.02,5.02
32,Additional Paid-In Capital,8.01,8.01,7.83,7.83,9.57,9.57,9.57,9.57,9.57,9.57
33,Retained Earnings,9.63,6.42,6.55,8.04,4.18,2.89,-0.81,0.97,-1.25,-1.38
34,Comprehensive Income & Other,3.24,3.31,3.42,3.4,3.99,4.09,3.94,3.88,3.7,3.65
35,Shareholders' Equity,25.95,22.81,22.84,24.3,22.76,21.57,17.72,19.44,17.04,16.86
36,Total Liabilities & Equity,69.7,70.74,72.5,80.37,93.19,105.89,79.47,80.04,95.67,108.13
37,Total Debt,13.48,15.51,18.39,25.49,26.94,25.82,29.64,28.34,33.79,40.11
38,Net Cash (Debt),5.94,4.59,-2.37,-10.17,-10.62,-8.19,-8.46,-6.01,-11.64,-11.63
39,Net Cash Per Share,0.01,0.01,-0.00,-0.02,-0.02,-0.02,-0.02,-0.01,-0.02,-0.03
40,Filing Date Shares Outstanding,506.65,506.65,504.14,504.14,501.63,501.63,501.63,501.63,501.63,501.63
41,Total Common Shares Outstanding,506.65,506.65,504.14,504.14,501.63,501.63,501.63,501.63,501.63,501.63
42,Working Capital,11.85,21.86,24.88,24.88,22.91,22.95,21.7,16.9,15.5,20.94
43,Book Value Per Share,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.03,0.03
44,Tangible Book Value,17.07,13.92,13.94,15.4,13.86,12.67,8.8,10.46,8,7.73
45,Tangible Book Value Per Share,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02
46,Machinery,21.49,21.28,21.62,22.92,22.96,22.54,10.98,21.01,10.74,10.84
47,Construction In Progress,0.33,0.47,0.4,0.47,0.42,0.35,0.3,0.17,0.87,0.63
