,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,228,193,198,292,308,306,376,426,421,366,462
1,Market Cap Growth,-34.16%,-34.16%,-35.75%,-4.44%,-18.26%,-28.24%,-10.71%,16.44%,-8.70%,-,-
2,Enterprise Value,182,157,216,372,391,370,442,473,512,457,658
3,Last Close Price,0.45,0.38,0.39,0.58,0.61,0.61,0.72,0.81,0.77,0.65,0.82
4,PE Ratio,9.49,8.01,-,-,8.62,5.64,12.68,23.82,14.58,8.66,21.61
5,PS Ratio,0.28,0.24,0.25,0.33,0.31,0.27,0.38,0.49,0.41,0.28,0.33
6,PB Ratio,1.13,0.95,1.11,1.63,1.62,1.71,2.24,3.10,2.80,2.77,3.51
7,P/TBV Ratio,1.44,1.44,1.82,2.68,2.56,2.81,3.81,6.24,5.20,5.91,7.66
8,P/FCF Ratio,2.22,1.87,1.91,5.01,132.80,-,35.79,-,5.85,4.16,6.78
9,P/OCF Ratio,1.81,1.81,1.80,4.42,28.31,-,13.39,-,5.06,2.94,4.39
10,EV/Sales Ratio,0.23,0.20,0.27,0.42,0.40,0.33,0.45,0.55,0.49,0.35,0.47
11,EV/EBITDA Ratio,2.56,2.35,5.64,7.54,5.07,3.83,6.20,8.22,6.99,4.61,7.62
12,EV/EBIT Ratio,3.34,2.89,9.26,11.27,6.58,4.90,8.77,13.27,10.73,6.09,10.92
13,EV/FCF Ratio,1.77,1.52,2.09,6.37,168.78,-,42.04,-,7.10,5.18,9.67
14,Debt / Equity Ratio,0.52,0.52,0.68,0.81,1.05,1.18,1.20,1.67,1.46,1.98,2.38
15,Debt / FCF Ratio,1.02,1.02,1.17,2.47,85.81,-,19.15,-,3.05,2.97,4.59
16,Return on Capital Employed (ROCE),26.47%,26.47%,8.70%,11.17%,18.42%,23.06%,15.21%,11.32%,16.87%,26.05%,17.92%
17,Earnings Yield,10.54%,12.48%,-6.40%,-0.29%,11.60%,17.74%,7.89%,4.20%,6.86%,11.55%,4.63%
18,FCF Yield,45.09%,53.39%,52.43%,19.94%,0.75%,2.55%,2.79%,11.50%,17.09%,24.07%,14.76%
19,Buyback Yield / Dilution,-0.88%,-0.38%,-0.88%,0.38%,2.00%,0.38%,-2.20%,-1.00%,-13.62%,-22.07%,-
20,Total Shareholder Return,-0.88%,-0.38%,-0.88%,0.38%,2.00%,0.38%,-2.20%,-1.00%,-13.62%,-22.07%,-
