,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,52.11,50.76,50.25,61.56,65,79.44,46.57,64.39,69.8,98.6
1,Revenue Growth (YoY),3.70%,-17.54%,-22.70%,-22.50%,39.57%,23.37%,-33.28%,-34.69%,-14.23%,-
2,Cost of Revenue,36.67,38.74,38.95,48.57,50.37,61.89,35.12,51.07,55.58,77.74
3,Gross Profit,15.44,12.02,11.29,12.99,14.63,17.55,11.45,13.32,14.22,20.86
4,"Selling, General & Admin",9.48,9.4,9.06,9.03,9.02,11.39,9.45,8.95,9.98,13.19
5,Other Operating Expenses,0.94,0.52,1.16,0.63,1.07,0.92,0.95,1.24,1.39,0.84
6,Operating Expenses,10.43,10.08,10.25,9.83,10.17,12.39,10.16,10.02,11.36,14.03
7,Operating Income,5.01,1.94,1.05,3.16,4.45,5.17,1.3,3.3,2.86,6.83
8,Interest Expense,-0.61,-0.83,-0.92,-0.79,-0.45,-0.66,-2.34,-0.88,-1.12,-1.55
9,Interest & Investment Income,-,-,-,-,0.07,-,0.24,-,-,-
10,Currency Exchange Gain (Loss),-,-0.09,-,-0.29,-,0.07,-0.07,-,-,0.04
11,Other Non Operating Income (Expenses),0.03,0.02,0.07,-0.07,0.11,0.2,0.09,-0.04,0.01,0.13
12,EBT Excluding Unusual Items,4.42,1.04,0.19,2.01,4.19,4.77,-0.78,2.38,1.74,5.45
13,Merger & Restructuring Charges,-0.55,-0.48,-2.03,0.01,-0.01,-,-,-,-,-0.06
14,Gain (Loss) on Sale of Investments,-,-0.35,-,-0.31,-,-,-,-,-,-
15,Gain (Loss) on Sale of Assets,-,-0.03,-,-,-,-,0.5,-,-,-
16,Asset Writedown,-,-,-,-,-,-,-,-0.17,-,-
17,Other Unusual Items,0.23,0.09,0.01,0.25,-,0.65,0.55,0.46,0.26,-
18,Pretax Income,4.11,0.27,-1.83,1.96,4.17,5.43,0.27,2.67,2.01,5.39
19,Income Tax Expense,0.9,0.4,-0.34,0.58,0.98,1.7,0.19,0.44,0.5,1.44
20,Net Income,3.21,-0.13,-1.49,1.38,3.19,3.73,0.08,2.22,1.5,3.95
21,Net Income to Common,3.21,-0.13,-1.49,1.38,3.19,3.73,0.08,2.22,1.5,3.95
22,Net Income Growth,-,-,-,-62.90%,3841.98%,67.49%,-94.61%,-43.72%,-,-
23,Shares Outstanding (Basic),507,507,502,503,502,502,502,502,502,436
24,Shares Outstanding (Diluted),507,507,505,503,507,513,509,502,504,442
25,Shares Change (YoY),0.38%,0.88%,-0.38%,-2.00%,-0.38%,2.20%,1.00%,13.62%,22.07%,-
26,EPS (Basic),0.01,-0.00,-0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.01
27,EPS (Diluted),0.01,-0.00,-0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.01
28,EPS Growth,-,-,-,-62.19%,3813.04%,65.11%,-94.63%,-50.51%,-,-
29,Free Cash Flow,5.32,7.84,5.42,2.02,-1.73,2.72,-1.37,7.69,1.6,9.77
30,Free Cash Flow Per Share,0.01,0.02,0.01,0.00,-0.00,0.01,-0.00,0.02,0.00,0.02
31,Operating Margin,9.61%,3.83%,2.08%,5.14%,6.85%,6.50%,2.78%,5.12%,4.09%,6.92%
32,Profit Margin,6.16%,-0.26%,-2.96%,2.24%,4.91%,4.69%,0.17%,3.45%,2.15%,4.01%
33,Free Cash Flow Margin,10.21%,15.45%,10.78%,3.29%,-2.66%,3.43%,-2.95%,11.94%,2.29%,9.91%
34,EBITDA,5.69,2.86,2.05,4.24,5.64,6.65,2.5,4.92,4.52,8.25
35,D&A For EBITDA,0.68,0.92,1.01,1.08,1.19,1.49,1.2,1.62,1.66,1.43
36,EBIT,5.01,1.94,1.05,3.16,4.45,5.17,1.3,3.3,2.86,6.83
