,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,69.09,119.63,125.4,178.5,147.66,276.1,212.27,254.01,177.01,269.8
1,Revenue Growth (YoY),-44.90%,-32.98%,-15.08%,-35.35%,-30.44%,8.70%,19.92%,-5.85%,-34.75%,2.87%
2,Cost of Revenue,62.77,102.16,109.78,149.44,133.86,248.71,187.71,218.28,150.47,231.64
3,Gross Profit,6.33,17.48,15.62,29.07,13.8,27.4,24.56,35.73,26.54,38.15
4,"Selling, General & Admin",14.51,21.17,16.55,20.32,14.35,23.94,18.71,18.95,17.01,12.4
5,Other Operating Expenses,-0.77,1.27,-1.25,1.79,-1.56,0.46,-2.94,-4,-0.94,0.18
6,Operating Expenses,10.28,29.89,15.3,19.93,11.86,32.08,14.75,17.6,16.94,10.99
7,Operating Income,-3.96,-12.42,0.32,9.13,1.94,-4.68,9.81,18.13,9.6,27.17
8,Interest Expense,-0.1,-0.48,-0.91,-1.4,-1.16,-0.86,-0.32,-0.48,-0.41,-1.56
9,Interest & Investment Income,0.3,0.24,0.31,0.09,0.3,0.09,0,0.1,0.1,0.32
10,Currency Exchange Gain (Loss),0.1,-1,2.15,2.03,1.64,-0.73,-0.57,-2.51,-,-
11,EBT Excluding Unusual Items,-3.65,-13.66,1.86,9.85,2.72,-6.19,8.92,15.24,9.3,25.92
12,Gain (Loss) on Sale of Assets,-,0.08,-0.08,-0.01,0.01,-0.03,0.03,-3.22,-0.25,0.19
13,Other Unusual Items,-,-,-,-,-,-,-,-,-,-14.89
14,Pretax Income,-3.65,-13.57,1.78,9.84,2.73,-6.21,8.95,12.02,9.05,11.22
15,Income Tax Expense,0.53,5.76,0.08,2.81,0.8,-1.17,2.19,4.16,2.33,2.44
16,Earnings From Continuing Operations,-4.18,-19.34,1.7,7.03,1.94,-5.05,6.76,7.87,6.72,8.78
17,Net Income,-4.18,-19.34,1.7,7.03,1.94,-5.05,6.76,7.87,6.72,8.78
18,Net Income to Common,-4.18,-19.34,1.7,7.03,1.94,-5.05,6.76,7.87,6.72,8.78
19,Net Income Growth,-,-,-12.24%,-,-71.36%,-,0.64%,-10.41%,-58.45%,-32.14%
20,Shares Outstanding (Basic),400,400,400,400,400,400,400,400,400,327
21,Shares Outstanding (Diluted),400,400,400,400,400,400,400,400,400,327
22,Shares Change (YoY),-,-,-,-,-,-,-,22.51%,28.21%,8.84%
23,EPS (Basic),-0.01,-0.05,0.00,0.02,0.00,-0.01,0.02,0.02,0.02,0.03
24,EPS (Diluted),-0.01,-0.05,0.00,0.02,0.00,-0.01,0.02,0.02,0.02,0.03
25,EPS Growth,-,-,-12.25%,-,-71.36%,-,0.64%,-26.87%,-67.59%,-37.65%
26,Free Cash Flow,3.63,42.06,8.23,24.14,-12.89,-8.84,-34.26,2.21,-10.36,-10.05
27,Free Cash Flow Per Share,0.01,0.11,0.02,0.06,-0.03,-0.02,-0.09,0.01,-0.03,-0.03
28,Dividend Per Share,-,-,-,-,-,-,0.021,-,-,-
29,Operating Margin,-5.73%,-10.38%,0.25%,5.12%,1.32%,-1.70%,4.62%,7.14%,5.42%,10.07%
30,Profit Margin,-6.05%,-16.16%,1.35%,3.94%,1.31%,-1.83%,3.18%,3.10%,3.79%,3.26%
31,Free Cash Flow Margin,5.25%,35.16%,6.56%,13.52%,-8.73%,-3.20%,-16.14%,0.87%,-5.85%,-3.73%
32,EBITDA,2.19,-5.82,7.15,16.62,9.07,3.17,14.58,20.93,12.83,29.42
33,D&A For EBITDA,6.14,6.6,6.83,7.49,7.12,7.85,4.77,2.8,3.23,2.25
34,EBIT,-3.96,-12.42,0.32,9.13,1.94,-4.68,9.81,18.13,9.6,27.17
