,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,81,80,168,99,132,118,144,292,180,768,596
1,Market Cap Growth,-18.95%,-18.95%,27.27%,-15.93%,-8.33%,-59.59%,-20.00%,-61.98%,-69.80%,-,-
2,Enterprise Value,44,27,165,109,171,141,143,250,144,718,677
3,Last Close Price,0.20,0.20,0.42,0.25,0.33,0.29,0.36,0.68,0.42,1.80,1.40
4,PE Ratio,-,-,-,10.52,13.03,-32.38,-,16.60,10.39,45.16,21.35
5,PS Ratio,0.40,0.40,0.62,0.30,0.36,0.24,0.24,0.52,0.35,1.57,0.98
6,PB Ratio,0.37,0.37,0.74,0.41,0.52,0.46,0.53,1.04,0.67,3.23,2.55
7,P/TBV Ratio,0.37,0.37,0.74,0.41,0.52,0.46,0.53,1.04,0.67,3.24,2.55
8,P/FCF Ratio,1.65,1.64,3.03,2.84,10.38,-,-,-,-18.59,-,-
9,P/OCF Ratio,1.63,1.63,2.93,2.06,5.31,-,-9.10,-,2.55,54.99,23.06
10,EV/Sales Ratio,0.22,0.14,0.61,0.33,0.46,0.28,0.24,0.45,0.28,1.47,1.12
11,EV/EBITDA Ratio,-,-7.04,-,4.24,5.88,9.85,6.56,5.86,3.58,15.49,10.55
12,EV/EBIT Ratio,-,-,-,10.67,13.65,-43.97,-,7.45,4.36,17.80,11.51
13,EV/FCF Ratio,0.91,0.56,2.99,3.12,13.44,-,-,-,-14.83,-,-
14,Debt / Equity Ratio,0.00,0.00,0.03,0.14,0.23,0.25,0.25,0.16,0.13,0.09,0.19
15,Debt / FCF Ratio,0.00,0.00,0.11,0.96,4.70,-,-,-,-3.62,-,-
16,Return on Capital Employed (ROCE),-,-,-,4.17%,4.84%,-1.23%,-,12.00%,12.28%,16.99%,25.11%
17,Earnings Yield,-31.27%,-31.43%,-11.57%,9.51%,7.68%,-3.09%,1.46%,6.02%,9.62%,2.21%,4.68%
18,FCF Yield,60.75%,61.05%,32.97%,35.25%,9.64%,-21.57%,-36.74%,-13.20%,-5.38%,-2.92%,0.22%
19,Dividend Yield,0.00%,-,-,-,-,-,-,3.65%,-,-,-
20,Buyback Yield / Dilution,-,-,-,-,-,-,-,-22.51%,-28.21%,-8.84%,
21,Total Shareholder Return,-,-,-,-,-,-,3.65%,-22.51%,-28.21%,-8.84%,
