,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,279.84,311.74,290.09,245.93,317.45,326.52,328.2,553.42,375.43,601.83,Upgrade
1,Cash & Short-Term Investments,279.84,311.74,290.09,245.93,317.45,326.52,328.2,553.42,375.43,601.83,Upgrade
2,Cash Growth,-3.53%,26.76%,-8.62%,-24.68%,-3.28%,-41.00%,-12.58%,-8.04%,-35.87%,-10.78%,Upgrade
3,Accounts Receivable,846.42,750.5,870.27,753.1,704.11,626.08,632.73,593.03,462.6,544.68,Upgrade
4,Other Receivables,80.85,133.8,78.06,149.3,85.62,118.99,85.56,115.5,78.42,107.07,Upgrade
5,Receivables,954.21,936.84,948.33,952.47,789.73,745.07,718.28,708.52,541.01,651.74,Upgrade
6,Inventory,310.83,299.07,291.98,293.69,302.81,288.63,285.39,234.05,270.25,266.05,Upgrade
7,Other Current Assets,0.19,0.01,0.47,0.01,0.01,0.01,0.01,0.01,0.01,0.01,Upgrade
8,Total Current Assets,1545,1548,1531,1492,1410,1360,1332,1496,1187,1520,Upgrade
9,"Property, Plant & Equipment",1041,1052,1015,1033,1006,1052,1062,1067,1021,1051,Upgrade
10,Long-Term Investments,20.1,18.44,18.67,23.4,22.86,22.9,23.84,22.28,19.84,19.51,Upgrade
11,Other Intangible Assets,689.47,0.2,733.31,0.38,720.36,1,686.03,2.31,625.75,5.14,Upgrade
12,Long-Term Deferred Tax Assets,37.61,27.05,24.7,13.89,11.53,11.36,6.42,11.81,8.61,11.83,Upgrade
13,Long-Term Deferred Charges,-,732.36,-,724.76,-,707.81,-,655.19,-,622.01,Upgrade
14,Other Long-Term Assets,25.8,27.29,28.5,47.42,48.4,50.92,51.78,51.48,29.43,29.95,Upgrade
15,Total Assets,3359,3405,3351,3335,3219,3206,3162,3306,2891,3259,Upgrade
16,Accounts Payable,810.3,833.4,818.56,815.4,679.22,666.5,620.71,657.16,343.36,592.02,Upgrade
17,Accrued Expenses,2.75,3.03,3.48,4.28,3.63,3.76,3.61,3.53,3.16,3.54,Upgrade
18,Short-Term Debt,-,-,-,-,55.02,84.98,114.97,-,0,0.16,Upgrade
19,Current Portion of Long-Term Debt,47.9,14.12,-,-,-0.13,-0.57,-0.71,248.64,53.05,58.67,Upgrade
20,Current Portion of Leases,12.03,14.19,14.44,12.5,11.43,12.39,13.55,13.53,12.61,12.29,Upgrade
21,Current Income Taxes Payable,15.42,17.92,15.16,12.93,4.77,13.73,17.08,12.39,11.24,19.3,Upgrade
22,Current Unearned Revenue,26.42,27.24,25.36,24.24,24.83,23.69,21.03,21.65,23.62,27.84,Upgrade
23,Other Current Liabilities,191.37,179.13,168.04,157.09,182.28,137.65,126.88,150.65,202.75,150.75,Upgrade
24,Total Current Liabilities,1106,1089,1045,1026,961.04,942.13,917.11,1108,649.78,864.57,Upgrade
25,Long-Term Debt,-,34.99,47.9,49.84,51.87,-,-,-,249.32,248.83,Upgrade
26,Long-Term Leases,34.01,37.1,43.14,48.38,46.34,49.97,53.58,43.83,44.64,49.38,Upgrade
27,Long-Term Unearned Revenue,96.89,110.23,97.04,104.61,93.56,86.74,69.64,69.07,71.35,76.47,Upgrade
28,Long-Term Deferred Tax Liabilities,4.89,8.58,15.2,18.94,46.87,26.74,44.31,62.85,42.21,73.79,Upgrade
29,Other Long-Term Liabilities,96.43,88.12,84.93,86.88,69.64,75.64,74.84,76.41,63.14,71.43,Upgrade
30,Total Liabilities,1364,1394,1358,1358,1294,1204,1185,1385,1141,1407,Upgrade
31,Common Stock,32.38,32.38,32.38,32.38,32.38,32.38,32.37,32.35,32.35,32.35,Upgrade
32,Additional Paid-In Capital,-,-,-,-,-,1.64,0.91,-,-,-,Upgrade
33,Retained Earnings,1958,1950,1948,1926,1855,1888,1852,1791,1677,1757,Upgrade
34,Comprehensive Income & Other,-42.73,-18.87,-32.24,-24.36,-10.55,32.25,48.63,58.65,7.46,22.18,Upgrade
35,Total Common Equity,1948,1964,1948,1934,1877,1955,1934,1882,1717,1812,Upgrade
36,Minority Interest,46.87,47.03,44.92,43.33,47.99,47.96,43.56,38.98,32.48,39.68,Upgrade
37,Shareholders' Equity,1995,2011,1993,1977,1925,2003,1977,1921,1749,1852,Upgrade
38,Total Liabilities & Equity,3359,3405,3351,3335,3219,3206,3162,3306,2891,3259,Upgrade
39,Total Debt,93.93,100.4,105.48,110.71,164.53,146.77,181.39,305.99,359.62,369.33,Upgrade
40,Net Cash (Debt),185.9,211.35,184.61,135.23,152.92,179.75,146.81,247.43,15.81,232.5,Upgrade
41,Net Cash Growth,0.70%,56.29%,20.73%,-24.77%,4.16%,-27.35%,828.55%,6.42%,-91.22%,-20.59%,Upgrade
42,Net Cash Per Share,0.07,0.08,0.07,0.05,0.06,0.07,0.06,0.10,0.01,0.09,Upgrade
43,Filing Date Shares Outstanding,2510,2510,2510,2510,2510,2510,2509,2508,2508,2508,Upgrade
