,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,13478,8835,12373,10265,12825,14155,24295,27093,20888,13340,17703,Upgrade
1,Market Cap Growth,-13.94%,-13.94%,-3.52%,-27.48%,-47.21%,-47.75%,16.31%,103.09%,17.99%,-45.27%,-36.69%,Upgrade
2,Enterprise Value,12392,7551,11279,9549,12002,13128,23493,25477,21017,11838,16604,Upgrade
3,Last Close Price,5.37,3.52,4.90,4.07,5.03,5.55,9.39,10.48,8.03,4.89,6.49,Upgrade
4,PE Ratio,93.61,61.36,43.12,12.70,28.35,-,26.31,17.57,23.07,16.77,9.78,Upgrade
5,Forward PE,21.44,8.94,9.75,6.80,10.13,10.51,11.94,13.72,13.74,9.24,7.97,Upgrade
6,PS Ratio,0.41,0.27,0.38,0.32,0.43,0.53,0.93,0.98,0.89,0.58,0.64,Upgrade
7,PB Ratio,0.89,0.57,0.79,0.66,0.83,0.94,1.56,1.76,1.40,0.98,1.23,Upgrade
8,P/TBV Ratio,0.90,0.90,0.81,1.08,0.85,1.56,1.59,2.80,1.43,1.58,1.26,Upgrade
9,P/FCF Ratio,10.73,7.03,6.82,5.47,9.49,9.47,21.37,8.46,9.97,-,7.82,Upgrade
10,P/OCF Ratio,3.48,3.48,3.92,3.25,5.60,5.72,10.84,6.43,6.42,-,4.63,Upgrade
11,PEG Ratio,0.32,0.16,0.15,0.10,0.35,0.35,0.28,0.30,1.93,-,-,Upgrade
12,EV/Sales Ratio,0.38,0.23,0.34,0.29,0.40,0.49,0.90,0.92,0.89,0.52,0.60,Upgrade
13,EV/EBITDA Ratio,6.91,4.65,7.03,4.80,6.98,9.79,12.41,8.76,9.43,5.81,5.07,Upgrade
14,EV/EBIT Ratio,22.85,14.92,21.35,10.10,17.78,48.09,27.73,13.38,16.39,10.45,7.00,Upgrade
15,EV/FCF Ratio,9.87,6.01,6.22,5.09,8.88,8.78,20.67,7.96,10.04,-,7.33,Upgrade
16,Debt / Equity Ratio,0.05,0.05,0.05,0.05,0.06,0.09,0.07,0.09,0.16,0.21,0.20,Upgrade
17,Debt / FCF Ratio,0.58,0.58,0.43,0.44,0.64,0.86,1.01,0.44,1.13,-,1.27,Upgrade
18,Return on Capital Employed (ROCE),2.88%,2.88%,2.92%,5.23%,3.75%,1.54%,4.80%,10.93%,7.52%,6.52%,12.71%,Upgrade
19,Earnings Yield,1.07%,1.63%,2.32%,7.87%,3.53%,1.34%,3.80%,5.69%,4.33%,5.96%,10.23%,Upgrade
20,FCF Yield,9.32%,14.22%,14.66%,18.27%,10.54%,10.56%,4.68%,11.82%,10.03%,2.60%,12.79%,Upgrade
21,Buyback Yield / Dilution,-,-,0.01%,0.10%,0.02%,-0.17%,-0.12%,0.00%,0.07%,0.02%,Upgrade,
22,Total Shareholder Return,0.43%,-,-,0.01%,0.10%,0.02%,-0.17%,-0.12%,0.00%,0.07%,0.02%,Upgrade
