,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Operating Revenue,142.96,219.56,152.99,190.83,161.14,239.45,157.88,258,114.29,248.14,Upgrade
1,Other Revenue,6.52,-1.24,14.63,9.46,-6.37,-4.28,12.61,12.94,4.02,4.95,Upgrade
2,Revenue,149.48,218.31,167.62,200.29,154.77,235.17,170.5,270.94,118.31,253.09,Upgrade
3,Revenue Growth (YoY),-10.82%,9.00%,8.30%,-14.83%,-9.22%,-13.20%,44.11%,7.05%,-42.32%,-35.15%,Upgrade
4,Cost of Revenue,17.04,53.66,6.6,30.56,11.28,51.19,21.13,86.38,21.88,68,Upgrade
5,Gross Profit,132.44,164.65,161.02,169.73,143.49,183.98,149.36,184.56,96.44,185.09,Upgrade
6,"Selling, General & Admin",80.88,81.31,89.83,90.76,88.44,91.45,81.98,86.5,80.37,95.15,Upgrade
7,Other Operating Expenses,45.15,50.42,47.69,55.29,48.16,56.06,45.9,42.23,42.58,52.58,Upgrade
8,Operating Expenses,146.98,152.88,157.42,165.66,156.51,166.92,146.43,145.41,139.89,164.82,Upgrade
9,Operating Income,-14.54,11.77,3.6,4.07,-13.02,17.06,2.93,39.15,-43.46,20.27,Upgrade
10,Interest Expense,-19.79,-20.96,-14.24,-9.84,-4.03,-3.64,-3.44,-3.93,-5.93,-6.82,Upgrade
11,Earnings From Equity Investments,-8.97,-9.77,-6.12,-8.22,-6.36,8.54,-9.74,-24.87,-16.98,-18.18,Upgrade
12,Currency Exchange Gain (Loss),-,8.16,-,-14.04,-,-1.64,-,6.19,-,-1.22,Upgrade
13,Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,3.46,Upgrade
14,EBT Excluding Unusual Items,-43.3,-10.8,-16.76,-28.02,-23.41,20.32,-10.25,16.54,-66.37,-2.51,Upgrade
15,Gain (Loss) on Sale of Assets,-,0.07,-,0.01,-,-0.69,-,0.04,-,-40,Upgrade
16,Asset Writedown,-31.78,-73.91,16.27,-37.24,-3.55,20.19,24,-51.11,-11.08,51.51,Upgrade
17,Other Unusual Items,-,0.93,-2.06,1.04,-,0.5,-,1.78,-,-2.92,Upgrade
18,Pretax Income,-75.08,-83.72,-2.54,-64.21,-26.96,40.32,13.74,-32.76,-77.45,6.08,Upgrade
19,Income Tax Expense,0.6,-11.99,-0.83,-8.86,2.66,7.82,-0.68,-1.03,0.31,-0.15,Upgrade
20,Earnings From Continuing Operations,-75.68,-71.73,-1.71,-55.35,-29.62,32.5,14.43,-31.73,-77.77,6.23,Upgrade
21,Minority Interest in Earnings,-0.17,-0.33,-0.87,-0.53,-0.89,-0.3,-0.69,-0.41,-0.46,0.14,Upgrade
22,Net Income,-75.85,-72.05,-2.58,-55.88,-30.5,32.2,13.74,-32.14,-78.23,6.37,Upgrade
23,Net Income to Common,-75.85,-72.05,-2.58,-55.88,-30.5,32.2,13.74,-32.14,-78.23,6.37,Upgrade
24,Net Income Growth,-,-,-,-,-,-,-,-,-,-96.30%,Upgrade
25,Shares Outstanding (Basic),951,951,951,951,951,951,951,951,951,951,Upgrade
26,Shares Outstanding (Diluted),951,951,951,951,951,951,951,951,951,951,Upgrade
27,EPS (Basic),-0.08,-0.08,-0.00,-0.06,-0.03,0.03,0.01,-0.03,-0.08,0.01,Upgrade
28,EPS (Diluted),-0.08,-0.08,-0.00,-0.06,-0.03,0.03,0.01,-0.03,-0.08,0.01,Upgrade
29,EPS Growth,-,-,-,-,-,-,-,-,-,-96.30%,Upgrade
30,Free Cash Flow,2.86,19.18,-33.14,-58.38,3.2,-49.52,35.96,20.13,18.34,-0.62,Upgrade
31,Free Cash Flow Per Share,0.00,0.02,-0.03,-0.06,0.00,-0.05,0.04,0.02,0.02,-0.00,Upgrade
32,Operating Margin,-9.73%,5.39%,2.15%,2.03%,-8.41%,7.25%,1.72%,14.45%,-36.73%,8.01%,Upgrade
33,Profit Margin,-50.74%,-33.00%,-1.54%,-27.90%,-19.71%,13.69%,8.06%,-11.86%,-66.12%,2.52%,Upgrade
34,Free Cash Flow Margin,1.91%,8.79%,-19.77%,-29.15%,2.07%,-21.06%,21.09%,7.43%,15.50%,-0.24%,Upgrade
35,EBITDA,3.3,26.21,20.32,16.84,3.33,29.36,17.24,50.25,-32.36,30.03,Upgrade
36,D&A For EBITDA,17.84,14.44,16.72,12.77,16.35,12.3,14.3,11.1,11.1,9.77,Upgrade
37,EBIT,-14.54,11.77,3.6,4.07,-13.02,17.06,2.93,39.15,-43.46,20.27,Upgrade
38,Advertising Expenses,3.98,-,4.63,-,4.78,-,3.55,-,3.71,-,Upgrade
