,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2021,H1 2020
,Period Ending,"Mar '25 Mar 12, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Aug '20 Aug 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,126,136,118,121,153,188,160,216,-,-,-
1,Market Cap Growth,12.37%,12.37%,-22.95%,-35.33%,-4.69%,-13.29%,-,-,-,-,-
2,Enterprise Value,23,75,44,44,16,72,59,175,-,-,-
3,Last Close Price,0.10,0.11,0.09,0.10,0.12,0.15,0.13,0.17,-,-,-
4,PE Ratio,6.01,6.50,5.81,4.33,5.78,7.44,9.68,14.24,-,-,-
5,PS Ratio,0.36,0.39,0.33,0.34,0.46,0.65,0.60,0.89,-,-,-
6,PB Ratio,0.42,0.45,0.40,0.43,0.57,0.77,0.68,0.96,-,-,-
7,P/TBV Ratio,0.48,0.48,0.43,0.46,0.61,0.77,0.68,0.96,-,-,-
8,P/FCF Ratio,2.11,1.32,1.18,2.99,6.44,6.73,6.20,6.21,-,-,-
9,P/OCF Ratio,2.53,1.60,1.02,1.31,3.95,5.25,5.41,5.78,-,-,-
10,EV/Sales Ratio,0.07,0.22,0.12,0.12,0.05,0.25,0.22,0.72,-,-,-
11,EV/EBITDA Ratio,0.29,0.93,0.55,0.61,0.29,1.48,1.37,3.76,-,-,-
12,EV/EBIT Ratio,1.16,3.78,1.90,1.37,0.58,3.08,3.01,6.89,-,-,-
13,EV/FCF Ratio,0.38,0.73,0.45,1.08,0.68,2.59,2.30,5.01,-,-,-
14,Debt / Equity Ratio,0.22,0.22,0.31,0.30,0.23,0.06,0.10,0.13,0.23,0.27,-
15,Debt / FCF Ratio,1.13,0.66,0.93,2.11,2.57,0.56,0.89,0.87,0.55,0.64,-
16,Return on Capital Employed (ROCE),5.81%,5.81%,6.63%,9.29%,8.95%,9.22%,7.94%,10.32%,20.91%,23.23%,-
17,Earnings Yield,16.64%,15.38%,17.22%,23.09%,17.31%,13.43%,10.33%,7.02%,-,-,-
18,FCF Yield,47.40%,75.55%,84.44%,33.48%,15.53%,14.85%,16.13%,16.11%,-,-,-
19,Buyback Yield / Dilution,-,-,-,-1.25%,-,-21.56%,-,-,-,-,
20,Total Shareholder Return,-,-,-,-1.25%,-,-21.56%,-,-,-,-,
