,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+8 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+8 Quarters
0,Revenue,3547802,2961889,3724003,3191865,3475241,2485890,2985093,2905136,2414413,2182974,2853684,3225502,2766421,3590835,2915677,2787798,3208270,3321649,3528512,2512180,Upgrade
1,Revenue Growth (YoY),2.09%,19.15%,24.75%,9.87%,43.94%,13.88%,4.60%,-9.93%,-12.72%,-39.21%,-2.13%,15.70%,-13.77%,8.10%,-17.37%,10.97%,-5.84%,1.52%,2.44%,12.41%,Upgrade
2,"Selling, General & Admin",114110,96398,112388,94200,165722,71167,101607,71747,95257,62892,88351,69037,66161,83064,57002,68712,75921,70722,122798,60099,Upgrade
3,Other Operating Expenses,3199311,2762751,3271604,2797993,3167042,2379009,2601172,2432713,2511958,1811798,2440842,2673986,2538190,3175174,2553162,2545348,2776642,2847161,2985508,2313733,Upgrade
4,Total Operating Expenses,3313421,2859150,3383991,2892193,3332764,2450176,2702779,2504460,2607215,1874690,2529192,2743023,2604351,3258239,2610163,2614060,2852563,2917883,3108306,2373832,Upgrade
5,Operating Income,234381,102739,340011,299672,142476,35714,282314,400677,-192802,308284,324491,482479,162070,332596,305514,173738,355706,403765,420206,138348,Upgrade
6,Interest Expense,-46286,-48569,-54048,-68811,-72581,-83910,-106836,-111867,-100055,-84966,-90227,-87637,-98380,-94979,-98674,-126051,-128804,-141749,-152979,-161626,Upgrade
7,Interest Income,53195,52816,42995,68502,59270,78291,31338,40602,255422,67462,494.59,39612,87510,38577,48846,41586,3445,10926,7188,6836,Upgrade
8,Net Interest Expense,6909,4246,-11053,-309.1,-13311,-5619,-75499,-71265,155367,-17503,-89733,-48024,-10870,-56401,-49827,-84466,-125359,-130822,-145791,-154790,Upgrade
9,Other Non-Operating Income (Expenses),-33215,-3528,-33383,-50218,2317,-81231,-9340,-5175,37737,-100609,-80843,-14125,-2417,2663,-4894,4869,105530,-23226,-80158,24209,Upgrade
10,EBT Excluding Unusual Items,208076,103457,295575,249144,131483,-51136,197475,324237,301.93,190171,153916,420329,148783,278857,250792,94141,335877,249717,194257,7766,Upgrade
11,Pretax Income,208076,103457,295575,249144,131483,-51136,197475,324237,301.93,190171,153916,420329,148783,278857,250792,94141,335877,249717,194257,7766,Upgrade
12,Income Tax Expense,17046,3920,29940,23562,26883,-5319,23358,33241,10742,14333,15673,38585,19170,22175,42663,17457,62862,40985,87071,17148,Upgrade
13,Earnings From Continuing Ops.,191029,99537,265635,225583,104600,-45817,174118,290996,-10440,175838,138243,381744,129613,256682,208129,76684,273014,208732,107186,-9382,Upgrade
14,Minority Interest in Earnings,1603,426.14,63.23,1305,-1110,1441,-328.69,769.66,-2207,1263,908.28,-241.31,2600,-3310,2347,-3960,-79292,-39911,-96881,13150,Upgrade
15,Net Income,192632,99963,265698,226888,103489,-44376,173789,291765,-12647,177101,139151,381503,132213,253372,210476,72723,193722,168821,10305,3768,Upgrade
16,Net Income to Common,192632,99963,265698,226888,103489,-44376,173789,291765,-12647,177101,139151,381503,132213,253372,210476,72723,193722,168821,10305,3768,Upgrade
17,Net Income Growth,86.14%,-,52.89%,-22.24%,-,-,24.89%,-23.52%,-,-30.10%,-33.89%,424.59%,-31.75%,50.08%,1942.53%,1829.83%,-13.91%,0.06%,-,-,Upgrade
18,Shares Outstanding (Basic),683,682,683,683,681,683,682,683,666,684,679,680,682,679,679,680,680,679,680,628,Upgrade
19,Shares Outstanding (Diluted),683,682,683,683,681,683,682,683,666,684,679,680,682,679,679,680,680,679,680,628,Upgrade
20,Shares Change (YoY),0.33%,-0.05%,0.22%,0.02%,2.28%,-0.16%,0.40%,0.48%,-2.33%,0.66%,-0.02%,0.06%,0.26%,-0.01%,-0.15%,8.21%,-0.01%,-0.14%,-,-7.52%,Upgrade
21,EPS (Basic),282.00,146.50,389.00,332.00,152.00,-65.00,255.00,427.00,-19.00,259.00,205.00,561.00,194.00,373.00,310.00,107.00,285.00,248.50,15.15,6.00,Upgrade
22,EPS (Diluted),282.00,146.50,389.00,332.00,152.00,-65.00,255.00,427.00,-19.00,259.00,205.00,561.00,194.00,373.00,310.00,107.00,285.00,248.50,15.15,6.00,Upgrade
23,EPS Growth,85.53%,-,52.55%,-22.25%,-,-,24.39%,-23.89%,-,-30.56%,-33.87%,424.30%,-31.93%,50.10%,1945.68%,1683.33%,-13.90%,0.20%,-,-,Upgrade
24,Free Cash Flow,728384,728384,-366895,376744,380852,69620,1224788,2321,-274235,603331,855690,407773,734042,-,-205725,1336211,377383,377383,-83015,814615,Upgrade
25,Free Cash Flow Per Share,1066.30,1067.48,-537.16,551.28,559.38,101.98,1797.13,3.40,-411.98,882.34,1260.62,599.63,1077.08,-,-303.00,1966.00,555.20,555.50,-122.08,1297.03,Upgrade
26,Profit Margin,5.43%,3.37%,7.13%,7.11%,2.98%,-1.79%,5.82%,10.04%,-0.52%,8.11%,4.88%,11.83%,4.78%,7.06%,7.22%,2.61%,6.04%,5.08%,0.29%,0.15%,Upgrade
27,Free Cash Flow Margin,20.53%,24.59%,-9.85%,11.80%,10.96%,2.80%,41.03%,0.08%,-11.36%,27.64%,29.99%,12.64%,26.53%,-,-7.06%,47.93%,11.76%,11.36%,-2.35%,32.43%,Upgrade
28,EBITDA,577598,445957,649913,610677,659602,368693,614074,731089,723162,669966,685655,842319,671143,854579,680005,610176,789572,837631,1081888,617718,Upgrade
29,EBITDA Margin,16.28%,15.06%,17.45%,19.13%,18.98%,14.83%,20.57%,25.17%,29.95%,30.69%,24.03%,26.11%,24.26%,23.80%,23.32%,21.89%,24.61%,25.22%,30.66%,24.59%,Upgrade
30,D&A For EBITDA,343218,343218,309902,311005,517126,332980,331759,330412,915964,361683,361163,359841,509073,521983,374491,436439,433866,433866,661682,479371,Upgrade
31,EBIT,234381,102739,340011,299672,142476,35714,282314,400677,-192802,308284,324491,482479,162070,332596,305514,173738,355706,403765,420206,138348,Upgrade
32,EBIT Margin,6.61%,3.47%,9.13%,9.39%,4.10%,1.44%,9.46%,13.79%,-7.99%,14.12%,11.37%,14.96%,5.86%,9.26%,10.48%,6.23%,11.09%,12.16%,11.91%,5.51%,Upgrade
33,Effective Tax Rate,8.19%,3.79%,10.13%,9.46%,20.45%,-,11.83%,10.25%,3557.79%,7.54%,10.18%,9.18%,12.88%,7.95%,17.01%,18.54%,18.72%,16.41%,44.82%,220.80%,Upgrade
34,Revenue as Reported,3547802,2961889,3724003,-,3475241,2485890,2985093,2905136,2414413,2182974,2853684,3225502,-,3590835,2915677,-,3208270,3321649,-,2512180,Upgrade
