,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+8 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+8 Quarters
0,Cash & Equivalents,547262,547262,367415,585969,277914,160497,341376,180650,258299,187952,108965,206223,94713,197308.0,-,-,-,-,315145,306861,Upgrade
1,Short-Term Investments,400000,400000,350000,444000,444000,444000,444000,425000,425000,25000,25000,25000,24700,32700.0,-,-,-,-,-,-,Upgrade
2,Accounts Receivable,3578435,3578435,4412345,4074179,4211525,3634808,3575672,4107220,2829785,2386459,2941945,3771585,2906525,3283905.0,-,-,-,-,2878381,2294706,Upgrade
3,Other Receivables,62913,62913,52063,77488,64062,41481,23886,68671,55124,34108,17915,19384,23103,29698.0,-,-,-,-,53498,30835,Upgrade
4,Inventory,410078,410078,378900,363791,313695,332159,309586,330615,328719,326167,332868,311691,312617,263772.0,-,-,-,-,202234,221248,Upgrade
5,Prepaid Expenses,9695,9695,13187,9087,7807,13342,11650,9340,6396,10541,25673,31634,10958,16547.0,-,-,-,-,27628,5959,Upgrade
6,Other Current Assets,534737,534737,472323,111783,120902,108377,163754,140350,130792,98967,126080,130083,68177,78571.0,-,-,-,-,48308,48131,Upgrade
7,Total Current Assets,5543121,5543121,6046234,5666297,5439906,4734663,4869925,5261847,4034115,3069194,3578447,4495602,3440793,3902501.0,-,-,-,-,3525195,2907739,Upgrade
8,"Property, Plant & Equipment",8455315,8455315,8943877,9257063,9543815,10159831,10308956,10629450,11048725,12129021,12272945,12625201,13302639,13739180.0,-,-,-,-,16062913,16711969,Upgrade
9,Other Intangible Assets,55644,55644,56221,56633,57060,56714,57175,57678,58374,58966,59787,60610,-,35383.0,-,-,-,-,39020,39827,Upgrade
10,Long-Term Investments,1224939,1224939,1224939,1224939,1224939,1224939,1224939,1224939,1224939,1224939,1224939,1224939,1224939,1224939.0,-,-,-,-,1224939,1224939,Upgrade
11,Other Long-Term Assets,278835,278835,256950,238916,243806,266228,271171,290096,304654,301955,379236,419507,696672,586580.0,-,-,-,-,1078566,1052754,Upgrade
12,Total Assets,15557853,15557853,16528221,16443848,16509526,16442375,16732166,17464010,16670806,16784074,17515353,18825859,18665043,19488582.0,-,-,-,-,21930632,21937228,Upgrade
13,Accounts Payable,2744950,2744950,2356583,2773726,2826946,2195601,2002166,2160351,1575817,1412085,1639454,2260516,2347593,2386759.0,-,-,-,-,2134048,2379816,Upgrade
14,Accrued Expenses,215232,215232,230307,119523,249349,414577,448395,256210,175463,445500,495564,384332,198504,187967.0,-,-,-,-,777236,823417,Upgrade
15,Short-Term Debt,2959784,2959784,3176228,3105057,3041154,3266724,2881799,3696960,3342357,2815199,2837221,3692871,3038846,3172006.0,-,-,-,-,3645239,2477493,Upgrade
16,Current Income Taxes Payable,38802,38802,92076,54381,71237,70649,85820,74330,84599,53670,66811,39363,70072,104224.0,-,-,-,-,150359,74204,Upgrade
17,Other Current Liabilities,37710,37710,719384,332864,155987,238775,600885,20769,165800,324846,470068,50360,232648,472198.0,-,-,-,-,25908,329115,Upgrade
18,Total Current Liabilities,5996479,5996479,6574579,6385551,6344673,6186326,6019065,6208619,5344035,5051301,5509117,6427443,5887663,6323154.0,-,-,-,-,6732791,6084045,Upgrade
19,Long-Term Debt,622029,622029,1202185,1259703,1621352,1722925,2145867,2437511,2896328,3287119,3745796,3842270,4900950,5395428.0,-,-,-,-,7212307,7990487,Upgrade
20,Long-Term Deferred Tax Liabilities,1443,1443,-,-,-,-,-,-,-,-,-,-,14480,10802.0,-,-,-,-,190917,191863,Upgrade
21,Other Long-Term Liabilities,412714,412714,428650,421382,412498,413391,402374,405519,402409,407179,397816,391036,389839,418247.0,-,-,-,-,417327,400235,Upgrade
22,Total Liabilities,7032664,7032664,8205414,8066636,8378523,8322642,8567306,9051650,8642772,8745600,9652728,10660749,11192932,12147631.0,-,-,-,-,14553342,14666630,Upgrade
23,Common Stock,6827675,6827675,6827675,6827675,6827675,6827675,6827675,6827675,6827675,6827675,6827675,6827675,6800000,6800000.0,-,-,-,-,6800000,6800000,Upgrade
24,Additional Paid-In Capital,-,-,-,-,-,-,-,-,-,-,-,-,16.64,16.64,-,-,-,-,16.64,16.64,Upgrade
25,Retained Earnings,1684581,1684581,1481395,1535736,1288057,1277898,1321629,1569180,1184085,1196732,1019619,1321139,649971,516100.0,-,-,-,-,458745,361845,Upgrade
26,Comprehensive Income & Other,-1877,-1877,-1877,-1877,-1877,-1877,-1877,-1877,-1877,-1877,-1877,-1877,-1848,-1848.0,-,-,-,-,2106,2600,Upgrade
27,Total Common Equity,8510379,8510379,8307193,8361534,8113855,8103696,8147427,8394979,8009883,8022531,7845418,8146938,7448140,7314268.0,-,-,-,7260867,7260867,7164462,Upgrade
28,Minority Interest,14810,14810,15614,15678,17147,16037,17433,17381,18151,15944,17207,18172,23971,26683.0,-,-,-,-,116423,106136,Upgrade
29,Shareholders' Equity,8525189,8525189,8322807,8377212,8131003,8119733,8164860,8412360,8028034,8038474,7862625,8165110,7472111,7340951.0,-,-,-,7377290,7377290,7270598,Upgrade
30,Total Liabilities & Equity,15557853,15557853,16528221,16443848,16509526,16442375,16732166,17464010,16670806,16784074,17515353,18825859,18665043,19488582.0,-,-,-,-,21930632,21937228,Upgrade
31,Total Debt,3581813,3581813,4378413,4364760,4662506,4989649,5027666,6134471,6238685,6102318,6583017,7535142,7939796,8567434.0,-,-,-,10857546,10857546,10467980,Upgrade
32,Net Cash (Debt),-2634551,-2634551,-3660998,-3334791,-3940592,-4385152,-4242290,-5528821,-5555385,-5889366,-6449052,-7303918,-7820383,-8337425.0,-,-,-,-10542402,-10542402,-10161119,Upgrade
33,Net Cash Per Share,-3856.80,-3861.05,-5359.95,-4879.73,-5787.75,-6423.18,-6224.70,-8091.45,-8345.84,-8612.85,-9500.84,-10740.41,-11475.06,-12273.88,-,-,-,-15518.13,-15503.53,-16178.47,Upgrade
34,Filing Date Shares Outstanding,682.77,682.77,682.77,682.77,682.77,682.77,682.77,682.77,682.77,682.77,682.77,682.77,680,680.0,678.95,679.66,679.73,679.36,680,628.06,Upgrade
35,Total Common Shares Outstanding,682.77,682.77,682.77,682.77,682.77,682.77,682.77,682.77,682.77,682.77,682.77,682.77,680,680.0,678.95,679.66,679.73,679.36,680,628.06,Upgrade
36,Working Capital,-453358,-453358,-528345,-719254,-904767,-1451663,-1149141,-946773,-1309920,-1982107,-1930670,-1931841,-2446870,-2420652.0,-,-,-,-,-3207596,-3176306,Upgrade
37,Book Value Per Share,12464.53,12464.53,12166.94,12246.53,11883.78,11868.90,11932.95,12295.52,11731.50,11750.02,11490.61,11932.23,10953.15,10756.28,-,-,-,10677.75,10677.75,11407.21,Upgrade
38,Tangible Book Value,8454735,8454735,8250972,8304901,8056795,8046982,8090252,8337301,7951510,7963565,7785631,8086327,7448140,7278885.0,-,-,-,7221847,7221847,7124635,Upgrade
39,Tangible Book Value Per Share,12383.04,12383.04,12084.60,12163.59,11800.20,11785.83,11849.20,12211.04,11646.00,11663.66,11403.05,11843.46,10953.15,10704.24,-,-,-,10620.36,10620.36,11343.80,Upgrade
40,Construction In Progress,171058,171058,97281,127944,115902,305263,144264,169855,264816,333221,148986,154448,-,148642.0,-,-,-,-,106515,176988,Upgrade
