,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+8 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+8 Quarters
0,Market Capitalization,8807700,9422191,9080807,9490468,7783549,7510442,7237335,7988379,6144907,6281461,7510442,8671147,10309789,8976000,8024000,8024000,-,-,-,-,-,Upgrade
1,Market Cap Growth,25.45%,25.45%,25.47%,18.80%,26.67%,19.57%,-3.64%,-7.87%,-40.40%,-30.02%,-6.40%,8.07%,-,-,-,-,-,-,-,-,-,Upgrade
2,Enterprise Value,11457062,13098804,12757420,12840937,11741288,11911632,11497058,13534582,12050217,12186771,13976701,15993238,18154143,17340109,16823733,16823733,-,-,-,-,-,Upgrade
3,PE Ratio,12.72,12.00,13.05,17.20,16.93,14.31,-,12.68,10.32,-,9.05,9.57,10.55,13.42,10.99,12.43,-,-,-,-,-,Upgrade
4,PS Ratio,0.69,0.70,0.68,0.74,0.64,0.63,0.67,0.76,0.59,0.59,0.68,0.70,0.82,0.74,0.64,0.66,-,-,-,-,-,Upgrade
5,PB Ratio,1.03,1.11,1.07,1.14,0.93,0.92,0.89,0.98,0.73,0.78,0.93,1.10,1.26,1.20,1.09,-,-,-,-,-,-,Upgrade
6,P/FCF Ratio,6.01,6.42,8.11,-,3.79,4.48,7.08,5.13,5.18,-,2.89,4.34,11.01,4.81,-,-,-,-,-,-,-,Upgrade
7,P/OCF Ratio,4.81,4.81,5.62,-,3.51,4.17,6.66,5.06,4.91,-,2.47,3.55,7.27,4.04,-,-,-,-,-,-,-,Upgrade
8,EV/Sales Ratio,0.89,0.98,0.96,1.00,0.97,1.01,1.07,1.29,1.16,1.14,1.27,1.29,1.45,1.44,1.35,1.38,-,-,-,-,-,Upgrade
9,EV/EBITDA Ratio,5.32,5.73,5.39,5.61,5.21,5.02,4.72,4.94,4.29,4.17,4.87,5.24,5.96,6.16,5.73,5.77,-,-,-,-,-,Upgrade
10,EV/EBIT Ratio,13.56,13.41,14.42,15.70,15.45,13.83,21.86,16.95,14.33,-,10.94,12.29,14.15,17.80,14.41,13.58,-,-,-,-,-,Upgrade
11,EV/FCF Ratio,7.81,8.93,11.40,-,5.72,7.10,11.24,8.70,10.15,-,5.37,8.01,19.39,9.30,-,-,-,-,-,-,-,Upgrade
12,Debt / Equity Ratio,0.42,0.42,0.42,0.53,0.52,0.57,0.61,0.62,0.73,0.78,0.76,0.84,0.92,1.06,1.17,-,-,-,1.47,1.47,1.44,Upgrade
13,Debt / EBITDA Ratio,1.66,1.55,2.01,1.68,1.79,1.77,3.38,2.05,2.10,2.16,2.28,2.40,2.24,2.96,2.51,-,-,-,3.24,2.51,4.24,Upgrade
14,Debt / FCF Ratio,2.44,2.44,3.20,-,2.13,2.78,4.88,3.23,5.17,-,2.35,3.30,8.05,4.26,-,-,-,-,5.83,-,4.81,Upgrade
15,Quick Ratio,0.77,0.77,0.77,0.79,0.81,0.79,0.69,0.73,0.77,0.67,0.52,0.56,0.63,0.52,0.56,-,-,-,-,0.48,0.43,Upgrade
16,Current Ratio,0.92,0.92,0.92,0.92,0.89,0.86,0.77,0.81,0.85,0.75,0.61,0.65,0.70,0.58,0.62,-,-,-,-,0.52,0.48,Upgrade
17,Asset Turnover,0.91,0.74,0.90,0.77,0.84,0.60,0.70,-,0.58,0.51,0.63,-,0.58,-,-,-,-,-,0.64,0.44,Upgrade,
18,Return on Equity (ROE),8.96%,4.73%,12.72%,10.93%,5.15%,-2.25%,8.40%,-,-0.52%,8.85%,6.90%,-,7.00%,-,-,-,-,11.32%,5.85%,-0.50%,Upgrade,
19,Return on Assets (ROA),3.77%,1.60%,5.16%,4.55%,2.16%,0.54%,4.13%,-,-2.88%,4.49%,4.46%,-,2.12%,-,-,-,-,-,4.79%,1.53%,Upgrade,
20,Return on Capital (ROIC),4.84%,2.07%,6.68%,5.87%,2.75%,0.68%,5.09%,-,-3.39%,5.39%,5.38%,-,2.59%,-,-,-,-,5.54%,5.84%,1.89%,Upgrade,
21,Return on Capital Employed (ROCE),8.84%,10.22%,9.25%,8.22%,7.56%,8.47%,5.13%,7.45%,7.47%,-,10.89%,10.84%,10.35%,7.62%,8.87%,-,-,-,-,9.92%,11.76%,Upgrade
22,Earnings Yield,7.86%,8.33%,7.66%,5.81%,5.91%,6.99%,5.64%,7.89%,9.69%,10.91%,11.05%,10.45%,9.48%,7.45%,9.10%,8.05%,-,-,-,-,-,Upgrade
23,Earnings Yield,7.86%,8.33%,7.66%,5.81%,5.91%,6.99%,5.64%,7.89%,9.69%,10.91%,11.05%,10.45%,9.48%,7.45%,9.10%,8.05%,-,-,-,-,-,Upgrade
24,FCF Yield,16.65%,15.57%,12.32%,4.85%,26.36%,22.34%,14.13%,19.48%,19.32%,25.35%,34.63%,23.04%,9.08%,20.77%,-,23.50%,-,-,-,-,-,Upgrade
25,Payout Ratio,39.40%,70.57%,135.98%,0.35%,0.02%,0.46%,-,0.03%,0.01%,-,62.74%,0.94%,0.00%,178.09%,-,0.01%,413.18%,0.25%,0.29%,2906.98%,1943.90%,Upgrade
26,Buyback Yield / Dilution,0.05%,-0.33%,0.05%,-0.22%,-0.02%,-2.28%,0.16%,-0.40%,-0.48%,2.33%,-0.66%,0.02%,-0.06%,-0.26%,0.01%,0.15%,-8.21%,0.01%,0.14%,-,7.52%,Upgrade
27,Total Shareholder Return,3.15%,-0.33%,0.05%,-0.22%,-0.02%,-2.28%,0.16%,-0.40%,-0.48%,2.33%,-0.66%,0.02%,-0.06%,-0.26%,0.01%,0.15%,-8.21%,0.01%,0.14%,-,7.52%,Upgrade
