,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Aug '24 Aug 31, 2024","Feb '24 Feb 29, 2024","Aug '23 Aug 31, 2023","Feb '23 Feb 28, 2023","Aug '22 Aug 31, 2022","Feb '22 Feb 28, 2022","Aug '21 Aug 31, 2021","Feb '21 Feb 28, 2021","Aug '20 Aug 31, 2020","Feb '20 Feb 29, 2020"
0,Cash & Equivalents,2090,1358,2371,2532,4241,2998,1656,1780,2175,1578
1,Short-Term Investments,2.34,2.13,2.13,2.19,2.19,2.19,3.33,3.7,3.45,9.72
2,Trading Asset Securities,-,-,-,400,-,-,-,-,50,-
3,Cash & Short-Term Investments,2093,1360,2373,2934,4243,3000,1659,1784,2229,1587
4,Cash Growth,-11.81%,-53.65%,-44.07%,-2.21%,155.72%,68.17%,-25.55%,12.40%,-10.04%,-44.50%
5,Accounts Receivable,5.7,5.56,7.92,10.74,10.9,9.85,9.81,15.51,11.97,9.99
6,Other Receivables,53.52,50.09,153.03,55.36,55.33,78.83,79.75,59.98,25.87,7.25
7,Receivables,59.21,55.65,160.95,66.1,66.23,88.68,89.56,75.48,37.84,17.24
8,Prepaid Expenses,2.53,6.41,6.81,12.08,3.79,9.8,5.21,6.24,8.44,14.93
9,Restricted Cash,0.68,0.54,0.55,0.53,11.58,200,150.52,145.72,154.37,290.09
10,Other Current Assets,2.61,4.91,4.86,2.92,4.06,2.64,6.63,9.01,7.48,9.87
11,Total Current Assets,2158,1427,2546,3016,4329,3302,1911,2021,2437,1919
12,"Property, Plant & Equipment",8918,9091,7710,6094,5598,5567,5443,5759,5720,5505
13,Goodwill,903.92,1085,1085,1085,1085,1085,1085,1085,1085,1085
14,Other Intangible Assets,547.89,556.74,524.58,498.18,446.92,451.39,453.73,459.32,466.32,472.74
15,Other Long-Term Assets,11.63,19.4,120.52,17.41,34.28,12.56,17.71,110.42,11.11,73.55
16,Total Assets,12540,12179,11986,10710,11493,10418,8910,9434,9719,9056
17,Accounts Payable,12.44,12.08,11.72,-,11,-,10.29,-,9.57,-
18,Accrued Expenses,95.52,115.36,153.9,168.25,153.35,124.06,148.41,156.61,184.41,164.72
19,Short-Term Debt,-,-,-,-,-,-,-,-,-,0.69
20,Current Portion of Long-Term Debt,1847,1921,1237,210.1,2007,1833,210.37,160.46,509.09,268.59
21,Current Portion of Leases,7.36,6.25,9.43,9.14,4.73,4.68,4.89,4.94,5.83,10.85
22,Current Income Taxes Payable,26.69,33.67,27.67,28.54,27.81,21.92,23.97,22.2,16.9,19.78
23,Current Unearned Revenue,1013,1219,729.59,1157,1471,1131,904.45,1232,924.51,1182
24,Other Current Liabilities,1059,887.21,1130,902.27,885.44,904.09,904.16,419.68,405.29,597.04
25,Total Current Liabilities,4062,4195,3300,2476,4561,4019,2207,1996,2056,2243
26,Long-Term Debt,286.99,146.66,1031,1139,430,480,2308,2690,2934,2061
27,Long-Term Leases,16.05,5.01,8.1,8.73,12.56,12.53,16.49,27.98,31.1,33.6
28,Long-Term Unearned Revenue,164.91,166.84,168.77,170.7,172.63,174.56,94.98,96.1,97.74,2.1
29,Long-Term Deferred Tax Liabilities,475.87,480.55,485.16,488.81,493.52,498.68,502.17,506.08,510.84,516.64
30,Total Liabilities,5006,4994,4993,4283,5670,5185,5128,5316,5630,4857
31,Common Stock,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
32,Additional Paid-In Capital,1762,1762,1762,1742,1742,1742,966.09,1337,1546,1792
33,Retained Earnings,5593,4155,5195,4647,3903,3320,2778,2802,1956,1769
34,Treasury Stock,-,-,-,-,-,-,-134.72,-134.72,-134.72,-134.72
35,Comprehensive Income & Other,132.8,1227,-3.51,0.77,143.54,140.69,148.18,91.59,263.1,221.97
36,Total Common Equity,7489,7144,6954,6389,5789,5202,3757,4096,3630,3649
37,Minority Interest,45.08,41.98,39.9,37.46,34.52,30.76,25.27,21.99,459.19,550.27
38,Shareholders' Equity,7534,7186,6994,6427,5823,5233,3783,4118,4089,4199
39,Total Liabilities & Equity,12540,12179,11986,10710,11493,10418,8910,9434,9719,9056
40,Total Debt,2158,2079,2286,1367,2455,2331,2539,2883,3481,2375
41,Net Cash (Debt),-64.93,-719.36,87.55,1567,1788,669.96,-880.08,-1099,-1252,-787.59
42,Net Cash Growth,-,-,-95.10%,133.87%,-,-,-,-,-,-
43,Net Cash Per Share,-0.02,-0.17,0.02,0.40,0.44,0.18,-0.23,-0.29,-,-0.23
44,Filing Date Shares Outstanding,3607,3607,3607,3594,3594,3594,3332,3332,3316,3316
45,Total Common Shares Outstanding,3607,3607,3607,3594,3594,3594,3332,3332,3316,3316
46,Working Capital,-1904,-2767,-753.39,540.03,-232.41,-717.15,-295.39,24.96,381.18,-323.92
47,Book Value Per Share,2.08,1.98,1.93,1.78,1.61,1.45,1.13,1.23,1.09,1.10
48,Tangible Book Value,6037,5502,5344,4806,4257,3666,2219,2552,2079,2091
49,Tangible Book Value Per Share,1.67,1.53,1.48,1.34,1.18,1.02,0.67,0.77,0.63,0.63
50,Buildings,6048,-,4162,-,-,-,3890,-,3899,-
51,Machinery,906.13,-,582.2,-,4379,-,374.61,-,419.8,-
52,Construction In Progress,204.35,-,945.31,-,25.98,-,14,-,116.85,-
53,Leasehold Improvements,-,-,-,-,123.02,-,31.88,-,39.38,-
