,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Nov '24 Nov 27, 2024","Aug '24 Aug 31, 2024","Feb '24 Feb 29, 2024","Aug '23 Aug 31, 2023","Feb '23 Feb 28, 2023","Aug '22 Aug 31, 2022","Feb '22 Feb 28, 2022","Aug '21 Aug 31, 2021","Feb '21 Feb 28, 2021","Aug '20 Aug 31, 2020","Feb '20 Feb 29, 2020"
0,Market Capitalization,1353,1497,2056,2994,4709,4457,7213,13826,21389,24639,19996
1,Market Cap Growth,-50.00%,-50.00%,-56.34%,-32.84%,-34.72%,-67.76%,-66.28%,-43.88%,6.97%,74.48%,95.89%
2,Enterprise Value,1474,2326,2004,1263,2711,3666,8303,15170,23326,26131,20932
3,Last Close Price,0.38,0.41,0.57,0.83,1.31,1.24,2.02,4.15,6.32,7.22,5.79
4,PE Ratio,3.10,3.41,2.55,2.44,3.56,3.48,11.25,-,21.02,-,104.39
5,Forward PE,1.45,2.79,2.12,2.76,3.35,3.42,4.14,7.80,13.62,20.46,17.41
6,PS Ratio,0.49,0.55,0.77,1.16,1.76,1.64,2.52,5.09,15.54,-,8.25
7,PB Ratio,0.16,0.18,0.26,0.40,0.65,0.67,1.11,3.04,4.33,5.32,4.27
8,P/TBV Ratio,0.23,0.23,0.34,0.52,0.87,0.92,1.59,5.18,6.99,10.47,8.58
9,P/FCF Ratio,-,-11.03,-,-,-,2.09,3.58,6.51,18.27,-,15.99
10,P/OCF Ratio,0.81,0.81,1.59,6.61,2.74,1.79,3.13,5.74,15.82,-,12.52
11,PEG Ratio,0.47,0.47,0.47,0.47,1.62,0.06,0.07,0.07,0.14,1.89,1.39
12,EV/Sales Ratio,0.54,0.85,0.75,0.49,1.01,1.35,2.90,5.58,16.95,-,8.64
13,EV/EBITDA Ratio,1.01,1.77,1.52,0.94,1.99,2.47,4.01,6.50,21.26,-,24.18
14,EV/EBIT Ratio,2.03,3.36,2.30,1.19,2.40,2.83,4.51,7.15,23.55,-,31.25
15,EV/FCF Ratio,-10.86,-17.15,-,-,-,1.72,4.12,7.14,19.92,-,16.73
16,Debt / Equity Ratio,0.29,0.29,0.29,0.33,0.21,0.42,0.45,0.67,0.70,0.85,0.57
17,Debt / FCF Ratio,-,-17.50,-,-,-,1.31,1.43,1.44,2.95,-,2.12
18,Return on Capital Employed (ROCE),7.41%,7.41%,10.03%,11.28%,12.13%,16.38%,23.26%,26.28%,11.11%,-,8.82%
19,Earnings Yield,32.43%,29.30%,39.26%,40.96%,28.13%,28.77%,8.89%,7.18%,4.76%,-,0.96%
20,FCF Yield,-10.03%,-9.06%,-118.84%,-66.28%,17.45%,47.79%,27.94%,15.36%,5.47%,-,6.26%
21,Dividend Yield,0.00%,-,-,-,-,-,-,-,1.95%,-,2.77%
22,Buyback Yield / Dilution,-7.26%,-7.26%,-7.26%,2.96%,-3.73%,-7.24%,-0.62%,-,-10.67%,-,-3.02%
23,Total Shareholder Return,-7.26%,-7.26%,-7.26%,2.96%,-3.73%,-7.24%,-0.62%,-,-8.72%,-,-0.25%
