,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,940.15,952.56,1136,1282,1283,1226,1416,1506,1771,284.91,-,310.34,320.59,-,-
1,Short-Term Investments,-,107.51,53.52,53.08,52.64,60.93,40.14,-,40.07,-,40.08,-,40.17,22.39,-,-
2,Trading Asset Securities,-,333.3,313.14,241.56,148.75,170.35,231.21,170.61,170.71,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,1381,1381,1319,1430,1484,1514,1497,1587,1717,1771,324.99,350.51,350.51,342.98,-,309.19
4,Cash Growth,-6.92%,-8.80%,-11.90%,-9.87%,-13.57%,-14.49%,360.74%,352.74%,389.76%,416.31%,-,13.37%,-,-,-,-
5,Accounts Receivable,-,90.9,111.39,126.66,96.35,82.53,90.46,80,76.81,54.43,93.52,-,41.75,54.01,-,-
6,Other Receivables,-,8.76,8.44,8.42,8.26,9.08,-,7.85,8.04,8.36,-,-,-,-,-,-
7,Receivables,-,99.66,127.77,135.08,104.6,91.61,90.46,87.85,84.85,62.79,93.52,-,41.75,54.01,-,-
8,Inventory,-,62.08,56.88,53.71,49.21,48.02,50.24,47.77,44.01,46.4,46.78,-,33.72,32.48,-,-
9,Prepaid Expenses,-,-,-,-,6.65,-,-,-,10.55,-,-,-,-,-,-,-
10,Other Current Assets,-,32.73,24.67,22.36,15.27,25.82,24.12,60.3,12.66,68.41,22.4,-,15.2,14.31,-,-
11,Total Current Assets,-,1575,1529,1641,1659,1680,1662,1783,1869,1948,487.69,-,441.18,443.78,-,-
12,"Property, Plant & Equipment",-,349.24,324.62,300.88,296.92,293.03,265.48,270.01,264.04,149.4,142.62,-,142.83,141.59,-,-
13,Long-Term Investments,-,62.21,271.59,43.23,239.73,43.27,278.21,11.96,143.73,11.75,68.43,-,68.09,80.09,-,-
14,Other Intangible Assets,-,38.31,38.4,38.63,39.21,39.48,39.27,39.8,40.33,40.87,41.4,-,42.46,-,-,-
15,Long-Term Deferred Tax Assets,-,3.17,3.17,2.08,2.08,1.42,1.37,0.95,0.84,0.58,0.56,-,0.13,0.14,-,-
16,Long-Term Deferred Charges,-,56.41,56.51,56.29,60.3,17.92,19.28,20.2,21.52,22.57,23.72,-,25.38,23.8,-,-
17,Other Long-Term Assets,-,173.64,47.73,220.82,4.43,231.74,20.27,226.34,8.53,165.52,37.95,-,27,19.88,-,-
18,Total Assets,-,2258,2271,2303,2302,2306,2286,2352,2348,2339,802.36,-,747.08,709.27,-,-
19,Accounts Payable,-,42.76,13.76,41.07,37.46,26.04,26.82,23.92,21.31,21.12,16.81,-,13.75,17.5,-,-
20,Accrued Expenses,-,9.71,12.4,8.04,18.08,6.16,9.24,4.83,19.91,8.8,11.17,-,15.66,10.55,-,-
21,Short-Term Debt,-,-,-,-,-,-,5,20.02,20.02,30.03,35.04,-,40.04,25.03,-,-
22,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,9.9,4.31,10.43,1.41,-,2.13,2.13,-,-
23,Current Portion of Leases,-,11.46,13.02,11.59,8.6,8.2,5.09,-,6.45,-,10.21,-,5.27,4.67,-,-
24,Current Income Taxes Payable,-,6.81,-,4.81,0.62,1.36,0.45,2.77,-,5.4,3.37,-,1.63,4.66,-,-
25,Current Unearned Revenue,-,9.94,5.03,7.89,4.28,3.98,4.03,5.02,16.04,17.1,24.03,-,16.62,18.25,-,-
26,Other Current Liabilities,-,8.24,29.08,6.33,1.6,28.9,1.86,4.14,1.21,7.14,5.43,-,0.72,3.79,-,-
27,Total Current Liabilities,-,88.91,73.28,79.73,70.65,74.63,52.5,70.6,89.26,100.02,107.47,-,95.82,86.58,-,-
28,Long-Term Debt,-,-,-,-,-,-,-,10.86,10.86,13.01,8.41,-,17.77,14.95,-,-
29,Long-Term Leases,-,55.9,58.32,58.46,60.79,63.14,46.61,49.06,50.15,52.06,53.46,-,56.51,57.64,-,-
30,Long-Term Unearned Revenue,-,11.67,11.84,11.99,12.18,10.79,11.15,11.76,12.54,12.37,13.08,-,14.53,3.94,-,-
31,Long-Term Deferred Tax Liabilities,-,1.55,1.55,0.59,0.59,1,0.87,0.28,0.26,-,-,-,-,-,-,-
32,Total Liabilities,-,158.04,144.99,150.76,144.21,149.55,111.12,142.56,163.07,177.47,182.42,-,184.62,163.11,-,-
33,Common Stock,-,114.77,114.77,114.77,114.77,114.77,114.77,81.98,81.98,81.98,61.49,-,61.49,61.49,-,-
34,Additional Paid-In Capital,-,1903,1901,1900,1899,1927,1926,1925,1925,1924,432.47,-,428.34,426.28,-,-
35,Retained Earnings,-,134.76,156.68,178.32,158.74,115.1,133.9,202.19,178,155.72,125.98,-,72.63,58.4,-,-
36,Treasury Stock,-,-51,-46.61,-40,-13.75,-,-,-,-,-,-,-,-,-,-,-
37,Comprehensive Income & Other,-,0.09,0.21,0.21,0.19,0.26,0.3,0.08,0.12,0.17,-,-,-,-,-,-
38,Total Common Equity,2102,2102,2127,2153,2159,2157,2175,2210,2185,2162,619.94,562.45,562.45,546.17,-,493.99
39,Minority Interest,-,-1.25,-0.98,-0.83,-0.78,-0.42,-0.27,-0.13,-,-,-,-,-,-,-,-
40,Shareholders' Equity,2100,2100,2126,2153,2158,2157,2175,2210,2185,2162,619.94,562.45,562.45,546.17,-,493.99
41,Total Liabilities & Equity,-,2258,2271,2303,2302,2306,2286,2352,2348,2339,802.36,-,747.08,709.27,-,-
42,Total Debt,67.37,67.37,71.34,70.05,69.39,71.33,56.7,89.84,91.8,105.53,108.53,121.72,121.72,104.42,-,33.95
43,Net Cash (Debt),1314,1314,1248,1360,1414,1443,1441,1497,1625,1665,216.46,228.79,228.79,238.56,-,275.24
44,Net Cash Growth,-7.12%,-8.96%,-13.38%,-9.14%,-12.96%,-13.36%,565.54%,554.34%,610.20%,598.06%,-,-16.88%,-,-,-,-
45,Net Cash Per Share,12.59,11.88,10.88,11.81,11.89,12.96,12.59,13.00,11.88,17.22,2.53,2.65,2.64,2.76,-,3.20
46,Filing Date Shares Outstanding,104.34,110.55,113.72,114.77,113.91,114.77,114.77,114.77,114.77,114.77,86.08,86.27,86.08,86.08,86.08,86.08
47,Total Common Shares Outstanding,104.34,110.55,113.72,114.77,114.53,114.77,114.77,114.77,114.77,114.77,86.08,86.27,86.08,86.08,86.08,86.08
48,Working Capital,-,1487,1455,1562,1589,1605,1610,1712,1780,1848,380.22,-,345.36,357.2,-,-
49,Book Value Per Share,19.01,19.01,18.70,18.76,18.85,18.80,18.95,19.25,19.03,18.83,7.20,6.53,6.53,6.34,-,5.74
50,Tangible Book Value,2063,2063,2088,2115,2119,2118,2136,2170,2144,2121,578.54,519.99,519.99,546.17,-,493.99
51,Tangible Book Value Per Share,18.66,18.66,18.36,18.43,18.51,18.45,18.61,18.91,18.68,18.48,6.72,6.04,6.04,6.34,-,5.74
52,Buildings,-,-,63.8,-,63.8,-,63.8,-,63.8,-,27.17,-,27.17,27.17,-,-
53,Machinery,-,-,226.92,-,200.88,-,132.99,-,128.56,-,119.77,-,112.33,102.97,-,-
54,Construction In Progress,-,-,97.59,-,78.1,-,117.38,-,103.47,-,7.58,-,1.31,2.27,-,-
