,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,4386,4148,3832,3562,4442,6332,5667,5471,9034,8460,10093,-,-,-,-,-,-
1,Market Cap Growth,-34.49%,-34.49%,-32.38%,-34.89%,-50.83%,-25.16%,-43.85%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3071,2834,2583,2201,2998,4889,4227,3974,7409,6795,9877,-,-,-,-,-,-
3,Last Close Price,38.99,36.48,33.70,31.01,38.15,54.39,48.47,46.79,76.70,71.83,85.69,-,-,-,-,-,-
4,PE Ratio,205.21,-,100.61,88.41,89.87,117.18,86.58,60.86,86.62,80.29,103.72,-,-,-,-,-,-
5,Forward PE,47.55,40.23,30.92,32.74,41.32,64.15,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,14.59,13.96,13.34,13.42,17.42,26.04,23.33,20.35,31.19,28.74,35.46,-,-,-,-,-,-
7,PB Ratio,2.05,1.98,1.82,1.68,2.06,2.93,2.63,2.52,4.09,3.87,4.67,-,-,-,-,-,-
8,P/TBV Ratio,2.01,2.01,1.86,1.71,2.10,2.99,2.68,2.56,4.16,3.95,4.76,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-133.95,-,-,-,-,-,-,-,-4915.92,-,-,-,-,-,-
10,P/OCF Ratio,-,-,46.33,57.34,75.14,109.26,108.19,52.90,79.41,75.80,75.14,-,-,-,-,-,-
11,EV/Sales Ratio,10.33,9.53,8.99,8.29,11.76,20.11,17.40,14.78,25.58,23.08,34.70,-,-,-,-,-,-
12,EV/EBITDA Ratio,47.53,42.69,57.94,58.06,68.40,104.04,87.36,51.73,72.34,61.55,84.49,-,-,-,-,-,-
13,EV/EBIT Ratio,83.77,77.28,173.76,-,177.03,232.68,-,74.78,93.02,76.35,102.55,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-90.30,-,-,-,-,-,-,-,-4810.49,-,-,-,-,-,-
15,Debt / Equity Ratio,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.05,0.18,0.22,0.22,0.19,-,0.07
16,Debt / EBITDA Ratio,1.04,0.56,1.63,2.25,0.77,1.00,4.88,1.07,0.87,1.18,0.82,0.69,0.90,1.18,0.81,-,0.56
17,Debt / FCF Ratio,-,-,-2.35,-,-,-,-,-,-,-,-51.40,-20.54,-,-,2.85,-,7.67
18,Asset Turnover,-,0.13,0.11,0.14,0.12,0.09,0.09,0.12,0.12,0.19,-,-,0.34,-,-,-,
19,Inventory Turnover,-,-,2.32,2.18,2.11,2.54,1.96,1.89,2.05,2.93,2.15,-,-,3.66,-,-,-
20,Quick Ratio,-,-,16.65,19.64,19.63,22.48,21.52,30.24,23.72,20.18,18.33,3.89,-,4.09,4.59,-,-
21,Current Ratio,-,-,17.72,20.86,20.59,23.49,22.51,31.66,25.25,20.94,19.48,4.54,-,4.60,5.13,-,-
22,Return on Equity (ROE),-1.05%,0.54%,0.82%,3.60%,1.95%,0.95%,2.47%,4.38%,4.10%,8.55%,19.00%,17.97%,10.26%,-,-,-,
23,Return on Assets (ROA),-,0.37%,-0.62%,1.70%,0.16%,-0.26%,0.24%,2.10%,0.41%,4.36%,-,-,3.82%,-,-,-,
24,Return on Capital (ROIC),2.69%,0.38%,-0.64%,1.76%,0.17%,-0.27%,0.24%,2.15%,0.42%,4.58%,10.16%,10.62%,4.17%,-,-,-,
25,Return on Capital Employed (ROCE),-,-,0.69%,-,0.76%,0.94%,-,2.38%,3.49%,3.94%,4.30%,13.88%,-,8.54%,7.14%,-,-
26,Earnings Yield,0.48%,0.51%,0.99%,1.13%,1.11%,0.85%,1.16%,1.64%,1.15%,1.25%,0.96%,-,-,-,-,-,-
27,FCF Yield,-,-0.75%,-1.29%,-0.71%,-0.31%,-1.37%,-0.72%,-0.31%,-0.42%,-0.02%,-,-,-,-,-,-,
28,Dividend Yield,1.18%,-,-,1.45%,-,0.81%,-,1.36%,-,0.60%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,798.06%,566.93%,-,217.77%,0.46%,364.14%,1.24%,1.72%,1.46%,2.07%,2.69%,3.72%,1.73%,4.25%,4.25%
30,Buyback Yield / Dilution,3.29%,12.31%,0.68%,-0.27%,0.02%,13.04%,-15.09%,-33.88%,-33.53%,-58.09%,-11.93%,0.72%,-0.22%,-,-,-,-
31,Total Shareholder Return,4.47%,12.31%,0.68%,1.19%,0.02%,13.85%,-15.09%,-32.52%,-33.53%,-57.50%,-11.93%,0.72%,-0.22%,-,-,-,-
