,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,81.39,72.48,63.67,79.71,71,50.44,53.33,67.92,71.16,76.4,74.05,72.67,61.51,68.79,41.19,41.19
1,Other Revenue,-,-0.23,0.23,-,0.43,-,-,-,0.1,-0,0,-,-,-,-,-
2,Revenue,81.39,72.25,63.9,79.71,71.43,50.44,53.33,67.92,71.26,76.39,74.05,72.67,61.51,68.79,41.19,41.19
3,Revenue Growth (YoY),13.93%,43.23%,19.82%,17.36%,0.25%,-33.97%,-27.98%,-6.53%,15.85%,11.06%,79.76%,76.39%,-,-,-,-
4,Cost of Revenue,-91.85,34.55,30.2,27.09,30.84,24.04,23.18,23.47,33.08,25.07,23.27,25.83,30.31,22.09,16.8,16.8
5,Gross Profit,173.23,37.69,33.7,52.61,40.59,26.41,30.15,44.45,38.18,51.33,50.78,46.83,31.2,46.69,24.4,24.4
6,"Selling, General & Admin",-80.46,24.66,29.12,26.67,27.79,16.75,14.77,15.15,19.13,14.94,13.75,12.17,13.14,15.18,11.32,11.32
7,Research & Development,-23.99,9.06,7.19,7.74,9.15,12.6,10.43,9.73,7.84,11.06,7.92,5.37,4.33,5.01,4.84,4.84
8,Other Operating Expenses,259.25,0.38,0.36,0.59,-0.72,-0.3,-0.43,-0.76,5.52,-3.46,-0.46,-0.44,2.67,-0.35,-0.77,-0.77
9,Operating Expenses,149.92,34.35,39.34,36.98,39.07,28.82,27.95,24.74,34.35,23.91,22.08,17.78,20.06,19.11,15.96,15.96
10,Operating Income,23.32,3.35,-5.63,15.63,1.52,-2.41,2.2,19.71,3.83,27.41,28.7,29.06,11.14,27.58,8.44,8.44
11,Interest Expense,-24.89,-0.79,-0.82,-0.76,-0.81,-0.7,-0.75,-0.97,-1.1,-1.11,-1.34,-1.44,-1.3,-1.24,-1.12,-1.12
12,Interest & Investment Income,2.37,7.77,10.68,6.45,12.74,8.37,5.71,9.48,8.71,5.47,1.78,2.01,2.53,2.07,2.23,2.23
13,Currency Exchange Gain (Loss),-,-0.76,0.76,-,0.87,-2.37,2.37,-,2.24,-0.87,0.87,-,-0.24,0.11,-0.05,-0.05
14,Other Non Operating Income (Expenses),3.47,-3.6,-0.13,0.1,-2.03,1.9,0.57,-0.64,-5.89,3.29,2.45,0.01,-4,3.93,-0,-0
15,EBT Excluding Unusual Items,4.27,5.96,4.86,21.42,12.29,4.78,10.1,27.58,7.79,34.2,32.47,29.63,8.13,32.45,9.49,9.49
16,Gain (Loss) on Sale of Investments,-2.56,0.16,1.58,0.81,-4.79,1.09,5.33,-0.1,0.92,0.75,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.09,-,0.09,-,-0.02,-,-,-,0.21,0,0.08,-,-0.02,-,-,-
18,Asset Writedown,-0.72,0.72,-0.23,0.23,0.08,-0.08,0.08,-0.08,0.26,-0.26,0.02,-0.02,-0.01,0.01,-,-
19,Other Unusual Items,-3.64,2.34,0.67,0.64,5.4,-,-,-,13.38,-,-,-,8.61,-,-,-
20,Pretax Income,-2.73,9.19,6.96,23.1,12.96,5.8,15.51,27.4,22.57,34.69,32.56,29.62,16.71,32.46,9.49,9.49
21,Income Tax Expense,2.77,6.36,2.55,3.69,2.46,0.66,1.96,3.33,0.29,4.96,4.47,4.35,2.48,5.25,0.01,0.01
22,Earnings From Continuing Operations,-5.51,2.83,4.4,19.4,10.5,5.14,13.55,24.07,22.28,29.73,28.09,25.27,14.22,27.21,9.48,9.48
23,Minority Interest in Earnings,-0.6,0.27,0.16,0.18,0.36,0.16,0.14,0.13,-,-,-,-,-,-,-,-
24,Net Income,-6.11,3.1,4.56,19.58,10.86,5.3,13.69,24.19,22.28,29.73,28.09,25.27,14.22,27.21,9.48,9.48
25,Net Income to Common,-6.11,3.1,4.56,19.58,10.86,5.3,13.69,24.19,22.28,29.73,28.09,25.27,14.22,27.21,9.48,9.48
26,Net Income Growth,-,-41.54%,-66.71%,-19.07%,-51.27%,-82.19%,-51.24%,-4.26%,56.63%,9.28%,196.30%,166.56%,-,-,-,-
27,Shares Outstanding (Basic),104,111,115,115,119,111,114,115,137,97,85,86,87,86,86,86
28,Shares Outstanding (Diluted),104,111,115,115,119,111,114,115,137,97,85,86,87,86,86,86
29,Shares Change (YoY),-12.31%,-0.68%,0.27%,-0.02%,-13.04%,15.09%,33.88%,33.53%,58.09%,11.93%,-0.72%,0.22%,-,-,-,-
30,EPS (Basic),-0.06,0.03,0.04,0.17,0.09,0.05,0.12,0.21,0.16,0.31,0.33,0.29,0.16,0.31,0.11,0.11
31,EPS (Diluted),-0.06,0.03,0.04,0.17,0.09,0.05,0.12,0.21,0.16,0.31,0.33,0.29,0.16,0.31,0.11,0.11
32,EPS Growth,-,-41.14%,-66.79%,-19.05%,-43.97%,-84.52%,-63.58%,-28.30%,-0.93%,-2.02%,198.45%,165.97%,-,-,-,-
33,Free Cash Flow,-,10.07,-16.15,-19.29,-3.23,-7.32,-1.65,-7.4,-61.32,31.05,9.32,-14.39,-28.03,27.82,4.43,4.43
34,Free Cash Flow Per Share,-,0.09,-0.14,-0.17,-0.03,-0.07,-0.01,-0.06,-0.45,0.32,0.11,-0.17,-0.32,0.32,0.05,0.05
35,Dividend Per Share,-,-,0.220,-,0.230,-,0.210,-,0.429,-,-,-,-,-,-,-
36,Dividend Growth,-,-,4.91%,-,-46.34%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,212.85%,52.17%,52.74%,66.01%,56.82%,52.35%,56.53%,65.44%,53.58%,67.19%,68.58%,64.45%,50.73%,67.88%,59.22%,59.22%
38,Operating Margin,28.65%,4.63%,-8.82%,19.61%,2.13%,-4.78%,4.12%,29.01%,5.37%,35.89%,38.76%,39.99%,18.11%,40.10%,20.48%,20.48%
39,Profit Margin,-7.51%,4.29%,7.14%,24.56%,15.20%,10.50%,25.68%,35.62%,31.26%,38.92%,37.93%,34.77%,23.13%,39.56%,23.01%,23.01%
40,Free Cash Flow Margin,-,13.93%,-25.27%,-24.21%,-4.52%,-14.50%,-3.10%,-10.89%,-86.05%,40.64%,12.58%,-19.80%,-45.58%,40.44%,10.75%,10.75%
41,EBITDA,30.31,10.34,3.12,22.62,8.51,3.66,9.05,25.78,9.9,32.1,34.65,33.74,16.41,32.08,12.76,12.76
42,EBITDA Margin,37.24%,14.31%,4.88%,28.38%,11.91%,7.25%,16.96%,37.95%,13.89%,42.02%,46.79%,46.44%,26.68%,46.63%,30.96%,30.96%
43,D&A For EBITDA,6.99,6.99,8.75,6.99,6.99,6.07,6.85,6.07,6.07,4.69,5.95,4.69,5.27,4.49,4.32,4.32
44,EBIT,23.32,3.35,-5.63,15.63,1.52,-2.41,2.2,19.71,3.83,27.41,28.7,29.06,11.14,27.58,8.44,8.44
45,EBIT Margin,28.65%,4.63%,-8.82%,19.61%,2.13%,-4.78%,4.12%,29.01%,5.37%,35.89%,38.76%,39.99%,18.11%,40.10%,20.48%,20.48%
46,Effective Tax Rate,-,69.19%,36.73%,15.99%,18.98%,11.32%,12.64%,12.16%,1.27%,14.29%,13.73%,14.69%,14.86%,16.18%,0.13%,0.13%
47,Revenue as Reported,-,72.25,63.9,79.71,71.43,50.44,53.33,67.92,71.26,76.39,74.05,72.67,61.51,68.79,41.19,41.19
