,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,637.54,736.35,687.36,835.01,610.39,675.55,570.02,783.67,697.25,733.06,483.13,642.25,323.72,441.61,420.54,403.1,-,149.65,-,381.95
1,Trading Asset Securities,44.6,73.51,38.06,106.95,134.72,154.04,139.04,88.28,85.87,35.3,25.17,18.49,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,682.14,809.86,725.42,941.96,745.11,829.59,709.07,871.95,783.12,768.37,508.3,660.73,323.72,441.61,420.54,403.1,-,149.65,381.95,381.95
3,Cash Growth,-8.45%,-2.38%,2.31%,8.03%,-4.85%,7.97%,39.50%,31.97%,141.91%,73.99%,20.87%,63.91%,-,195.08%,10.10%,5.54%,-,-,-,-
4,Accounts Receivable,1737,1682,1559,1499,1558,1426,1409,1336,1458,1398,1234,1177,1348,1294,1129,1088,-,1068,-,808.85
5,Other Receivables,33.24,39.46,35.99,11.04,33.18,29.66,33.92,12.29,32.05,23.12,28.39,15.02,29.97,18.63,39.67,14.78,-,17.75,-,14.8
6,Receivables,1770,1722,1595,1510,1591,1456,1443,1348,1490,1422,1263,1192,1378,1313,1169,1103,-,1086,-,823.65
7,Inventory,973.19,917.89,878.47,866.99,757.31,703.86,696.64,671,696.86,697.31,654.34,562.28,498.01,455.05,418.84,347.53,-,348.28,-,331.47
8,Prepaid Expenses,-,-,-,10.59,-,4.49,-,2.84,-,2.04,-,0.88,-,1.44,-,1.24,-,-,-,1.67
9,Other Current Assets,22.96,27.32,49.2,15.22,42.25,38.08,47.16,32.35,40.35,22.4,34.62,20.74,21.63,19.31,53.44,11.67,-,18.83,-,10.38
10,Total Current Assets,3449,3477,3248,3345,3136,3032,2896,2926,3010,2912,2460,2437,2221,2230,2062,1866,-,1603,-,1549
11,"Property, Plant & Equipment",469.36,463.67,459.19,428.43,416.96,382.18,390.21,378.15,343.52,330.53,318.27,305.44,288.77,262.77,247.24,251.78,-,243.85,-,247.23
12,Long-Term Investments,3.18,3.18,3.18,3.18,3.02,3.02,3.02,3.02,4,4,4,4,4,4,4,4,-,4,-,4
13,Other Intangible Assets,82.96,83.95,84.9,85.85,82.95,83.38,84.56,85.31,86.15,87,87.68,88.1,88.08,86.7,87.3,68.57,-,69.34,-,69.07
14,Long-Term Deferred Tax Assets,44.42,42.16,39.88,37.16,34.22,32.91,30.95,29.49,28.32,26.01,24.54,24.14,22.17,21.83,20.21,20.21,-,21.73,-,19.82
15,Long-Term Deferred Charges,8.34,7.78,8.06,7.29,0.72,0.78,0.84,0.89,0.96,1.01,0.9,0.94,-,-,-,-,-,-,-,-
16,Other Long-Term Assets,55.19,48.06,50.55,33.29,15.38,12.6,6.18,5.42,16.85,11.66,7.19,9.32,2.4,0.93,1.66,19.33,-,0.41,-,3.5
17,Total Assets,4112,4126,3893,3940,3689,3547,3411,3429,3490,3372,2902,2869,2627,2607,2422,2230,-,1942,-,1893
18,Accounts Payable,575.29,449.61,364.79,523.33,403.03,341.08,307.37,345.36,347.55,341.04,477.25,589.8,339.56,395.96,278.37,353.42,-,296.39,-,316.44
19,Accrued Expenses,11.92,17.39,7.85,17.6,10.33,15.64,7.23,26.75,9.16,17.68,7.22,19.25,8.26,12.31,4.04,16.96,-,14.24,-,20.11
20,Short-Term Debt,1255,1385,1272,1193,1068,1027,935.1,930.25,1003,948.7,929.75,788.29,802.01,773.44,708.25,700.66,-,576.5,-,541.8
21,Current Portion of Long-Term Debt,-,0.02,-,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,Current Portion of Leases,3.89,7.78,11.62,15.41,19.2,21.78,26.59,31.16,18.38,18.7,18.33,24.8,13.65,20.48,-,27.3,-,-,-,-
23,Current Income Taxes Payable,16.04,6.14,13.26,6.29,12.57,6.71,12.53,8.08,13.55,5.84,8.31,6.39,9.27,4.32,12.64,6.93,-,6.9,-,9.29
24,Current Unearned Revenue,40.9,47.23,40.99,30.77,46.99,34.8,39.54,29.68,58.97,30.97,28.13,20.42,32.68,32.43,64.21,33.98,-,35.3,-,26.01
25,Other Current Liabilities,15.38,27.05,13.35,15.2,13.68,15.18,19.87,12.15,15.32,12.2,10.9,11.66,10.43,11.05,9.24,9.12,-,3.52,-,6.72
26,Total Current Liabilities,1918,1940,1724,1801,1574,1463,1348,1383,1466,1375,1480,1461,1216,1250,1077,1148,-,932.84,-,920.37
27,Long-Term Debt,490.08,482.57,478.13,470.89,458.05,450.94,445.69,438.93,432.15,425.43,-,-,-,-,-,-,-,-,-,-
28,Long-Term Leases,-,0.01,0.04,0.07,-,5.45,9.16,12.99,0.17,4.41,9.64,14.39,36,-,-,6.83,-,-,-,-
29,Long-Term Unearned Revenue,11.82,11.68,16.84,12.25,10.31,10.8,10.31,10.79,10.33,10.81,11.28,11.76,12.19,13.62,15.05,16.48,-,3.44,-,4.37
30,Other Long-Term Liabilities,-,-,-,-,-,-,-,1.14,1.14,1.14,1.14,1.14,1.14,1.14,-,-,-,-,-,-
31,Total Liabilities,2420,2434,2219,2285,2042,1930,1813,1847,1910,1817,1502,1488,1265,1265,1092,1172,-,936.29,-,924.74
32,Common Stock,458.52,458.52,458.51,458.51,458.51,458.51,458.51,458.51,458.5,458.5,458.5,458.5,458.5,458.5,458.5,366.8,-,366.8,-,366.8
33,Additional Paid-In Capital,478.37,478.37,478.31,478.3,478.3,478.3,478.3,478.3,478.25,478.25,478.25,478.25,478.25,478.25,478.25,312.47,-,312.47,-,312.47
34,Retained Earnings,575.05,577.72,561,545.7,543.53,515.16,495.9,479.34,477.21,452.77,437.32,416.81,397.22,377.37,365,348.87,-,296.41,-,257.28
35,Comprehensive Income & Other,138.09,138.09,138.11,138.11,138.02,138.02,138.02,138.02,138.57,138.57,-,-,-,-,-,-,-,-,-,-
36,Total Common Equity,1650,1653,1636,1621,1618,1590,1571,1554,1553,1528,1374,1354,1334,1314,1302,1028,-,975.68,936.55,936.55
37,Minority Interest,41.91,38.96,38.53,34.6,28.46,27.16,27.14,27.15,27.86,26.96,26.36,27.4,27.38,27.78,28.8,30.34,-,30.09,-,31.46
38,Shareholders' Equity,1692,1692,1674,1655,1647,1617,1598,1581,1580,1555,1400,1381,1361,1342,1331,1058,-,1006,968,968
39,Total Liabilities & Equity,4112,4126,3893,3940,3689,3547,3411,3429,3490,3372,2902,2869,2627,2607,2422,2230,-,1942,-,1893
40,Total Debt,1749,1875,1762,1679,1545,1505,1417,1413,1454,1397,957.72,827.48,851.66,793.91,708.25,734.78,-,576.5,541.8,541.8
41,Net Cash (Debt),-1067,-1065,-1037,-737.23,-799.98,-675.89,-707.48,-541.38,-670.71,-628.87,-449.42,-166.75,-527.94,-352.31,-287.71,-331.68,-,-426.84,-159.86,-159.86
42,Net Cash Per Share,-2.31,-2.33,-2.26,-1.42,-1.67,-1.55,-1.54,-1.34,-1.38,-1.41,-0.98,-0.34,-1.09,-0.84,-0.67,-0.85,-,-1.24,-0.44,-0.44
43,Filing Date Shares Outstanding,458.52,458.52,458.51,458.51,458.51,458.51,458.51,458.51,458.5,458.5,458.5,458.5,458.5,458.5,458.5,366.8,366.8,366.8,366.38,366.8
44,Total Common Shares Outstanding,458.52,458.52,458.51,458.51,458.51,458.51,458.51,458.51,458.5,458.5,458.5,458.5,458.5,458.5,458.5,366.8,366.8,366.8,366.38,366.8
45,Working Capital,1530,1537,1524,1543,1562,1569,1547,1543,1544,1537,979.9,976.3,1005,980.41,985.17,717.88,-,669.89,-,628.74
46,Book Value Per Share,3.60,3.60,3.57,3.53,3.53,3.47,3.43,3.39,3.39,3.33,3.00,2.95,2.91,2.87,2.84,2.80,-,2.66,2.55,2.55
47,Tangible Book Value,1567,1569,1551,1535,1535,1507,1486,1469,1466,1441,1286,1265,1246,1227,1214,959.57,-,906.34,867.47,867.47
48,Tangible Book Value Per Share,3.42,3.42,3.38,3.35,3.35,3.29,3.24,3.20,3.20,3.14,2.81,2.76,2.72,2.68,2.65,2.62,-,2.47,2.36,2.36
49,Buildings,-,382.7,-,380.03,-,281.08,-,281.08,-,281,-,280.68,-,280.64,-,252.68,-,252.68,-,252.68
50,Machinery,-,288.91,-,252.57,-,191.39,-,189.57,-,179.34,-,132.06,-,124.95,-,166.52,-,180.12,-,166.59
51,Construction In Progress,-,82.21,-,68.28,-,169.18,-,153.81,-,103.49,-,66.55,-,17.03,-,22.66,-,18.16,-,21.06
