,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,3756,3200,2820,3058,4333,3842,3531,3645,3411,3462,3737,4246,5603,5731,4851,5823,-,-,-,-,-
1,Market Cap Growth,-16.70%,-16.70%,-20.13%,-16.10%,27.02%,11.00%,-5.52%,-14.15%,-39.12%,-39.60%,-22.97%,-27.09%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4865,4304,3895,3887,5161,4545,4265,4344,4110,4118,4213,4801,6158,6111,5167,6337,-,-,-,-,-
3,Last Close Price,8.06,6.98,6.11,6.62,9.38,8.32,7.65,7.89,7.39,7.50,8.09,9.16,12.09,12.36,10.47,12.53,-,-,-,-,-
4,PE Ratio,76.63,64.18,45.07,46.88,65.30,57.94,56.59,50.40,44.72,36.93,41.91,49.32,68.58,64.21,51.22,62.13,-,-,-,-,-
5,PS Ratio,1.25,1.05,0.96,1.04,1.55,1.45,1.37,1.42,1.32,1.33,1.43,1.65,2.21,2.28,2.08,2.65,-,-,-,-,-
6,PB Ratio,2.24,1.89,1.67,1.83,2.62,2.33,2.18,2.28,2.16,2.19,2.40,3.03,4.06,4.21,3.61,4.38,-,-,-,-,-
7,P/TBV Ratio,2.04,2.04,1.80,1.97,2.82,2.50,2.34,2.45,2.32,2.36,2.59,3.30,4.43,4.60,3.95,4.79,-,-,-,-,-
8,P/FCF Ratio,-,-14.49,-,-,-24.57,-,390.97,-,-7.98,-16.23,-,-,-93.07,-,-32.97,-,-,-,-,-,-
9,P/OCF Ratio,-,-45.69,-,-,-92.76,-,39.29,-,-10.05,-34.62,-,-,126.23,-,-58.40,-,-,-,-,-,-
10,EV/Sales Ratio,1.59,1.41,1.33,1.32,1.84,1.72,1.65,1.69,1.59,1.58,1.62,1.87,2.43,2.43,2.21,2.89,-,-,-,-,-
11,EV/EBITDA Ratio,32.15,36.51,32.88,-,34.52,32.07,27.31,28.24,25.94,23.06,26.53,29.57,38.86,36.75,30.81,38.79,-,-,-,-,-
12,EV/EBIT Ratio,40.17,35.18,31.70,30.78,43.10,40.61,34.16,35.41,32.85,28.65,33.80,37.95,49.84,46.25,38.52,48.25,-,-,-,-,-
13,EV/FCF Ratio,-22.03,-19.49,-,-,-29.26,-,472.33,-,-9.61,-19.31,-,-,-102.30,-,-35.12,-,-,-,-,-,-
14,Debt / Equity Ratio,1.03,1.03,1.11,1.05,1.01,0.94,0.93,0.89,0.89,0.92,0.90,0.68,0.60,0.63,0.59,0.53,0.69,-,0.57,0.56,0.56
15,Debt / EBITDA Ratio,11.56,9.36,10.10,-,16.82,8.17,7.96,11.75,20.74,5.89,7.77,6.89,5.57,5.08,4.09,5.73,4.08,-,3.26,4.67,2.32
16,Debt / FCF Ratio,-,-7.92,-,-,-9.52,-,166.72,-,-3.31,-6.82,-,-,-13.75,-,-5.40,-,-5.70,-,-,-,2.33
17,Asset Turnover,0.87,0.73,0.67,0.81,0.85,0.87,0.58,0.71,0.83,0.95,0.70,0.93,1.10,1.13,0.80,-,-,-,-,-,
18,Inventory Turnover,3.04,3.28,2.80,2.55,3.30,3.58,3.69,2.48,3.11,3.42,3.76,2.84,4.09,5.20,5.59,4.12,-,-,-,-,-
19,Quick Ratio,1.28,1.28,1.31,1.35,1.36,1.48,1.56,1.60,1.60,1.55,1.59,1.20,1.27,1.40,1.40,1.48,1.31,-,1.32,-,1.31
20,Current Ratio,1.80,1.80,1.79,1.88,1.86,1.99,2.07,2.15,2.12,2.05,2.12,1.66,1.67,1.83,1.78,1.91,1.63,-,1.72,-,1.68
21,Return on Equity (ROE),4.40%,4.05%,3.86%,2.00%,7.27%,4.80%,4.16%,0.47%,6.47%,8.07%,5.60%,5.72%,5.76%,7.51%,4.89%,-,-,9.84%,5.57%,-,
22,Return on Assets (ROA),2.38%,2.25%,1.90%,1.13%,2.74%,2.84%,1.70%,0.68%,3.83%,2.98%,2.22%,2.55%,3.20%,3.90%,2.44%,-,-,-,-,-,
23,Return on Capital (ROIC),2.79%,2.58%,2.20%,1.32%,3.14%,3.22%,1.93%,0.78%,4.39%,3.52%,2.81%,3.17%,3.86%,4.70%,2.96%,-,-,5.89%,3.53%,-,
24,Return on Capital Employed (ROCE),5.52%,5.58%,5.62%,5.82%,5.60%,5.29%,5.99%,5.95%,6.12%,7.10%,6.24%,8.89%,8.77%,9.37%,9.89%,9.76%,12.01%,-,10.75%,-,5.22%
25,Earnings Yield,1.33%,1.56%,2.22%,2.13%,1.53%,1.73%,1.77%,1.98%,2.24%,2.71%,2.39%,2.03%,1.46%,1.56%,1.95%,1.61%,-,-,-,-,-
26,FCF Yield,-5.88%,-6.90%,-13.54%,-9.47%,-4.07%,-3.70%,0.26%,-8.02%,-12.53%,-6.16%,-9.81%,-2.59%,-1.07%,-3.89%,-3.03%,-3.07%,-,-,-,-,-
27,Dividend Yield,0.49%,-,-,-,0.43%,-,-,-,-,-,-,-,0.25%,-,-,-,-,-,-,-,-
28,Payout Ratio,145.52%,193.52%,107.86%,85.83%,511.16%,47.05%,60.48%,61.04%,447.29%,57.95%,83.76%,48.67%,42.85%,46.70%,84.28%,55.93%,28.81%,29.58%,31.46%,50.92%,129.50%
29,Buyback Yield / Dilution,-6.54%,3.96%,-4.62%,0.13%,-28.63%,1.35%,1.83%,0.06%,16.50%,-0.15%,-6.65%,-7.24%,-23.79%,-34.01%,-20.93%,-16.77%,-6.73%,-,-,-,-
30,Total Shareholder Return,-6.04%,3.96%,-4.62%,0.13%,-28.20%,1.35%,1.83%,0.06%,16.50%,-0.15%,-6.65%,-7.24%,-23.54%,-34.01%,-20.93%,-16.77%,-6.73%,-,-,-,-
