,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,892.4,732.3,651.7,771.57,767.79,757.81,499.53,616.11,710.12,747.78,503.32,635.18,717.31,711.47,464.27,618.92,539.07,570.83,324.17,560.06
1,Other Revenue,-1.61,1.61,-,2.53,-0.49,0.49,-,1.9,-0.55,0.55,-,2.56,-0.43,0.43,-,1.26,-0.25,0.25,-,0.56
2,Revenue,890.79,733.91,651.7,774.1,767.3,758.3,499.53,618,709.57,748.33,503.32,637.74,716.87,711.9,464.27,620.18,538.82,571.08,324.17,560.62
3,Revenue Growth (YoY),16.09%,-3.22%,30.46%,25.26%,8.14%,1.33%,-0.75%,-3.10%,-1.02%,5.12%,8.41%,2.83%,33.05%,24.66%,43.22%,10.62%,-,-,-,-
4,Cost of Revenue,774.83,628.01,557.41,670.13,654.06,645.11,424.3,531.95,596.57,636.07,432.14,542.07,619.87,610.78,394.44,520.5,453.81,475.68,268.95,286.79
5,Gross Profit,115.96,105.9,94.29,103.97,113.24,113.19,75.23,86.06,113,112.26,71.18,95.68,97,101.12,69.83,99.68,85.01,95.4,55.22,273.83
6,"Selling, General & Admin",45.55,41.57,36.76,52.73,45.32,38.32,28.87,32.76,36.3,36.12,29.17,34.41,37.3,36.3,28.96,35.39,33.6,30.36,19.8,127.9
7,Research & Development,31.69,27.91,20.68,33.67,24.93,24.11,16.34,23.31,23.42,23.55,14.23,22.53,22.91,23.66,13.47,24.05,16.99,18.59,9.19,73.76
8,Other Operating Expenses,0.45,-6.34,0.13,-13.02,1.87,3.56,0.06,4.6,2.83,2.18,0.25,4.2,1.65,0.6,1.75,3.79,1.79,2.16,1.91,10.95
