,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,3039564,2730456,3160999,3697262,3256367,2499557,2180169,1659444,1330795,1157213,1899759,1780823,3423423,3584147,1821553,1909471,1983652,1659454,1348993,1068754,751730,Upgrade
1,Market Cap Growth,9.24%,9.24%,44.99%,122.80%,144.69%,116.00%,14.76%,-6.82%,-61.13%,-67.71%,4.29%,-6.74%,72.58%,115.98%,35.03%,78.66%,163.88%,112.29%,74.24%,27.74%,-25.68%,Upgrade
2,Enterprise Value,2111687,1933326,2427894,3025731,2687511,2014331,1906564,1617028,835823,783379,1851017,1572772,3162106,3363854,1522713,1524620,1656616,1349105,394320,-738351,-1095412,Upgrade
3,Last Close Price,8260.00,7420.00,8590.00,10047.17,8849.06,6792.45,5924.53,4509.43,3616.35,3144.65,5162.47,4839.27,9302.94,9739.69,4949.92,5188.83,5390.41,4509.43,3665.78,2904.25,2069.60,Upgrade
4,PE Ratio,7.95,7.44,6.81,7.83,7.61,7.18,8.55,6.82,6.05,5.21,7.79,7.48,13.69,15.40,10.21,9.30,7.35,5.84,4.08,3.62,3.55,Upgrade
5,PS Ratio,5.11,4.78,6.75,7.30,7.02,6.82,6.67,6.50,4.83,3.00,3.96,3.96,6.62,6.94,3.56,3.23,3.47,2.74,2.05,1.81,1.32,Upgrade
6,PB Ratio,0.63,0.56,0.66,0.78,0.70,0.56,0.50,0.39,0.31,0.28,0.46,0.44,0.85,0.91,0.47,0.50,0.52,0.45,0.36,0.29,0.21,Upgrade
7,P/TBV Ratio,0.57,0.57,0.67,0.79,0.71,0.56,0.51,0.39,0.32,0.28,0.47,0.45,0.87,0.93,0.48,0.51,0.53,0.46,0.37,0.30,0.22,Upgrade
8,P/FCF Ratio,11.52,10.34,647.97,23.59,17.85,-,-1428.46,-6.53,-,-6.88,-,-,-,-43.89,-,-,2.45,2.08,6.23,-14.21,-4.80,Upgrade
9,P/OCF Ratio,9.40,9.40,86.61,21.00,16.17,-,8.66,236.02,-,-6.92,-,-,-,-43.89,-,-,2.42,2.05,5.98,-15.77,-4.80,Upgrade
10,EV/Sales Ratio,3.70,3.38,5.19,5.98,5.79,5.49,5.84,6.34,3.03,2.03,3.86,3.50,6.11,6.51,2.98,2.58,2.89,2.23,0.60,-,-,Upgrade
11,EV/EBITDA Ratio,6.35,47.29,1146.00,413.85,-,-,55.20,59.21,31.54,24.74,30.35,26.44,46.73,51.02,34.28,32.76,46.55,17.50,3.19,-,-,Upgrade
12,EV/EBIT Ratio,6.73,87.02,-195.68,-,-,-,116.47,112.80,62.34,-,38.56,34.07,56.18,61.05,45.54,43.36,69.28,20.79,3.52,-,-,Upgrade
13,EV/FCF Ratio,8.00,7.32,497.69,19.30,14.73,-,-1249.19,-6.36,-,-4.66,-,-,-,-41.19,-,-,2.04,1.69,1.82,-,-,Upgrade
14,Debt / Equity Ratio,-,-,-,-,-,-,-,-,0.01,0.03,0.08,0.08,0.04,0.03,0.02,-,-,-,-,-,-,Upgrade
15,Debt / EBITDA Ratio,-,-,-,-,-,-,-,-,1.69,30.63,8.54,8.86,3.81,0.90,2.50,-,-,-,-,-,-,Upgrade
16,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-0.82,-,-,-,-1.34,-,-,-,-,-,-,-,Upgrade
17,Asset Turnover,0.16,0.09,0.08,0.11,0.10,0.14,0.05,0.03,0.06,0.08,0.07,0.13,0.16,0.06,0.15,0.14,0.17,0.14,0.14,0.19,Upgrade,
18,Inventory Turnover,1.57,1.64,0.97,1.25,2.05,1.41,1.36,0.42,0.19,0.68,0.82,1.00,2.33,2.38,1.16,3.81,4.64,4.17,2.55,2.07,1.67,Upgrade
19,Quick Ratio,1.72,1.72,1.53,2.03,4.20,4.03,3.26,1.31,0.64,2.38,1.91,1.01,1.69,1.72,2.15,2.68,3.76,2.82,3.42,4.85,20.29,Upgrade
20,Current Ratio,2.47,2.47,2.53,3.24,5.79,6.04,5.75,3.44,2.76,3.91,2.97,1.95,2.71,2.76,3.50,4.04,4.94,3.72,5.11,6.07,23.48,Upgrade
21,Return on Equity (ROE),5.68%,3.48%,9.22%,13.13%,15.03%,4.71%,6.05%,6.72%,7.04%,3.77%,4.05%,7.30%,9.75%,3.39%,5.60%,5.93%,4.35%,6.49%,13.19%,7.92%,Upgrade,
22,Return on Assets (ROA),0.97%,0.31%,-0.05%,-0.23%,-0.74%,0.47%,0.32%,0.20%,-0.09%,0.36%,0.28%,0.52%,1.65%,0.29%,0.94%,0.49%,0.38%,0.41%,0.25%,3.33%,Upgrade,
23,Return on Capital (ROIC),1.09%,0.34%,-0.05%,-0.24%,-0.77%,0.50%,0.34%,0.21%,-0.10%,0.37%,0.29%,0.54%,1.73%,0.30%,0.99%,0.51%,0.40%,0.44%,0.27%,3.51%,Upgrade,
24,Return on Capital Employed (ROCE),0.46%,0.46%,-0.26%,-,-,-,0.38%,0.33%,0.32%,-,1.17%,1.13%,1.39%,1.39%,0.86%,0.91%,0.62%,1.73%,2.96%,2.93%,3.13%,Upgrade
25,Earnings Yield,12.08%,13.44%,14.68%,12.76%,13.14%,13.93%,11.69%,14.67%,16.53%,19.18%,12.84%,13.36%,7.30%,6.49%,9.79%,10.76%,13.61%,17.12%,24.49%,27.64%,28.17%,Upgrade
26,FCF Yield,8.68%,9.67%,0.15%,4.24%,5.60%,-7.26%,-0.07%,-15.31%,-31.60%,-14.54%,-9.11%,-11.81%,-5.76%,-2.28%,21.88%,33.10%,40.88%,48.14%,16.05%,-7.04%,-20.83%,Upgrade
27,Payout Ratio,0.00%,-,-,0.01%,-,-,-,0.05%,-,-,-,-,-,-,-,-,-,-,187.16%,-,-,Upgrade
28,Buyback Yield / Dilution,0.34%,0.34%,-5.68%,0.00%,3.71%,3.60%,5.37%,-,-,0.12%,-0.17%,0.21%,-0.21%,-,0.17%,-2.46%,-9.78%,-10.01%,-10.01%,-7.59%,0.00%,Upgrade
29,Total Shareholder Return,0.34%,0.34%,-5.68%,0.00%,3.71%,3.60%,5.37%,-,-,0.12%,-0.17%,0.21%,-0.21%,-,0.17%,-2.46%,-9.78%,-10.01%,-10.01%,-7.59%,0.00%,Upgrade
