,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,72979,63662,49173,67699,94880,39219,22468,61730,237757,62164,70678,92278,80631,62804,63099,111107,143098,146502,187066,113908,Upgrade
1,Short-Term Investments,914259,792719,743053,669103,538794,509984,313559,102927,473347,708804,391299,372277,367976,312976,312070,352150,261505,240505,843571,1768577,Upgrade
2,Cash & Short-Term Investments,987238,856381,792226,736803,633674,549203,336027,164657,711104,770967,461976,464555,448607,375780,375169,463257,404603,387007,1030637,1882485,Upgrade
3,Cash Growth,55.80%,55.93%,135.76%,347.48%,-10.89%,-28.76%,-27.26%,-64.56%,58.51%,105.16%,23.14%,0.28%,10.88%,-2.90%,-63.60%,-75.39%,-78.96%,-80.17%,-49.21%,-2.55%,Upgrade
4,Accounts Receivable,74928,30965,16840,34204,35610,29474,6034,9051,12398,28300,24869,47661,43065,51388,46854,34574,62036,70914,61477,56839,Upgrade
5,Other Receivables,17711,14193,13362,11459,21825,12609,12363,11980,25131,13317,7913,1855,9446,5541,6238,7527,6592,36700,61612,145408,Upgrade
6,Receivables,92640,45158,30202,45662,57435,42083,18396,21031,37529,41617,32783,49516,52511,56930,53093,42101,68628,107613,123088,202246,Upgrade
7,Inventory,386372,492767,398162,215377,261330,361650,472185,513189,416808,386109,394360,192105,241384,210734,162720,114361,104181,187853,221248,261553,Upgrade
8,Prepaid Expenses,1639,1766,477.67,900.39,1059,1315,440.34,517.98,169.51,282.88,393.89,149.85,15.65,56.26,82.51,78.01,32.52,74.66,99.92,201.56,Upgrade
9,Other Current Assets,87208,97360,90435,78689,82887,90123,99675,104768,65952,67691,69179,117034,59681,61033,52994,44746,46878,55099,67975,66217,Upgrade
10,Total Current Assets,1555096,1493432,1311504,1077431,1036383,1044374,926724,804164,1231562,1266668,958692,823359,802198,704533,644058,664544,624323,737647,1443048,2412703,Upgrade
11,"Property, Plant & Equipment",37724,31559,28059,27827,13641,27237,35709,35762,35717,35735,36263,36354,36904,37440,38087,24165,39450,25558,24798,19309,Upgrade
12,Long-Term Investments,3420528,3376116,3348000,3247477,3128860,2991945,3130518,3230285,3015362,3024618,3360726,3267901,3205136,3140513,3114650,3080928,3035801,2504555,1739839,520932,Upgrade
13,Other Intangible Assets,3520,3520,3520,3520,3520,3520,3520,3520,3520,3520,3520,3520,3520,3520,3520,3520,3520,3520,3520,3520,Upgrade
14,Long-Term Deferred Charges,-,-,-,-,-,-,-,-,-,9713,-,9834,-,9954,10015,10075,10135,-,-,-,Upgrade
15,Other Long-Term Assets,459917,463825,467907,482990,491187,452028,459574,463589,206430,199285,211309,205399,217500,209775,212304,217755,215575,650572,731365,727572,Upgrade
16,Total Assets,5476785,5368453,5158989,4839244,4673591,4519103,4556045,4537319,4492591,4539539,4570510,4346367,4265257,4105736,4022635,4000987,3928805,3921851,3942569,3684036,Upgrade
