,Fiscal Quarter,Current,Q1 2022,Q4 2021,Q1 2021,Q4 2020
,Period Ending,"Mar '25 Mar 10, 2025","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Market Capitalization,4311514,12895341,13361006,-,-
1,Enterprise Value,8495749,14475336,14744395,-,-
2,Last Close Price,7510.00,22461.32,23272.43,-,-
3,PE Ratio,-,21.22,-,-,-
4,Forward PE,32.94,10.92,10.02,-,-
5,PS Ratio,2.16,2.83,3.61,-,-
6,PB Ratio,0.73,1.61,1.72,-,-
7,P/TBV Ratio,0.76,2.34,2.48,-,-
8,PEG Ratio,0.75,0.73,0.50,-,-
9,EV/Sales Ratio,4.25,3.17,3.99,-,-
10,EV/EBITDA Ratio,209.51,10.29,13.38,-,-
11,EV/EBIT Ratio,78.62,10.57,13.71,-,-
12,Debt / Equity Ratio,0.27,0.17,0.15,0.13,0.13
13,Debt / EBITDA Ratio,14.58,1.12,2.46,0.42,0.37
14,Debt / FCF Ratio,-,-,-,5.34,-
15,Asset Turnover,0.22,-,-,-,
16,Inventory Turnover,0.31,0.43,-,-,-
17,Quick Ratio,0.65,0.77,0.79,-,0.71
18,Current Ratio,2.16,1.98,2.01,-,2.06
19,Return on Equity (ROE),11.09%,-,23.48%,-,
20,Return on Assets (ROA),4.69%,-,-,-,
21,Return on Capital (ROIC),8.05%,-,16.89%,-,
22,Return on Capital Employed (ROCE),1.22%,16.39%,13.56%,-,8.74%
23,Earnings Yield,-3.90%,4.87%,3.77%,-,-
24,FCF Yield,-4.87%,-3.16%,-,-,-
25,Payout Ratio,0.00%,-,-,6.94%,-
