,Fiscal Quarter,Q1 2022,Q4 2021,Q1 2021,Q4 2020
,Period Ending,"Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Cash & Equivalents,1366556,1632448.0,-,1146331
1,Short-Term Investments,146813,155698.0,-,68095
2,Cash & Short-Term Investments,1513369,1788147.0,1256785,1214426
3,Accounts Receivable,1601831,1544751.0,-,1403424
4,Other Receivables,2905298,2363912.0,-,1018406
5,Receivables,4585039,3949643.0,-,2422503
6,Inventory,2578738,1985890.0,-,1699034
7,Prepaid Expenses,184045,155753.0,-,146151
8,Other Current Assets,6605449,6625703.0,-,5043208
9,Total Current Assets,15466640,14505136.0,-,10525322
10,"Property, Plant & Equipment",214876,188664.0,-,161395
11,Long-Term Investments,20500,20500.0,-,30500
12,Goodwill,175735,181068.0,-,198855
13,Other Intangible Assets,64236,65902.0,-,26060
14,Long-Term Accounts Receivable,-,528.97,-,-
15,Long-Term Deferred Tax Assets,34684,29448.0,-,28790
16,Other Long-Term Assets,181770,156565.0,-,124119
17,Total Assets,16158442,15147811.0,-,11095041
18,Accounts Payable,312121,379746.0,-,205253
19,Accrued Expenses,537039,543493.0,-,478050
20,Short-Term Debt,968153,922483.0,-,568634
21,Current Portion of Long-Term Debt,115371,111332.0,-,61614
22,Current Income Taxes Payable,320740,290272.0,-,418777
23,Current Unearned Revenue,510294,418547.0,-,155781
24,Other Current Liabilities,5039303,4547757.0,-,3216122
25,Total Current Liabilities,7803022,7213630.0,-,5104231
26,Long-Term Debt,278436,97178.0,-,145346
27,Long-Term Deferred Tax Liabilities,73764,73478.0,-,6127
28,Total Liabilities,8155222,7384286.0,-,5255704
29,Common Stock,3582012,3582012.0,-,3224710
30,Additional Paid-In Capital,1105361,1105361.0,-,340683
31,Retained Earnings,1070684,946929.0,-,461074
32,Comprehensive Income & Other,-9350,-9350.0,-,-9350
33,Total Common Equity,5748707,5624951.0,4017117,4017117
34,Minority Interest,2254513,2138574.0,-,1822220
35,Shareholders' Equity,8003220,7763525.0,5839337,5839337
36,Total Liabilities & Equity,16158442,15147811.0,-,11095041
37,Total Debt,1361960,1130993.0,775594,775594
38,Net Cash (Debt),151410,657154.0,481191,438832
39,Net Cash Per Share,263.73,1144.64,931.01,849.06
40,Filing Date Shares Outstanding,574.11,574.11,516.85,516.85
41,Total Common Shares Outstanding,574.11,574.11,516.85,516.85
42,Working Capital,7663619,7291506.0,-,5421091
43,Book Value Per Share,10013.20,9797.64,7772.37,7772.37
44,Tangible Book Value,5508736,5377981.0,3792202,3792202
45,Tangible Book Value Per Share,9595.21,9367.46,7337.20,7337.20
46,Buildings,76921,76921.0,-,67053
47,Machinery,108204,106812.0,-,90169
48,Construction In Progress,89590,59958.0,-,42759
