,Fiscal Quarter,Current,H1 2024,H1 2023,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Jun '23 Jun 30, 2023","Jun '20 Jun 30, 2020"
0,Market Capitalization,2161,4977,-,-
1,Enterprise Value,3964,6489,-,-
2,Last Close Price,6.21,14.30,-,-
3,PE Ratio,31.72,87.49,-,-
4,Forward PE,-,39.14,-,-
5,PS Ratio,1.37,3.37,-,-
6,PB Ratio,1.80,4.14,-,-
7,P/TBV Ratio,4.22,4.22,-,-
8,P/FCF Ratio,6.64,17.66,-,-
9,P/OCF Ratio,9.00,9.82,-,-
10,EV/Sales Ratio,2.54,4.39,-,-
11,EV/EBITDA Ratio,6.27,17.38,-,-
12,EV/EBIT Ratio,21.08,40.45,-,-
13,EV/FCF Ratio,12.17,23.03,-,-
14,Debt / Equity Ratio,1.66,1.66,-,0.99
15,Debt / FCF Ratio,6.14,7.09,-,4.67
16,Return on Capital Employed (ROCE),7.88%,6.75%,-,4.69%
17,Earnings Yield,3.12%,1.14%,-,-
18,FCF Yield,15.06%,5.66%,-,-
19,Buyback Yield / Dilution,-4.95%,-8.10%,-,-
20,Total Shareholder Return,-4.95%,-8.10%,-,-
