,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,4733926,2675286,2813908,2649839,3788450,2381678,4566853,1966797,1752988,3174427,2172572,1352868,2139299,1268779,1388987,951935,1748117,1269944,1532870,1000505,Upgrade
1,Revenue Growth (YoY),24.96%,12.33%,-38.38%,34.73%,116.11%,-24.97%,110.20%,45.38%,-18.06%,150.20%,56.41%,42.12%,22.38%,-0.09%,-9.39%,-4.85%,-46.46%,-44.63%,-32.86%,-39.75%,Upgrade
2,Cost of Revenue,4201408,2284000,2495867,1895493,3483101,2318483,4136824,1584416,1587012,2888997,1861977,1197879,1897820,1021325,1202508,797911,1488259,984525,1348429,893899,Upgrade
3,Gross Profit,532518,391286,318041,754346,305349,63196,430029,382381,165977,285430,310595,154989,241479,247454,186479,154025,259857,285419,184441,106606,Upgrade
4,"Selling, General & Admin",144896,130092,72606,104062,-16326,-170205,128397,71837,117200,-18114,102952,78194,98735,14556,-76011,136945,58524,1127297,-213580,595547,Upgrade
5,Operating Expenses,144896,130092,72606,104062,-16326,-170205,128397,71837,117200,-18114,102952,78194,98735,14556,-76011,136945,58524,1127297,-213580,595547,Upgrade
6,Operating Income,387622,261194,245435,650284,321674,233401,301632,310544,48776,303544,207644,76795,142744,232898,262490,17079,201333,-841878,398021,-488941,Upgrade
7,Interest Expense,-99077,-96210,-101893,-134300,-194838,-158310,-,-479790,-194497,-175528,-193092,-193991,-199989,-184289,-71582,-49709,-54408,-55158,-2185397,-87556,Upgrade
8,Interest & Investment Income,211677,40571,63459,41893,121486,44662,-,156172,136899,105515,164912,48175,108807,108900,11558,43188,115413,2185280,-,26096,Upgrade
