,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,2461283,1129302,1544360,1309166,2669872,1269067,1305389,950825,1710245,911439,1214638,1642263,2812003,1322330,2827599,894699,1995310,2025398,1456228,942222,Upgrade
1,Short-Term Investments,1833872,1390922,1210514,1153846,1522523,1411116,1915074,2183506,1635959,2092982,3352241,4499468,3927572,2723637,1927946,1735263,1577641,1132498,650986,804752,Upgrade
2,Trading Asset Securities,40.18,39.97,63.68,76.58,105.01,98.1,90.4,64.49,66.89,83.94,122.38,260.48,-,-,-,-,-,73.5,70.8,30.24,Upgrade
3,Cash & Short-Term Investments,4295195,2520263,2754937,2463088,4192500,2680280,3220554,3134396,3346271,3004505,4567001,6141991,6739576,4045967,4755545,2629962,3572951,3157969,2107285,1747004,Upgrade
4,Cash Growth,2.45%,-5.97%,-14.46%,-21.42%,25.29%,-10.79%,-29.48%,-48.97%,-50.35%,-25.74%,-3.96%,133.54%,88.63%,28.12%,125.67%,50.54%,51.16%,33.26%,-18.75%,-26.36%,Upgrade
5,Accounts Receivable,2089887,1633512,1585369,1573814,2210293,1506643,1655410,1168088,1573119,989627,1334746,1429784,1712613,1519118,1732927,1250328,1916978,1574565,2810621,2770608,Upgrade
6,Other Receivables,476463,553035,672586,466634,517316,788121,659864,594677,337027,720085,530660,490691,404110,527380,560729,282476,389971,1426086,158044,672883,Upgrade
7,Receivables,3204121,2725470,2739848,2752618,3483119,3330045,3260862,3118343,2597140,2885341,2684860,2772083,2980001,2757056,2971984,2281382,3058941,4006866,3752678,4255475,Upgrade
8,Inventory,7117893,7643158,8193633,7213582,6887894,6953646,9198108,7281883,7080334,5881677,11700297,3742881,3466163,10999160,10241819,2474378,2220137,1984055,1864117,1854693,Upgrade
9,Prepaid Expenses,10153,19883,13453,12043,9098,8567,9485,18127,10188,12297,19695,9461,6842,8811,7516,8737,4703,8236,7658,10962,Upgrade
10,Other Current Assets,3044249,4470444,3130078,4622535,4108235,4996646,3706740,6592608,6940585,7658520,1422763,7882333,8103596,3869860,3382139,7606547,4540580,2942526,3378622,2681366,Upgrade
11,Total Current Assets,17671611,17379218,16831950,17063866,18680846,17969184,19395748,20145356,19974518,19442340,20394615,20548749,21296179,21680855,21359004,15001005,13397312,12099653,11110359,10549500,Upgrade
12,"Property, Plant & Equipment",10495020,10565460,10493010,10519094,10505890,10397463,10256163,10514912,10164829,9640657,8979314,6972356,4604891,3709296,3575558,3518438,3424580,4431786,4261742,4241809,Upgrade
13,Long-Term Investments,676635,698065,707836,927917,939623,965045,1003521,1088083,1123897,1131504,1022614,1056538,1469434,1591494,1328416,1044750,1062466,741030,701778,684157,Upgrade
14,Goodwill,70636,74185,77734,81283,84832,88382,91931,95480,99029,102585,106134,1279272,20667,21959,27319,29018,30716,32415,34114,35812,Upgrade
15,Other Intangible Assets,9052,8954,9030,9118,9059,5490,5538,5684,5792,5888,5983,6134,5264,5318,5437,6442,8125,8280,9976,10041,Upgrade
16,Long-Term Accounts Receivable,-,-,-,-,-,1551,1551,2731,2731,2731,1070,1070,5813,6857,6727,6355,6367,1199,1199,1199,Upgrade
17,Long-Term Deferred Tax Assets,99158,112069,96528,107048,104175,98246,92431,95826,90876,62686,54510,46923,45903,58948,55318,58779,55485,40144,45414,44073,Upgrade
18,Other Long-Term Assets,388841,437780,426549,361559,368409,504992,518256,508770,521631,577630,694221,717844,3521264,3764573,3767847,1831678,1624170,1897024,1662039,1632857,Upgrade
19,Total Assets,29410952,29276934,28644173,29071420,30694370,30032588,31367376,32474344,31999304,30966021,31258463,30628887,30969416,30840059,30126386,21497224,19609981,19356995,18034655,17516698,Upgrade
20,Accounts Payable,2258145,1637097,1971142,1599903,2239748,1938681,2103048,2556589,2501649,1936418,1681189,1643611,2132069,1573259,2068336,1712706,2275282,2013533,2106041,2087830,Upgrade
21,Accrued Expenses,410420,453087,424447,455506,480128,518109,693493,557315,481111,510489,424363,551123,438889,414553,978213,415019,506925,1005162,1044897,425819,Upgrade
22,Short-Term Debt,3153149,3883416,3641571,2834881,3420549,3455886,4575516,4309957,4235282,3713700,4204647,4448548,3970232,2764364,2658666,2208987,1763903,1609642,1559077,1419230,Upgrade
23,Current Portion of Long-Term Debt,942838,1030844,1454678,1730676,2676584,2716199,2508205,1082827,1083844,603275,1559610,1065643,1072521,413231,278199,154852,372957,211802,264437,198354,Upgrade
24,Current Portion of Leases,35210,43337,38406,35642,39322,31219,37603,22965,26138,599149,5435,3870,4580,3865,3865,3861,3861,-,3820,-,Upgrade
25,Current Income Taxes Payable,140588,86917,64757,82480,40307,139414,81775,26195,39816,42408,13636,11171,32569,114710,166323,106523,143847,351765,124285,43738,Upgrade
26,Current Unearned Revenue,48256,78246,51630,69224,47326,71258,48167,56985,60425,73920,50372,58189,4150446,7785395,5321279,78773,1220976,70307,62493,473676,Upgrade
27,Other Current Liabilities,5562138,6024027,5334305,5664481,5478234,4641104,3953257,4076202,4334979,4409795,4550537,4260073,3668933,1563633,2882306,5529524,2704736,1570467,1332553,1288136,Upgrade
28,Total Current Liabilities,12550744,13236972,12980936,12472793,14422199,13511870,14001063,12689036,12763244,11889154,12489790,12042228,15470241,14633011,14357186,10210244,8992486,6832678,6497604,5936783,Upgrade
29,Long-Term Debt,4562740,3873172,3704805,4733445,4862556,5310166,6143798,8615388,8077462,7882389,7829920,8808622,6610122,7120913,6854510,2191211,2129335,2241514,2275267,2411821,Upgrade
30,Long-Term Leases,54358,71061,80079,93256,99669,111361,114518,83416,90865,22278,40826,23736,21922,14322,15093,16246,17017,32525,18958,29971,Upgrade
31,Long-Term Unearned Revenue,477099,485624,444775,433501,444750,443048,453610,475874,471622,484235,494737,510213,1177242,1426534,1424586,1318958,1250750,1291681,1325149,1298176,Upgrade
32,Long-Term Deferred Tax Liabilities,607762,607762,607376,607376,607376,605587,605587,605587,605587,605587,605587,175.95,175.95,175.95,175.95,175.95,175.95,175.95,175.95,175.95,Upgrade
33,Other Long-Term Liabilities,23068,65477,19362,4434,16771,24914,50614,80945,59863,112431,76990,94950,62088,36188,36104,67218,57012,161283,156829,168173,Upgrade
34,Total Liabilities,18275771,18340068,17837333,18344805,20453321,20006946,21369190,22550246,22068644,20996073,21537851,21479926,23341791,23231144,22687656,13804053,12446776,10559855,10273983,9845099,Upgrade
35,Common Stock,5985935,5985935,5985935,5344655,5344655,5344655,4858799,4858799,4858799,4858799,4417107,4417107,4417107,4417107,4417107,4417107,4417107,4417107,4417107,4417107,Upgrade
36,Additional Paid-In Capital,16282,16282,16282,16282,16282,16250,16282,16282,16282,16282,16282,16282,16282,-,355105,355105,355105,355105,355105,355105,Upgrade
37,Retained Earnings,1888396,1585185,1551399,2088938,1622795,1469174,1851115,1735306,1723560,1795067,2050710,2565595,1929775,2136186,3256478,3378950,3048519,2946425,1947150,1915706,Upgrade
38,Treasury Stock,-,-,-,-,-,-,-,-,-,-,-,-,-,-129025,-1643648,-1643648,-1643648,-,-,-,Upgrade
39,Comprehensive Income & Other,287427,306788,268459,268478,268497,257414,257452,257551,257471,249510,249159,252940,256831,175702,177822,185189,185189,187836,184362,169220,Upgrade
40,Total Common Equity,8178041,7894190,7822075,7718354,7252229,7087493,6983648,6867938,6856112,6919658,6733258,7251924,6619995,6599969,6562864,6692702,6362271,7906472,6903724,6857138,Upgrade
41,Minority Interest,2957140,3042677,2984765,3008262,2988820,2938150,3014537,3056159,3074549,3050289,2987353,1897038,1007630,1008946,875866,1000469,800933,890668,856948,814460,Upgrade
42,Shareholders' Equity,11135181,10936867,10806841,10726616,10241049,10025643,9998185,9924097,9930660,9969947,9720612,9148961,7627625,7608916,7438730,7693171,7163205,8797140,7760672,7671598,Upgrade
43,Total Liabilities & Equity,29410952,29276934,28644173,29071420,30694370,30032588,31367376,32474344,31999304,30966021,31258463,30628887,30969416,30840059,30126386,21497224,19609981,19356995,18034655,17516698,Upgrade
44,Total Debt,8748295,8901832,8919539,9427900,11098680,11624830,13379640,14114554,13513591,12820791,13640439,14350418,11679378,10316695,9810333,4575156,4287072,4095482,4121559,4059375,Upgrade
