,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2019,Q3 2019,Q4 2018,Q3 2018
,Period Ending,"Mar '25 Mar 7, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Oct '23 Oct 1, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018"
0,Market Capitalization,204886,226734,231773,251704,251704,247730,263627,271575,267601,168296,202466,-,-
1,Market Cap Growth,-8.48%,-8.48%,-12.08%,-7.32%,-5.94%,47.20%,30.21%,-,-,-,-,-,-
2,Enterprise Value,205120,241537,246575,243224,243224,239250,255147,263095,259121,167427,-,-,-
3,Last Close Price,17700.00,18000.00,17803.24,18383.78,17464.59,17188.84,17521.68,18049.97,16966.20,9866.25,9829.16,8723.71,7763.95
4,PE Ratio,12.75,13.82,13.09,13.34,11.88,10.54,10.59,10.47,10.91,7.03,11.94,-,-
5,PS Ratio,1.29,1.39,1.40,1.52,1.40,1.28,1.19,1.09,1.03,0.62,1.02,-,-
6,PB Ratio,1.75,1.94,1.98,2.18,2.18,2.08,2.21,-,-,1.94,2.26,-,-
7,P/TBV Ratio,2.03,2.03,2.08,2.30,2.30,2.21,2.35,-,-,2.30,2.67,-,-
8,P/FCF Ratio,2.79,3.09,3.82,-,-,7.83,-7.46,-,-,-,-,-,-
9,P/OCF Ratio,3.04,3.04,3.76,5.16,6.18,7.57,-7.33,-,-,-,-,-,-
10,EV/Sales Ratio,1.24,1.48,1.49,1.47,1.36,1.24,1.15,1.05,1.00,0.62,-,-,-
11,EV/EBITDA Ratio,-,-,10.56,16.37,13.61,-,-,8.10,11.76,14.44,-,-,-
12,EV/EBIT Ratio,9.19,10.92,10.54,9.84,8.82,7.86,7.84,7.56,7.87,5.24,-,-,-
13,EV/FCF Ratio,2.79,3.29,4.06,-,-,7.56,-7.22,-,-,-,-,-,-
14,Debt / Equity Ratio,0.05,0.05,0.05,0.18,0.18,0.11,0.11,-,-,0.09,0.13,0.21,-
15,Debt / EBITDA Ratio,-,-,0.18,0.70,0.70,-,-,-,-,0.17,-,-,-
16,Debt / FCF Ratio,0.08,0.08,0.10,-,-,0.41,-0.37,-,-,-,-,-,-
17,Asset Turnover,1.04,1.05,0.94,-,1.03,-,-,-,2.16,-,-,-,
18,Inventory Turnover,2.59,2.47,2.51,2.30,-,2.69,-,-,-,6.06,-,-,-
19,Quick Ratio,0.18,0.18,0.18,0.22,0.22,0.19,0.19,-,-,0.45,0.61,0.48,-
20,Current Ratio,1.33,1.33,1.33,1.19,1.19,1.23,1.23,-,-,1.13,1.40,1.28,-
21,Return on Equity (ROE),14.74%,15.76%,12.99%,-,18.83%,-,-,-,31.77%,-,-,-,
22,Return on Assets (ROA),9.21%,9.30%,7.51%,-,10.69%,-,-,-,17.42%,-,-,-,
23,Return on Capital (ROIC),11.97%,11.77%,9.27%,-,13.57%,-,-,-,23.73%,-,-,-,
24,Return on Capital Employed (ROCE),19.06%,18.88%,19.97%,21.38%,23.85%,25.24%,27.00%,-,-,36.87%,25.24%,15.82%,-
25,Earnings Yield,8.14%,7.24%,7.64%,7.49%,8.42%,9.49%,9.44%,9.55%,9.16%,14.23%,8.38%,-,-
26,FCF Yield,35.86%,32.41%,26.17%,19.01%,15.79%,12.77%,-13.40%,-21.95%,-35.71%,-51.75%,-,-,-
27,Dividend Yield,10.17%,-,-,13.05%,12.02%,10.47%,-,-,-,-,-,-,-
28,Payout Ratio,84.31%,61.72%,58.11%,116.31%,116.31%,57.22%,55.98%,73.84%,73.84%,116.63%,-,175.00%,-
29,Buyback Yield / Dilution,-3.76%,0.03%,1.28%,-8.80%,-8.80%,12.60%,-0.00%,12.55%,-0.01%,-,-,-,-
30,Total Shareholder Return,6.41%,0.03%,1.28%,4.25%,3.22%,23.07%,-0.00%,12.55%,-0.01%,-,-,-,-
