,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2019,Q3 2019,Q4 2018,Q3 2018
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Oct '23 Oct 1, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018"
0,Revenue,41809,42927,39480,39480,43158,43659,53026,53026,72202,71850,62072,64905
1,Revenue Growth (YoY),-3.13%,-1.68%,-25.55%,-25.55%,-40.23%,-39.24%,-14.57%,-18.30%,-,-,-,-
2,Cost of Revenue,27753,28850,27146,27146,28042,28215,36334,36334,49492,50175,44417,46436
3,Gross Profit,14056,14077,12334,12334,15115,15445,16692,16692,22710,21676,17655,18469
4,"Selling, General & Admin",8153,7966,7282,7282,7941,8003,8779,8779,13415,12007,11601,11562
5,Operating Expenses,8153,7966,7282,7282,7941,8003,8779,8779,13415,12007,11601,11562
6,Operating Income,5903,6111,5052,5052,7174,7441,7914,7914,9295,9669,6054,6907
7,Interest Expense,-101.33,-151.83,-312.53,-312.53,-137.71,-135.87,-240.52,-240.52,-123.15,-197.89,-143.63,-62.82
8,Interest & Investment Income,23.71,27.52,33.8,33.8,64.12,54.09,61.98,61.98,163.78,1.57,2.87,2.14
9,Other Non Operating Income (Expenses),-373.22,-206.01,-30.93,-30.93,-34.4,-116.86,-77.58,-77.58,-193.93,-100.55,-111.32,-37.07
10,Pretax Income,5452,5781,4742,4742,7066,7243,7657,7657,9142,9372,5802,6809
11,Income Tax Expense,1135,1196,988.77,988.77,1451,1503,1579,1579,2144,2599,1133,1294
12,Net Income,4318,4585,3754,3754,5616,5740,6078,6078,6998,6773,4670,5516
13,Net Income to Common,4318,4585,3754,3754,5616,5740,6078,6078,6998,6773,4670,5516
14,Net Income Growth,-23.11%,-20.11%,-38.24%,-38.24%,-19.76%,-15.25%,30.16%,10.20%,-,-,-,-
15,Shares Outstanding (Basic),12,11,13,13,12,12,12,12,13,12,13,12
16,Shares Outstanding (Diluted),12,11,13,13,12,12,12,12,13,12,13,12
17,Shares Change (YoY),-0.03%,-1.28%,8.80%,8.80%,-12.60%,0.00%,-12.55%,0.01%,-,-,-,-
18,EPS (Basic),373.00,400.97,298.00,298.00,485.00,495.51,525.00,525.00,528.28,584.71,352.73,476.47
19,EPS (Diluted),373.00,400.97,298.00,298.00,485.00,495.51,525.00,525.00,528.28,584.71,352.73,476.47
20,EPS Growth,-23.09%,-19.08%,-43.24%,-43.24%,-8.19%,-15.26%,48.84%,10.19%,-,-,-,-
21,Free Cash Flow,37093,37093,-351.45,-351.45,24276,24276,-8453,-8453,-42703,-,-44392,-
22,Free Cash Flow Per Share,3204.41,3243.52,-27.90,-27.90,2096.63,2095.74,-730.18,-730.18,-3223.46,-,-3353.30,-
23,Dividend Per Share,-,-,300.000,300.000,1800.000,-,-,-,-,-,-,-
24,Gross Margin,33.62%,32.79%,31.24%,31.24%,35.02%,35.38%,31.48%,31.48%,31.45%,30.17%,28.44%,28.46%
25,Operating Margin,14.12%,14.24%,12.80%,12.80%,16.62%,17.04%,14.92%,14.92%,12.87%,13.46%,9.75%,10.64%
26,Profit Margin,10.33%,10.68%,9.51%,9.51%,13.01%,13.15%,11.46%,11.46%,9.69%,9.43%,7.52%,8.50%
27,Free Cash Flow Margin,88.72%,86.41%,-0.89%,-0.89%,56.25%,55.60%,-15.94%,-15.94%,-59.14%,-,-71.52%,-
28,EBITDA,-,8487,7428,7428,-,-,10438,10438,11598,-,-,-
29,EBITDA Margin,-,19.77%,18.81%,18.81%,-,-,19.69%,19.69%,16.06%,-,-,-
30,D&A For EBITDA,-,2376,2376,2376,-,-,2525,2525,2302,-,-,-
31,EBIT,5903,6111,5052,5052,7174,7441,7914,7914,9295,9669,6054,6907
32,EBIT Margin,14.12%,14.24%,12.80%,12.80%,16.62%,17.04%,14.92%,14.92%,12.87%,13.46%,9.75%,10.64%
33,Effective Tax Rate,20.81%,20.68%,20.85%,20.85%,20.53%,20.75%,20.63%,20.63%,23.45%,27.73%,19.52%,19.00%
34,Revenue as Reported,41809,42927,39480,39480,43158,43659,53026,53026,72202,71850,62072,64905
