,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,4711,1454,2895,3195,5519,6162,9630,19776,11596,10895,10431
1,Market Cap Growth,-54.50%,-54.50%,-47.55%,-48.15%,-42.69%,-68.84%,-16.96%,81.52%,11.17%,-6.55%,-
2,Enterprise Value,4149,699,2021,2222,4205,4193,6648,15634,9164,7671,6573
3,Last Close Price,3.69,1.14,2.27,2.49,4.63,5.25,8.27,17.10,10.08,11.06,10.30
4,PE Ratio,-,-9.51,-,-,-,-,-,-,-,-,-
5,PS Ratio,9.59,2.96,5.67,6.15,10.14,12.35,32.19,14.70,9.40,-,-
6,PB Ratio,9.37,2.89,5.75,4.90,10.87,5.53,6.50,7.05,3.30,5.08,3.76
7,P/TBV Ratio,4.50,4.50,9.26,7.66,16.86,6.77,6.90,7.24,3.31,5.10,3.76
8,P/FCF Ratio,-,-,-,-,-,-,-,-,-16.98,-,-
9,P/OCF Ratio,-,-,-,-,-,-,-,-,-19.22,-,-
10,EV/Sales Ratio,8.46,1.43,3.95,4.27,7.73,8.40,22.22,11.62,7.43,-,-
11,EV/EBITDA Ratio,-,-1.92,-,-,-,-,-,-,-,-,-
12,EV/FCF Ratio,-8.87,-,-,-,-,-,-,-,-13.42,-,-
13,Debt / Equity Ratio,0.72,0.72,0.80,0.36,0.64,0.25,0.14,0.04,0.03,0.01,0.00
14,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-0.15,-,-
15,Earnings Yield,-3.25%,-10.52%,-13.97%,-25.37%,-18.49%,-28.66%,-24.47%,-8.05%,-12.50%,-17.56%,-24.76%
16,FCF Yield,-9.93%,-32.16%,-22.41%,-17.14%,-12.51%,-21.81%,-20.08%,-4.79%,-5.89%,-13.68%,-11.69%
17,Buyback Yield / Dilution,-5.32%,-1.89%,-8.98%,-6.42%,0.53%,-1.86%,-8.89%,-14.07%,-8.57%,-36.99%,-464.23%
18,Total Shareholder Return,-5.32%,-1.89%,-8.98%,-6.42%,0.53%,-1.86%,-8.89%,-14.07%,-8.57%,-36.99%,-464.23%
