,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,52,56,61,72,87,100,138,195,161,128,114
1,Market Cap Growth,-21.79%,-21.79%,-29.41%,-28.21%,-37.04%,-48.68%,-14.29%,52.00%,41.57%,-12.28%,-29.37%
2,Enterprise Value,33,52,15,47,35,73,51,125,-37,-108,-109
3,Last Close Price,0.20,0.22,0.24,0.28,0.34,0.28,0.39,0.42,0.35,0.19,0.12
4,PE Ratio,9.17,9.89,8.87,6.12,7.60,8.94,12.97,22.55,10.45,7.01,4.51
5,PS Ratio,0.49,0.53,0.55,0.58,0.65,0.77,1.06,1.44,1.14,0.87,0.65
6,PB Ratio,0.65,0.70,0.79,0.99,1.22,1.00,1.41,1.40,1.16,0.62,0.45
7,P/TBV Ratio,0.72,0.72,0.81,1.01,1.26,1.02,1.44,1.42,1.18,0.62,0.45
8,P/FCF Ratio,-,-,-,1.99,2.33,4.78,-,12.48,-,3.51,1.67
9,P/OCF Ratio,-,-,2.53,1.98,2.34,4.64,-,6.69,5.76,3.51,1.66
10,EV/Sales Ratio,0.31,0.49,0.13,0.38,0.26,0.56,0.39,0.92,-,-,-
11,EV/EBITDA Ratio,2.94,4.70,1.33,2.80,2.21,4.76,2.92,6.02,-,-,-
12,EV/EBIT Ratio,4.59,7.32,2.00,3.67,2.96,6.48,3.80,7.29,-,-,-
13,EV/FCF Ratio,-,-,-,1.30,0.94,3.51,-,7.99,-,-,-
14,Debt / Equity Ratio,0.46,0.46,0.58,0.12,0.24,0.26,0.37,0.30,0.34,0.05,0.08
15,Debt / FCF Ratio,-,-,-,0.24,0.45,1.22,-,2.67,-,0.29,0.28
16,Return on Capital Employed (ROCE),6.97%,6.97%,6.92%,17.25%,16.27%,10.54%,11.58%,10.38%,9.95%,8.48%,12.63%
17,Earnings Yield,10.91%,10.11%,11.28%,16.34%,13.15%,11.18%,7.71%,4.43%,9.57%,14.27%,22.16%
18,FCF Yield,-,39.18%,50.27%,42.90%,20.94%,11.26%,8.01%,9.02%,28.48%,59.94%,
19,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,264.33%,163.63%
20,Total Shareholder Return,-,-,-,-,-,-,-,-,264.33%,163.63%,
